genome_cnt	gene_cnt
30	1008
54	2017
28	1027
36	1018
60	5503
61	5439
62	5053
63	7658
64	14707
35	637
34	1404
24	1428
25	1529
26	867
27	627
20	1097
21	1350
22	1362
49	1699
46	1052
23	1240
44	957
45	1479
42	1606
29	1099
40	1453
41	1554
1	48906
3	5342
2	9230
5	3278
4	3628
7	2905
6	2801
9	2079
8	2303
43	1061
39	890
47	1127
38	1256
59	3565
32	696
14	1308
11	2436
10	2115
13	2525
12	1960
15	1529
58	3208
17	1291
16	1206
33	1035
18	1225
57	2635
56	3071
51	885
50	2372
53	1829
52	1382
19	973
55	1705
37	1133
48	1453
31	1221
