ortholog_cnt	Genome_cnt
48906	1
4615	2
1758	3
 888	4
 627	5
 446	6
 385	7
 269	8
 216	9
 190	10
 203	11
 152	12
 185	13
  85	14
  92	15
  64	16
  68	17
  59	18
  44	19
  46	20
  54	21
  51	22
  46	23
  51	24
  54	25
  28	26
  21	27
  29	28
  34	29
  28	30
  35	31
  20	32
  26	33
  34	34
  14	35
  25	36
  25	37
  22	38
  21	39
  30	40
  29	41
  29	42
  20	43
  17	44
  26	45
  20	46
  18	47
  25	48
  27	49
  39	50
  15	51
  24	52
  24	53
  22	54
  27	55
  37	56
  35	57
  46	58
  46	59
  65	60
  68	61
  73	62
 103	63
 147	64
