id	genes	genes_peg	genes_wp	subsystem
cysT	Unknown	Unknown	Unknown	Transport
lipoateT	Unknown	Unknown	Unknown	Transport
borateT	Unknown	Unknown	Unknown	Transport
clT	Unknown	Unknown	Unknown	Transport
MgtE	Athe_0656	peg.1099	WP_013430891.1	Transport
TrkH	Athe_0240 and (Athe_0242 or Athe_0243)	peg.639 and (peg.641 or peg.642)	WP_015906860.1 and (WP_013431228.1 or WP_013431227.1)	Transport
nh4t	Athe_2068	peg.2614	WP_015908423.1	Transport
CaNaEx	Athe_2364	peg.2942	WP_015908687.1	Transport
MgCaAT	Athe_2363	peg.2941	WP_015908686.1	Transport
caEfflux	Athe_1524	peg.2019	WP_015907974.1	Transport
wo4ABC	Athe_0824 and Athe_0825 and Athe_0826	peg.1284 and peg.1285 and peg.1286	WP_015907367.1 and WP_015907368.1 and WP_015907369.1	Transport
znABC	Athe_2190 and Athe_2191 and Athe_2192	peg.2746 and peg.2747 and peg.2748	WP_015908527.1 and WP_015908528.1 and WP_015908529.1	Transport
MntH	Athe_0657 or Athe_1755	peg.1100 or peg.2265	WP_015907228.1 or WP_015908153.1	Transport
coUpt	Athe_1074	peg.1555	WP_015907584.1	Transport
znUpt	Athe_1074	peg.1555	WP_015907584.1	Transport
fe2Upt	Athe_2602 or Athe_1074	peg.150 or peg.1555	WP_015908914.1 or WP_015907584.1	Transport
mnUpt	Athe_1074	peg.1555	WP_015907584.1	Transport
znEfflux	Athe_0314	peg.725	WP_015906919.1	Transport
coEfflux	Athe_0314 or Athe_2280	peg.725 or peg.2848	WP_015906919.1 or WP_041727209.1	Transport
cuEfflux	Athe_2280	peg.2848	WP_041727209.1	Transport
niUpt	peg.1318 and peg.1319 and Athe_0859 and Athe_0860	peg.1318 and peg.1319 and peg.1320 and peg.1321	WP_041727097.1 and WP_041727099.1 and WP_015907400.1 and WP_015907401.1	Transport
moABC	Athe_0273 and Athe_0274 and Athe_0275	peg.674 and peg.675 and peg.676	WP_015906887.1 and WP_015906888.1 and WP_015906889.1	Transport
fe2t	Athe_1562 and Athe_1563 and Athe_1564	peg.2057 and peg.2058 and peg.2059	WP_013430127.1 and WP_015908006.1 and WP_013403073.1	Transport
piABC	(Athe_2753 or Athe_1161) and Athe_1162 and Athe_1163 and Athe_1483	(peg.358 or peg.1644) and peg.1645 and peg.1646 and peg.1976	(WP_015909044.1 or WP_015907659.1) and WP_015907660.1 and WP_015907661.1 and WP_013430199.1	Transport
pit	Athe_1485	peg.1978	WP_015907942.1	Transport
hco3ABC	Athe_1183 and Athe_1184	peg.1668 and peg.1669	WP_015907678.1 and WP_041727131.1	Transport
uraUpt	Athe_1374	peg.1864	WP_015907843.1	Transport
