,"RKCB92, sodium bicarbonate condition",,,,,,,,,,,,,"RKCB92, sodium hydroxide condition",,,,,,,,,,Notes,,,,,,,,,,,,,
Time point (hr),0,26,48.5,54.91666667,72.5,76,96.5,120.75,145.1666667,169.5,193,214.5,241,0,9.5,24,27,29,32.08333333,47,56.5,102.75,124.25,Reactors ran until ethanol titers started to drop,,,,,,,,,,,,, 
Cell Density (cells/ml),3832500,6230000,82390000,221200000,1080100000,1869000000,4494000000,4326000000,4256000000,4354000000,4669000000,4368000000,3815000000,3832500,6230000,82390000,221200000,1080100000,1869000000,4494000000,4326000000,4256000000,4354000000,Some cells remain atatched to Avicel and are not quantified,,,,,,,,,,,,,
stdev,1033118.605,2511133.828,17270292.41,60471081.72,386776184.9,601222031.4,1415292342,1132362803,1281460912,998683961.6,866174108.5,1327469462,1112697096,1033118.605,2511133.828,17270292.41,60471081.72,386776184.9,601222031.4,1415292342,1132362803,1281460912,998683961.6,,,,,,,,,,,,,,
Uracil,293.2283333,280.845,294.3996667,288.366,214.4323333,210.7463333,196.3153333,178.1763333,162.5593333,152.1633333,144.686,135.4286667,138.4526667,301.688,297.1806667,274.1106667,265.1266667,258.6306667,249.077,214.532,205.199,200.0813333,201.5416667,,,,,,,,,,,,,,
stdev,0.6160960423,11.10713208,1.803900866,3.991679847,3.558069467,2.908195374,2.260410877,1.995853034,2.643569998,2.318899811,4.963867343,3.280025356,1.410008629,2.239338965,2.075449188,4.043833124,4.52197936,5.2854949,6.54046428,8.165900808,8.133183694,6.781746186,7.533036329,,,,,,,,,,,,,,
NH4 Consumed (mM),0,,,,15.43333333,16.83333333,26.96666667,36.71,45.8,48.56666667,54.1,54.8,56.13333333,0,,,,,,16.9,21.73333333,38.83333333,41.1,"Initial NH4 ~36mM, fed batch as needed (60mM total in Bicarbonate, 48mM total in hydroxide",,,,,,,,,,,,,
stdev,0,,,,1.550268794,1.331665624,2.218858565,0.9638983349,0.6557438524,1.973153145,0.4582575695,0.6557438524,0.2081665999,0,,,,,,1.562049935,1.674315781,2.371356855,3.148015248,,,,,,,,,,,,,,
Cellooligosacchides detecetd (yes/no),no,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,yes,"In late fermentation solubilized cellulose is not fully consumed, cellobisoe and glucose were quantified, but larger oligosaccharides are present that are not quantified.",,,,,,,,,,,,,
Cellobiose (g/L),0,0,0,0,0,0.041,0.1896666667,0.4603333333,0.7176666667,0.8766666667,0.9303333333,0.9293333333,0.9892,0,0,0,0,0,0,0,0,0.444,0.6583333333,,,,,,,,,,,,,,
stdev,0,0,0,0,0,0,0.03852704678,0.06871923554,0.07147260547,0.05965176723,0.03372437299,0.06666583333,0.03038947186,0,0,0,0,0,0,0,0,0.05173973328,0.07105866121,,,,,,,,,,,,,,
Glucose (g/L),0,0,0,0,0.1026666667,0.1116666667,0.2476666667,0.591,1.159333333,1.887,2.672666667,3.496333333,4.750666667,0,0,0,0.04133333333,0.05166666667,0.06866666667,0.2273333333,0.3383333333,0.4683333333,0.6333333333,,,,,,,,,,,,,,
stdev,0,0,0,0,0.005131601439,0.004509249753,0.04020364826,0.05271622141,0.04747982027,0.05737595315,0.09402836451,0.1260647982,0.1990184246,0,0,0,0.003214550254,0.002081665999,0.003785938897,0.0142243922,0.01386842938,0.04966219219,0.08675444273,,,,,,,,,,,,,,
Acetate (mM),,,1.222,1.94,4.952,6.213333333,14.56366667,22.225,30.18133333,38.14833333,43.63433333,48.07066667,51.90866667,0,0,3.348,4.488,5.331333333,6.950333333,18.261,26.979,54.56766667,62.15833333,,,,,,,,,,,,,,
stdev,,,0.06081118318,0.2250755429,0.7332148389,0.8478993651,1.100480955,1.678795104,2.23395643,2.495584367,3.030029098,3.788760395,4.411266749,0,0,0.1660090359,0.2024574029,0.265447421,0.4355965259,1.680452023,2.297800905,2.790962976,3.108128751,,,,,,,,,,,,,,
Acetoin,,,,,2.681,3.090333333,4.276,5.964,6.903666667,7.650666667,8.523666667,9.069666667,9.234,0,0,0,0,0,0,4.060333333,5.548666667,12.115,12.816,,,,,,,,,,,,,,
stdev,,,,,0.3022532051,0.3369604329,0.8227387192,0.9008951104,1.208844214,1.280644499,1.326965084,1.288922935,1.279869915,0,0,0,0,0,0,0.08736322644,0.2725551932,0.3814878766,0.6635955093,,,,,,,,,,,,,,
Ethanol,,,,2.939333333,33.74633333,39.55633333,67.65233333,93.882,110.908,120.7186667,128.603,131.5836667,126.3746667,0,0,3.341666667,6.227,6.898,8.789,17.32366667,19.105,20.71666667,19.99766667,,,,,,,,,,,,,,
stdev,,,,0.3669459542,3.140988592,2.847686137,2.82530022,2.414477169,1.890536696,1.648303775,1.542990279,2.706589059,3.860690266,0,0,0.4492820198,0.2559238168,0.2820443228,0.488275537,0.2605001599,0.1297805841,0.4783558647,0.842555834,,,,,,,,,,,,,,
