gene_id	reaction_ids
R04949	Athe_2354,Athe_0458
R00093	Athe_0644
R06200	Athe_1867,Athe_1866,Athe_0234,Athe_0594
R06202	Athe_1927,Athe_0857
R06203	Athe_0184
R06207	Athe_0227
R07238	Athe_1199
R03968	Athe_2101,Athe_2100
R07237	Athe_1199
R04640	Athe_1474
R03038	Athe_1331
R03035	Athe_1227
R10170	Athe_2101,Athe_2100
R00428	Athe_0441
R00429	Athe_1951
R00582	Athe_2749
R00420	Athe_1946
R00421	Athe_1238
R00426	Athe_0838
R00424	Athe_0441
R00425	Athe_0562
R06114	Athe_1927,Athe_0857
R06447	Athe_1812
R00578	Athe_1539
R01641	Athe_2059,Athe_2060,Athe_2328
R08060	Athe_0277
R04544	Athe_2047
R02298	Athe_1775
R04543	Athe_1156
R08034	Athe_1708,Athe_1709,Athe_2359,Athe_0875,Athe_0874,Athe_0877,Athe_0876
R04463	Athe_1450,Athe_1451,Athe_1449
R02291	Athe_1135
R02297	Athe_1772
R02296	Athe_1775
R02295	Athe_1772
R02294	Athe_1772
R03104	Athe_1918
R05549	Athe_0468,Athe_1104
R04440	Athe_0504
R00143	Athe_1173
R02454	Athe_0855
R00379	Athe_1838,Athe_0003,Athe_2107,Athe_1806,Athe_0515,Athe_2316,Athe_1441,Athe_1920,Athe_1262
R00066	Athe_0563
R11312	Athe_0372
R11310	Athe_0397
R00377	Athe_1838,Athe_0003,Athe_2107,Athe_1806,Athe_0515,Athe_2316,Athe_1441,Athe_1920,Athe_1262
R11319	Athe_1725
R01072	Athe_1448
R02096	Athe_0531
R01000	Athe_1918
R01070	Athe_1995,Athe_2390,Athe_0621
R01163	Athe_1478
R03815	Athe_0703
R04268	Athe_1039
R06590	Athe_2059,Athe_2060,Athe_2328
R10813	Athe_1717,Athe_0804,Athe_1036,Athe_0805
R10810	Athe_2557
R10811	Athe_2555
R01547	Athe_1725
R03460	Athe_0843
R01762	Athe_0182,Athe_1103
R03789	Athe_0382
R01482	Athe_1402
R01480	Athe_0854
R03355	Athe_1927,Athe_0857
R03194	Athe_1199
R10646	Athe_1501
R05168	Athe_0096
R01466	Athe_0655
R05086	Athe_0655
R06129	Athe_2062
R03601	Athe_1615
R00490	Athe_0474
R00994	Athe_2099
R00995	Athe_1319
R09942	Athe_0459
R02071	Athe_0147
R00257	Athe_0223
R00256	Athe_1539,Athe_1432,Athe_0078,Athe_1908,Athe_1909,Athe_1378,Athe_1540,Athe_1541,Athe_0644
R00253	Athe_0643
R00967	Athe_0531
R00966	Athe_0633,Athe_1373
R00965	Athe_1377
R00964	Athe_0531
R00848	Athe_0930
R00849	Athe_0930
R02272	Athe_1201
R00847	Athe_1997
R00968	Athe_0531
R00192	Athe_0883
R00193	Athe_0884
R00190	Athe_0641,Athe_1952
R07604	Athe_0704
R07768	Athe_0701
R07769	Athe_0700
R07601	Athe_0704
R07600	Athe_0704
R07764	Athe_2047
R07766	Athe_0700
R07767	Athe_0701
R02853	Athe_2749
R07762	Athe_1158
R07763	Athe_1156
R01216	Athe_1981
R01214	Athe_0664
R09386	Athe_1710
R01213	Athe_0505,Athe_0507
R06927	Athe_2244
R00988	Athe_0573
R10991	Athe_0664
R02720	Athe_0838
R08362	Athe_0023
R01959	Athe_0573
R02707	Athe_1946
R07161	Athe_1505,Athe_1506,Athe_1009,Athe_1008
R08310	Athe_2244
R02003	Athe_1004
R08645	Athe_2101
R01818	Athe_0233
R01819	Athe_0619
R07168	Athe_0325
R06070	Athe_0468,Athe_1104
R09380	Athe_1153,Athe_0752,Athe_2184
R01954	Athe_1249
R07285	Athe_0837
R09383	Athe_1710
R04535	Athe_2047
R07461	Athe_1546
R07460	Athe_1547,Athe_1714
R04936	Athe_0883
R10040	Athe_2354,Athe_0458
R04509	Athe_0381
R07264	Athe_0398
R02413	Athe_1889
R09365	Athe_0324,Athe_0749,Athe_2549,Athe_2582
R04112	Athe_1064,Athe_1560,Athe_0430,Athe_1080
R00416	Athe_0635
R02558	Athe_2354,Athe_0458
R05743	Athe_1492
R01248	Athe_1339
R00674	Athe_0031,Athe_1690,Athe_1691
R00104	Athe_1333
R02557	Athe_1772
R04591	Athe_1452
R00470	Athe_2386
R00772	Athe_0619
R06245	Athe_2557
R00770	Athe_1265,Athe_1824
R00771	Athe_0619
R10997	Athe_0704
R02961	Athe_1588,Athe_2437,Athe_2017
R01049	Athe_0636
R01324	Athe_0524
R01325	Athe_0524
R01329	Athe_0468,Athe_1104
R10531	Athe_0826
R02918	Athe_0886
R06144	Athe_1927,Athe_0857
R04439	Athe_0504
R06142	Athe_0468,Athe_1104
R00036	Athe_1200
R10830	Athe_2086
R02301	Athe_1260
R00512	Athe_1325
R06091	Athe_0468,Athe_1104
R01600	Athe_0552
R06093	Athe_0468,Athe_1104
R11188	Athe_1294,Athe_1922
R06094	Athe_0468,Athe_1104
R06096	Athe_0468,Athe_1104
R06099	Athe_1927,Athe_0857
R01775	Athe_1959
R05046	Athe_0441
R01135	Athe_0046
R06513	Athe_0056
R01132	Athe_0641
R01130	Athe_1639
R04710	Athe_2518,Athe_0360,Athe_1947,Athe_0341,Athe_2694
R00955	Athe_0938
R00952	Athe_0460
R05048	Athe_0441
R11160	Athe_2198
R01786	Athe_0552
R03457	Athe_1476
R06514	Athe_0055
R07602	Athe_0704
R04238	Athe_0637
R02985	Athe_2354,Athe_0458
R02984	Athe_1148,Athe_0940
R00355	Athe_1128
R04231	Athe_1037
R04230	Athe_1037
R02617	Athe_1153,Athe_0752,Athe_2184
R00921	Athe_1494
R07282	Athe_1057
R02237	Athe_1490
R04726	Athe_1158
R08614	Athe_0227
R07641	Athe_1378,Athe_1540,Athe_1541
R07640	Athe_2183
R07133	Athe_0698
R08612	Athe_1865,Athe_1859
R03632	Athe_1681,Athe_0436,Athe_2394,Athe_1045
R03656	Athe_1349
R03634	Athe_0468,Athe_1104
R04391	Athe_0544
R05630	Athe_0775
R09593	Athe_0527
R05633	Athe_1522
R05634	Athe_1538
R04019	Athe_0468,Athe_1104
R09597	Athe_0640
R05637	Athe_1137
R01855	Athe_0838
R01856	Athe_0711
R11485	Athe_0645
R00508	Athe_1053
R02777	Athe_0060
R03348	Athe_1214
R01858	Athe_1266
R01993	Athe_1376
R02124	Athe_2244
R06092	Athe_2354,Athe_0458
R04805	Athe_2244
R09735	Athe_0828,Athe_0827
R01090	Athe_0664
R00860	Athe_1191,Athe_1192
R07180	Athe_0023
R07181	Athe_1297,Athe_1295,Athe_1298,Athe_1299
R03024	Athe_2754
R06098	Athe_1927,Athe_0857
R03182	Athe_2543
R00985	Athe_1696,Athe_1695
R02735	Athe_2115
R01251	Athe_1339
R01920	Athe_1314
R00438	Athe_1057
R08221	Athe_1777
R00431	Athe_0393
R00430	Athe_1266
R10147	Athe_1134
R00435	Athe_1717,Athe_0804,Athe_1036,Athe_0805
R00437	Athe_1057
R00436	Athe_2183
R01678	Athe_1927,Athe_0857
R04383	Athe_2384
R03898	Athe_2101,Athe_2100
R03896	Athe_2101,Athe_2100
R08198	Athe_2125,Athe_1994
R02340	Athe_0031,Athe_1690,Athe_1691
R04573	Athe_0774
R09030	Athe_0632
R03459	Athe_0564
R10247	Athe_0369
R04470	Athe_0468,Athe_1104
R10244	Athe_1772
R07456	Athe_1908,Athe_1909
R01513	Athe_2125,Athe_1994
R10712	Athe_0372
R02059	Athe_0096
R01512	Athe_1405
R02585	Athe_1076
R00177	Athe_0686
R00178	Athe_2122
R03291	Athe_1339
R03293	Athe_1339
R00734	Athe_0846,Athe_1128,Athe_1477
R01103	Athe_0468,Athe_1104
R00724	Athe_1266
R00726	Athe_0393
R06199	Athe_0165
R11307	Athe_1867,Athe_1866,Athe_0234,Athe_0594
R11308	Athe_1867,Athe_1866,Athe_0234,Athe_0594
R05071	Athe_0504
R04979	Athe_2086
R00986	Athe_1696,Athe_1695
R01073	Athe_1694
R02783	Athe_0776
R01071	Athe_1479,Athe_1480
R01074	Athe_0209
R00382	Athe_1618
R02788	Athe_0773
R01078	Athe_2541,Athe_2647
R04273	Athe_0639
R06177	Athe_2648
R06174	Athe_0778
R06172	Athe_0778
R06173	Athe_0778
R00513	Athe_0531
R06077	Athe_2354,Athe_0458
R00315	Athe_1493
R01138	Athe_1266
R06178	Athe_2648
R06179	Athe_2648
R04378	Athe_1952
R08127	Athe_2086
R04377	Athe_1794
R10807	Athe_1794
R10806	Athe_1070
R01771	Athe_1960
R09959	Athe_0440
R01773	Athe_1959
R03165	Athe_1199
R03162	Athe_2072
