rxn_id	in_Cbes_model_through_keggPsammoate	Cbes_gene_kegg	in_Cnes_model_through_CcePsammotate	Cbes_genes_cce	Cce_rxn	in_Cbes_model_through_CthPssammotate	Cbes_genes_cth	Cth_rxn	in_Cbes_model_through_TsacPsammotate	Cbes_genes_tsac	Tsac_rxn
R04949	True	peg.2930 or peg.878	False	None	None	False	None	None	False	None	None
R03293	True	peg.1827	False	None	None	False	None	None	False	None	None
R00093	False	-	True	peg.1085	GLUSx	False	None	None	False	None	None
TYRt2r	False	None	False	None	None	False	None	TYRt2r	False	None	None
R06200	True	peg.2380 or peg.2376 or peg.633 or peg.1027	False	None	None	False	None	None	False	None	None
R01968	False	None	False	-	NTD8	False	-	NTD8	False	None	None
R06202	False	- or -	False	None	None	False	None	None	False	None	None
R06203	True	peg.581	False	None	None	False	None	None	False	None	None
R11188	True	peg.1782 or peg.2439	False	None	None	False	None	None	False	None	None
R06207	True	peg.625	False	None	None	False	None	None	False	None	None
R07238	True	peg.1685	False	None	None	False	None	None	False	None	None
FACOAL100	False	None	False	None	None	False	-	FACOAL100	False	None	FACOAL100
R03968	True	peg.2652 or peg.2651	False	peg.2652 and peg.2651 and peg.2651 and -	IPPMIb	True	peg.2651 and peg.2652	IPPMIb	True	peg.2652	IPPMIb
R01395	True	peg.1868 or peg.2035 or peg.2036	False	None	None	False	None	None	False	None	None
R02071	True	peg.542	False	None	None	False	None	FRUK	False	None	None
R02437	True	peg.1160	False	None	None	False	None	None	False	None	None
UGMDDS	False	None	False	None	None	True	peg.1233	UGMDDS	False	None	None
R04640	True	peg.1967	True	peg.1967	PRMICI	True	peg.1967	PRMICIi	True	peg.1967	PRMICIi
R00948	True	peg.988 or peg.989	False	None	GLGC	False	- and (peg.434 or peg.989)	GLGC	True	peg.632	GLGC
R03038	True	peg.1819	True	peg.1819	ALATRS	True	peg.1819	ALATRS	True	peg.1819	ALATRS
PIt8	False	None	True	peg.1978	PIt8	False	None	None	False	None	None
R01444	False	None	False	None	None	True	peg.878 or peg.2930	bglu3,bglu3_ext	False	None	None
R00746	False	None	False	None	None	False	None	None	False	None	ADH2
R04112	True	- or peg.2055 or - or -	False	None	None	True	- or peg.2408 or (peg.1545 or peg.850) or peg.2055 or -	AMAA	False	-	AMAA
R00749	False	None	False	None	ETHAAL	False	None	None	False	None	None
SLDy	False	None	False	None	None	False	None	None	True	(peg.2522 or peg.2680 or peg.2970)	SLDy
R03035	True	peg.1714	True	peg.1714	PTPAT	True	peg.1714	PTPATi	True	peg.1714	PTPATi
R07268	False	None	False	None	None	False	-	CBIAT	False	-	CBIAT
R00585	False	None	False	None	None	False	None	SPTi	True	peg.2681	SPTi
R10170	True	peg.2652 or peg.2651	False	None	None	False	None	None	False	None	None
R00428	True	peg.861	False	None	None	False	None	R2	False	None	None
R00429	False	-	True	peg.2470	GTPDPK	True	peg.2470	GTPDPK	True	peg.2470	GTPDPK
CAt6	False	None	True	peg.2195	CAt6	False	None	None	False	None	None
R00582	True	peg.354	False	None	None	False	None	PSP_L	True	(peg.122 or peg.2621 or peg.2766 or peg.2884 or peg.754 or peg.817 or peg.93 or peg.999)	PSP_L
R00875	False	None	True	(peg.2633 or peg.968) or (peg.2633 or peg.968)	SBTD_Dr	False	None	None	True	(peg.2633 or peg.968)	SBTD_Dr
R00420	True	peg.2465	False	None	UAG2E	True	- or peg.2465	UAG2E	True	peg.2465	UAG2E
R00421	True	peg.1725	False	None	None	False	None	None	False	None	None
R00426	True	peg.1298	False	None	None	False	None	None	False	None	None
H2td	False	None	False	None	H2td	False	None	H2td	False	None	H2td
KAS1	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS1	True	peg.1641	KAS1
R02961	True	- or peg.3023 or peg.2557	False	None	None	False	None	None	False	None	None
R08557	True	peg.2808	False	None	None	False	None	None	False	None	None
PPTGS_CT	False	None	False	None	None	False	None	PPTGS_CT	False	None	PPTGS_CT
R06447	True	peg.2324	False	None	None	False	None	None	False	None	None
FACOAL180	False	None	False	None	None	False	-	FACOAL180	True	peg.1248	FACOAL180
FACOAL181	False	None	False	None	None	False	-	FACOAL181	True	peg.1248	FACOAL181
R09592	True	peg.958	False	None	None	False	None	None	False	None	None
LIPO1S24_CT	False	None	False	None	None	False	None	LIPO1S24_CT	False	None	LIPO1S24_CT
KAS17	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS17	True	peg.1641	KAS17
R00722	False	None	False	None	None	False	None	R13	False	-	NDPK9
R01641	True	peg.2605 or peg.2606 or peg.2903	False	-	TKT1	True	(peg.2606 or peg.2606) and (peg.2605 or peg.2605)	TKT1	True	peg.2605	TKT1
KAS10	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS10	True	peg.1641	KAS10
KAS13	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS13	True	peg.1641	KAS13
KAS12	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS12	True	peg.1641	KAS12
CO2t	False	None	False	None	CO2t	False	None	CO2t	False	None	CO2t
R04544	True	peg.2593	True	peg.2593	3HAD160	False	None	None	False	None	None
TECA3S45	False	None	False	None	TECA3S45	False	None	TECA3S45	False	None	TECA3S45
PPTGS_CC	False	None	True	(peg.1742 or peg.1767 or peg.2054) or (peg.1742 or peg.1767 or peg.2054) or (peg.1742 or peg.1767 or peg.2054)	PPTGS_CC	False	None	None	False	None	None
R04543	True	peg.1639	True	(peg.1152 or peg.1639 or peg.2965 or peg.611 or peg.932) or - or - or (peg.1152 or peg.1639 or peg.2965 or peg.611 or peg.932)	3OAR160	False	None	None	False	None	None
R04014	False	None	False	-	FA120ACPHi	False	None	None	False	None	None
R04463	True	peg.1942 or peg.1943 or peg.1941	False	-	PRFGS	False	-	PRFGS	False	-	PRFGS
R02291	False	-	True	peg.1618	ASAD	True	peg.1618	ASAD	True	peg.1618	ASAD
KAS100iso	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS100iso	False	None	KAS100iso
LIPO1S24_CA	False	None	False	None	LIPO1S24_CA	False	None	None	False	None	None
R02296	True	peg.2286	True	peg.2286	PYNP1r	True	peg.2286	PYNP1r	True	peg.2286	PYNP1r
R02295	True	peg.2283	False	None	None	False	None	None	False	None	None
R02294	True	peg.2283	False	None	None	True	(peg.1850 or peg.2283 or peg.2293) or -	PNP	False	-	PNP
R03104	True	peg.2434	True	peg.2434 or peg.2434	MCLOR	False	None	None	True	peg.2434	MCLOR
R01819	True	peg.1059	False	None	None	False	None	None	False	None	None
R05549	True	peg.888 or peg.1585	False	None	None	False	None	None	False	None	None
R04440	True	peg.935	False	None	None	False	None	None	False	None	None
R00143	True	peg.1658	False	None	None	False	None	None	False	None	None
R04049	True	peg.2965	False	None	None	False	None	None	False	None	None
CODHr	False	None	False	- and -	CODHr	False	-	CODHr	True	peg.1658	CODHr
R00379	True	peg.2350 or peg.376 or peg.2658 or peg.2318 or peg.945 or peg.2890 or peg.1933 or peg.2437 or peg.1749	False	None	None	False	None	None	False	None	None
R00066	True	peg.995	True	peg.995	RBFSb	True	peg.995 and peg.993	RBFSb	True	peg.993	RBFSb
CHTNASE1	False	None	False	None	None	False	None	None	False	-	CHTNASE1
R11312	True	peg.785	False	None	None	False	None	None	False	None	None
FACOAL180_ISO_	False	None	False	None	None	False	None	None	False	None	FACOAL180_ISO_
R00734	True	peg.1306 or peg.1610 or peg.1970	True	(peg.1610 or peg.1906 or peg.977) or (peg.1306 or peg.1970)	TYRTA	True	peg.1610 or (peg.1306 or peg.1970) or - or peg.1906	TYRTA	True	(peg.1610 or peg.1906 or peg.977)	TYRTA
R04225	True	peg.1158	False	None	None	False	None	None	False	None	None
R00377	True	peg.2350 or peg.376 or peg.2658 or peg.2318 or peg.945 or peg.2890 or peg.1933 or peg.2437 or peg.1749	False	None	None	False	None	None	False	None	None
AGPATr_CT	False	None	False	None	None	False	None	None	False	None	AGPATr_CT
KAS3	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS3	True	peg.1641	KAS3
R02097	True	peg.962	False	None	None	False	None	None	False	None	None
R03527	True	peg.2930 or peg.878	False	None	None	False	None	None	False	None	None
