12PD_TP	0	4
14GLACANASE	4.206189568	4
16GLACANASE	-154.1429571	4
ACt6	0	4
ANTIMt1	0	4
ARSNAt1	0	4
ARSt1	0	4
ATPSYN	-27.37	0.3
AXE	-63.3464555	4
AbfA	-15.60048411	4
Acetoin-Syn	-15.62	3.12
Acetoin-t	0	4
AguX	3.639732883	4
ArabABC	-27.37	0.3
BF-H2ase	15.5	4
BF-Nfn	-16.24	5.92
Bgal	11.46976089	4
BioY	0	4
CaNaEx	0	4
Cd2efflux	0	4
Co2efflux	0	4
DeoABC	-27.37	0.3
ETOHt1	0	4
FolT	-27.37	0.3
G5SADs	-4.74	4.86
GOSASE	18.73337575	4
GaltABC	-27.37	0.3
GlcABC	-27.37	0.3
GlcnABC	-27.37	0.3
HemG	-1.86	3.24
Lac-symp	0	4
MBH	19.6	6.56
MazG	-42.86	2.56
MgCaAT	-27.37	0.3
MgtE	0	4
MntH	0	4
NMPK	-2.97	1.79
PGK2	-22.12	1.4
PYRt2	0	4
R00004	-17.02	0.19
R00014	-29.25	3.45
R00036	-102.27	4.08
R00066	-99.7	8.32
R00084	-133.1	8.62
R00087	-37.52	0.57
R00104	-10.05	2.93
R00114	-50.6	0.94
R00127	-0.19	0.16
R00130	5.35	2.93
R00137	-2.95	2.93
R00143	300.258443	4
R00156	0.21	1.26
R00158	-1.17	3.19
R00161	-11.97	3.93
R00177	-51.26598459	4
R00178	-22.94	3.09
R00189	-18.24	2.8
R00190	19.32	1.34
R00192	34.74	2.93
R00193	-22.83	2.88
R00200	-27.58	0.42
R00206	-17.43	0.49
R00217	-17.25	3.12
R00230	8.88	0.61
R00239	28.54	2.3
R00253	-13.12	0.83
R00256	-14.25	0.86
R00258	0.18	0.53
R00260	0.56	2.15
R00289	-1.64	0.55
R00291	-2.92	0.83
R00299	-17.9	0.43
R00306	-12.8	1.88
R00315	-13.63	0.55
R00330	-2.8	1.33
R00332	-0.36	1.2
R00342	29.56	0.3
R00351	35.92	0.44
R00355	2.84	0.54
R00371	34.6	2.14
R00401	-0.04	1.01
R00414	-20.83	3.39
R00416	-11.23	2.94
R00418	1.53	2.68
R00420	1.53	2.68
R00421	-20.34	2.99
R00424	-74.51	8.27
R00425	-75.27	5.98
R00426	-34.55	1.87
R00428	10.39	2.93
R00429	-8.69	6.93
R00431	-13.14	3.37
R00451	-18.39	3.73
R00480	22.27	2.93
R00481_zws	0	3.34
R00489	-19.79	5.98
R00490	13.2	0.48
R00502	-2.53	1.38
R00512	1.31	2.93
R00515	-39.28	2.33
R00517	-10.36	3.07
R00529	46.53	1.16
R00549	-10.04	2.92
R00566	-4.89	6.15
R00570	0.26	2.34
R00573	-18.56	2.63
R00575	-7.93	2.65
R00578	-34.37	3.65
R00582	-10.58	0.28
R00586	-6.28	2.93
R00619	-3.7	2.45
R00651	-57.94	3.03
R00658	-3.81	0.3
R00660	-14.77	3.71
R00662	-36.75	3.85
R00674	-50.74	1.12
R00691	-77.08	11.07
R00694	-0.06	2.07
R00703	26.76	0.46
R00709	5.61	3.19
R00732	-20.51	11.06
R00734	0.42	2.07
R00742	-6.82	1.49
R00756	-14.6	0.67
R00760	-15.12	0.59
R00764	-4.25	0.7
R00768	-14.89	2.24
R00771	2.66	0.38
R00772	-1.08	1.16
R00801	-24.67	1.28
R00842	25.75	0.73
R00847	-14.22	2.08
R00856	-1.71	1.69
R00868	9.93	1.21
R00883	-0.85	3.23
R00885	-8.39	2.93
R00895	-17.02	4.7
R00896	-17.02	4.7
R00897	-51.43	5.24
R00921	20.87	3.29
R00936	-25.32	1.16
R00939	-25.19	1.11
R00942	-21.27343818	4
R00943	-2.67	1.94
R00945	6.76	1.24
R00946	-3.25	5.18
R00948	-8.33	1.36
R00952	4.04	1.69
R00964	-18.28	4.18
R00965	-26.03	8.61
R00966	-16.51	4.39
R00968	-15.47	4.38
