reaction,pH,ionic strength [M],dG'0 [kJ/mol],uncertainty [kJ/mol],ln(Reversibility Index),comment
12DAG3PS,7.0,0.25,nan,nan,nan,reaction is empty
12PD_TP,7.0,0.25,nan,nan,nan,reaction is empty
14GLACANASE,7.0,0.25,nan,nan,nan,reaction is empty
16GLACANASE,7.0,0.25,nan,nan,nan,reaction is empty
ACt6,7.0,0.25,nan,nan,nan,reaction is empty
ANTIMt1,7.0,0.25,nan,nan,nan,reaction is empty
ARSNAt1,7.0,0.25,nan,nan,nan,reaction is empty
ARSt1,7.0,0.25,nan,nan,nan,reaction is empty
ATPSYN,7.0,0.25,-27.37,0.30,-11.97,
AXE,7.0,0.25,nan,nan,nan,reaction is empty
AbfA,7.0,0.25,nan,nan,nan,reaction is empty
Acetoin-Syn,7.0,0.25,-15.62,3.12,-8.81,
Acetoin-t,7.0,0.25,nan,nan,nan,reaction is empty
AguX,7.0,0.25,nan,nan,nan,reaction is empty
ArabABC,7.0,0.25,-27.37,0.30,-11.97,
BF-H2ase,7.0,0.25,55.17,8.31,2.11,
BF-Nfn,7.0,0.25,-16.24,5.92,-1.31,
Bgal,7.0,0.25,nan,nan,nan,reaction is empty
BioY,7.0,0.25,nan,nan,nan,reaction is empty
Biomass_Cbescii,7.0,0.25,nan,nan,nan,reaction is empty
CaNaEx,7.0,0.25,nan,nan,nan,reaction is empty
Cd2efflux,7.0,0.25,nan,nan,nan,reaction is empty
CelF,7.0,0.25,nan,nan,nan,reaction is empty
Co2efflux,7.0,0.25,nan,nan,nan,reaction is empty
DeoABC,7.0,0.25,-27.37,0.30,-11.97,
ETOHt1,7.0,0.25,nan,nan,nan,reaction is empty
EpxqR,7.0,0.25,nan,nan,nan,reaction is empty
FUCASE,7.0,0.25,nan,nan,nan,reaction is empty
FUCASE2,7.0,0.25,nan,nan,nan,reaction is empty
FolT,7.0,0.25,-27.37,0.30,-11.97,
G5SADs,7.0,0.25,-4.74,4.86,-1.91,
GOSASE,7.0,0.25,nan,nan,nan,reaction is empty
GaltABC,7.0,0.25,-27.37,0.30,-11.97,
GlcABC,7.0,0.25,-27.37,0.30,-11.97,
GlcnABC,7.0,0.25,-27.37,0.30,-11.97,
HemG,7.0,0.25,-1.86,3.24,-0.75,
KAS11,7.0,0.25,nan,nan,nan,reaction is empty
KAS12,7.0,0.25,nan,nan,nan,reaction is empty
KAS13,7.0,0.25,nan,nan,nan,reaction is empty
KAS17_1,7.0,0.25,nan,nan,nan,reaction is empty
KAS17_2,7.0,0.25,nan,nan,nan,reaction is empty
KAS1OH3,7.0,0.25,nan,nan,nan,reaction is empty
KAS2,7.0,0.25,nan,nan,nan,reaction is empty
KAS3,7.0,0.25,nan,nan,nan,reaction is empty
KAS6,7.0,0.25,nan,nan,nan,reaction is empty
KAS8,7.0,0.25,nan,nan,nan,reaction is empty
LIPO1S24_Cbes,7.0,0.25,nan,nan,nan,reaction is empty
LIPO2S24_Cbes,7.0,0.25,nan,nan,nan,reaction is empty
LIPO3S24_Cbes,7.0,0.25,nan,nan,nan,reaction is empty
LIPO4S24_Cbes,7.0,0.25,nan,nan,nan,reaction is empty
Lac-symp,7.0,0.25,nan,nan,nan,reaction is empty
MBH,7.0,0.25,19.60,6.56,0.40,
MazG,7.0,0.25,-42.86,2.56,-16.14,
MgCaAT,7.0,0.25,-27.37,0.30,-11.97,
MgtE,7.0,0.25,nan,nan,nan,reaction is empty
MntH,7.0,0.25,nan,nan,nan,reaction is empty
NMPK,7.0,0.25,-2.97,1.79,-0.60,
PECASE,7.0,0.25,nan,nan,nan,reaction is empty
PGK2,7.0,0.25,-22.12,1.40,-4.46,
PPTGS_Cbes,7.0,0.25,nan,nan,nan,reaction is empty
PYRt2,7.0,0.25,nan,nan,nan,reaction is empty
QueA,7.0,0.25,nan,nan,nan,reaction is empty
R00004,7.0,0.25,-17.02,0.19,-9.18,
R00014,7.0,0.25,-29.25,3.45,-5.90,
R00036,7.0,0.25,-102.27,4.08,-22.91,
R00066,7.0,0.25,-99.70,8.32,-20.12,
R00084,7.0,0.25,-133.10,8.62,-13.47,
R00087,7.0,0.25,-37.52,0.57,-14.70,
R00104,7.0,0.25,-10.05,2.93,-2.03,
R00114,7.0,0.25,-50.60,0.94,-6.81,
R00127,7.0,0.25,-0.19,0.16,-0.04,
R00130,7.0,0.25,5.35,2.93,1.08,
R00137,7.0,0.25,-2.95,2.93,-0.60,
R00143,7.0,0.25,262.19,100000.00,-16.69,
R00156,7.0,0.25,0.21,1.26,0.04,
R00158,7.0,0.25,-1.17,3.19,-0.24,
R00161,7.0,0.25,-11.97,3.93,-2.42,
R00177,7.0,0.25,88.13,100000.00,16.99,
R00178,7.0,0.25,-22.94,3.09,-10.78,
R00189,7.0,0.25,-18.24,2.80,-2.45,
R00190,7.0,0.25,19.32,1.34,3.90,
R00192,7.0,0.25,34.74,2.93,4.74,
R00193,7.0,0.25,-22.83,2.88,-10.75,
R00200,7.0,0.25,-27.58,0.42,-5.57,
R00206,7.0,0.25,-17.43,0.49,-2.34,
R00217,7.0,0.25,-17.25,3.12,-9.25,
R00230,7.0,0.25,8.88,0.61,1.79,
R00239,7.0,0.25,28.54,2.30,5.76,
R00253,7.0,0.25,-13.12,0.83,-1.76,
R00256,7.0,0.25,-14.25,0.86,-8.44,
R00258,7.0,0.25,0.18,0.53,0.04,
R00260,7.0,0.25,0.56,2.15,0.23,
R00289,7.0,0.25,-1.64,0.55,-0.33,
R00291,7.0,0.25,-2.92,0.83,-1.18,
R00299,7.0,0.25,-17.90,0.43,-3.61,
R00306,7.0,0.25,-12.80,1.88,-8.05,
R00315,7.0,0.25,-13.63,0.55,-2.75,
R00330,7.0,0.25,-2.80,1.33,-0.57,
R00332,7.0,0.25,-0.36,1.20,-0.07,
R00342,7.0,0.25,29.56,0.30,5.97,
R00351,7.0,0.25,35.92,0.44,7.25,
R00355,7.0,0.25,2.84,0.54,0.57,
R00371,7.0,0.25,34.60,2.14,6.98,
R00401,7.0,0.25,-0.04,1.01,-0.02,
R00414,7.0,0.25,-20.83,3.39,-10.21,
R00416,7.0,0.25,-11.23,2.94,-2.27,
R00418,7.0,0.25,1.53,2.68,0.62,
R00420,7.0,0.25,1.53,2.68,0.62,
R00421,7.0,0.25,-20.34,2.99,-2.74,
R00424,7.0,0.25,-74.51,8.27,-24.65,
R00425,7.0,0.25,-75.27,5.98,-22.10,
R00426,7.0,0.25,-34.55,1.87,-13.90,
R00428,7.0,0.25,10.39,2.93,4.20,
R00429,7.0,0.25,-8.69,6.93,-1.75,
R00431,7.0,0.25,-13.14,3.37,0.64,
R00451,7.0,0.25,-18.39,3.73,-9.55,
R00480,7.0,0.25,22.27,2.93,4.50,
R00481_zws,7.0,0.25,0.00,3.34,0.00,
R00489,7.0,0.25,-19.79,5.98,-9.93,
R00490,7.0,0.25,13.20,0.48,-1.05,
R00502,7.0,0.25,-2.53,1.38,-0.51,
R00512,7.0,0.25,1.31,2.93,0.26,
R00515,7.0,0.25,-39.28,2.33,-15.18,
R00517,7.0,0.25,-10.36,3.07,-2.09,
R00529,7.0,0.25,46.53,1.16,9.39,
R00549,7.0,0.25,-10.04,2.92,-2.03,
R00566,7.0,0.25,-4.89,6.15,-5.92,
R00570,7.0,0.25,0.26,2.34,0.05,
R00573,7.0,0.25,-18.56,2.63,-4.11,
R00575,7.0,0.25,-7.93,2.65,-2.25,
R00578,7.0,0.25,-34.37,3.65,-5.94,
R00582,7.0,0.25,-10.58,0.28,-7.45,
R00586,7.0,0.25,-6.28,2.93,-1.27,
R00619,7.0,0.25,-3.70,2.45,-0.75,
R00651,7.0,0.25,-57.94,3.03,-11.69,
R00658,7.0,0.25,-3.81,0.30,-1.54,
R00660,7.0,0.25,-14.77,3.71,-2.98,
R00662,7.0,0.25,-36.75,3.85,-14.49,
R00674,7.0,0.25,-50.74,1.12,-9.05,
R00691,7.0,0.25,-77.08,11.07,-25.34,
R00694,7.0,0.25,-0.06,2.07,-0.01,
R00703,7.0,0.25,26.76,0.46,5.40,
R00709,7.0,0.25,5.61,3.19,-1.86,
R00732,7.0,0.25,-20.51,11.06,-6.07,
R00734,7.0,0.25,0.42,2.07,0.09,
R00742,7.0,0.25,-6.82,1.49,-0.92,
R00756,7.0,0.25,-14.60,0.67,-2.95,
R00760,7.0,0.25,-15.12,0.59,-3.05,
R00764,7.0,0.25,-4.25,0.70,-0.86,
R00768,7.0,0.25,-14.89,2.24,-3.01,
R00771,7.0,0.25,2.66,0.38,1.07,
R00772,7.0,0.25,-1.08,1.16,-0.44,
R00801,7.0,0.25,-24.67,1.28,-11.24,
R00842,7.0,0.25,25.75,0.73,5.20,
R00847,7.0,0.25,-14.22,2.08,-2.87,
R00856,7.0,0.25,-1.71,1.69,-0.34,
R00868,7.0,0.25,9.93,1.21,2.00,
R00883,7.0,0.25,-0.85,3.23,-0.17,
R00885,7.0,0.25,-8.39,2.93,-1.69,
R00895,7.0,0.25,-17.02,4.70,-3.43,
R00896,7.0,0.25,-17.02,4.70,-3.43,
R00897,7.0,0.25,-51.43,5.24,-10.38,
R00921,7.0,0.25,20.87,3.29,4.21,
R00936,7.0,0.25,-25.32,1.16,-5.11,
