reaction,pH,ionic strength [M],dG'0 [kJ/mol],uncertainty [kJ/mol],ln(Reversibility Index),comment
ex_14glucan_e,7.0,0.25,nan,nan,nan,reaction is not chemically balanced
ex_fe3hox_e,7.0,0.25,nan,nan,nan,reaction is empty
ex_mobd_e,7.0,0.25,nan,nan,nan,reaction is not chemically balanced
14glucanabcpp,7.0,0.25,nan,nan,nan,reaction is not chemically balanced
14glucantexi,7.0,0.25,nan,nan,nan,reaction is not chemically balanced
23pde2pp,7.0,0.25,-30.93,3.03,-12.49,
23pde4pp,7.0,0.25,-30.13,3.03,-12.16,
23pde7pp,7.0,0.25,-30.23,3.03,-12.20,
23pde9pp,7.0,0.25,-30.14,3.03,-12.16,
2mahmp,7.0,0.25,-35.57,4.47,-14.18,
3hcinnmh,7.0,0.25,-442.76,3.75,-68.72,
3hpppnh,7.0,0.25,-442.77,3.75,-68.72,
3kgk,7.0,0.25,-15.31,1.24,-3.09,
3ntd2pp,7.0,0.25,-14.47,1.88,-8.50,
3ntd4pp,7.0,0.25,-22.67,2.20,-10.71,
3ntd7pp,7.0,0.25,-18.22,2.99,-9.51,
3ntd9pp,7.0,0.25,-13.85,3.41,-8.33,
3oxcoat,7.0,0.25,-28.62,2.68,-5.77,
4hthrs,7.0,0.25,-15.08,1.25,-8.66,
5dglcnr,7.0,0.25,-20.40,3.25,-4.12,
abutd,7.0,0.25,-47.35,2.01,-9.56,
acacct,7.0,0.25,6.10,1.41,1.23,
acact1r,7.0,0.25,24.96,0.86,5.04,
acact2r,7.0,0.25,30.43,1.92,6.14,
acact3r,7.0,0.25,30.17,1.34,6.09,
acact4r,7.0,0.25,30.17,1.34,6.09,
acact5r,7.0,0.25,30.17,1.34,6.09,
acact6r,7.0,0.25,30.17,1.34,6.09,
acact7r,7.0,0.25,30.17,1.34,6.09,
acact8r,7.0,0.25,-32.92,1.87,-6.64,
acald,7.0,0.25,-17.62,1.20,-0.08,
acanthat,7.0,0.25,-18.31,3.38,-3.70,
acbipgt,7.0,0.25,1391.56,156772.02,7.75,
accoac,7.0,0.25,-6.82,1.49,-0.92,
accoal,7.0,0.25,11.81,2.95,1.59,
acgal1pppp,7.0,0.25,-24.65,1.39,-11.24,
acgam1pppp,7.0,0.25,-22.46,2.64,-10.65,
acgamk,7.0,0.25,-9.56,2.58,-1.93,
acgaptspp,7.0,0.25,-37.14,2.63,-7.50,
acgk,7.0,0.25,24.35,3.08,4.91,
achbs,7.0,0.25,-21.15,4.91,-4.27,
ackr,7.0,0.25,13.63,0.55,2.75,
acmanaptspp,7.0,0.25,-38.80,3.10,-7.83,
acmumptspp,7.0,0.25,-42.81,1.30,-8.64,
acnml,7.0,0.25,7.64,0.88,-2.55,
acoad1f,7.0,0.25,32.27,3.91,6.51,
acoad2f,7.0,0.25,37.65,3.66,7.60,
acoad3f,7.0,0.25,37.84,3.20,7.64,
acoad4f,7.0,0.25,37.84,3.20,7.64,
acoad5f,7.0,0.25,37.84,3.20,7.64,
acoad6f,7.0,0.25,37.84,3.20,7.64,
acoad7f,7.0,0.25,40.59,3.55,8.19,
acoad8f,7.0,0.25,37.84,3.20,7.64,
acoda,7.0,0.25,-6.84,3.50,-6.45,
aconis,7.0,0.25,4.50,2.84,1.82,
aconmt,7.0,0.25,48.94,100000.00,9.88,
aconta,7.0,0.25,8.47,1.13,3.42,
acontb,7.0,0.25,-1.62,1.13,-0.66,
acs,7.0,0.25,-5.40,0.40,-0.73,
adcl,7.0,0.25,-88.32,7.81,-28.37,
adk1,7.0,0.25,-0.19,0.16,-0.04,
adk3,7.0,0.25,2.61,1.33,0.53,
adk4,7.0,0.25,-1.52,1.46,-0.31,
admdc,7.0,0.25,-22.94,3.09,-10.78,
adncyc,7.0,0.25,3.35,0.99,-3.70,
adnk1,7.0,0.25,-12.57,1.43,-2.54,
adocbik,7.0,0.25,840.90,141421.36,-5.10,
adocbls,7.0,0.25,-1356.98,156772.02,-17.55,
adprdp,7.0,0.25,-24.99,3.33,-11.33,
adpt,7.0,0.25,-19.32,1.34,-3.90,
adsk,7.0,0.25,-14.84,5.95,-3.00,
adsl1r,7.0,0.25,16.14,1.38,-0.26,
adsl2r,7.0,0.25,23.28,2.93,1.66,
agdc,7.0,0.25,-7.92,3.78,-6.74,
agmhe,7.0,0.25,0.00,0.00,0.00,
agmt,7.0,0.25,-58.59,6.31,-20.37,
agpr,7.0,0.25,7.69,1.62,4.01,
aicart,7.0,0.25,7.04,2.93,1.42,
airc2,7.0,0.25,-57.35,6.04,-7.72,
airc3,7.0,0.25,-30.54,6.03,-12.33,
akgdh,7.0,0.25,-28.00,3.88,-3.77,
alcd19,7.0,0.25,-39.14,2.01,-7.90,
alcd2x,7.0,0.25,21.11,0.32,4.26,
aldd19xr,7.0,0.25,-37.46,1.70,-7.56,
aldd2x,7.0,0.25,-49.74,1.29,-10.04,
aldd2y,7.0,0.25,-49.87,1.32,-10.06,
aldd3y,7.0,0.25,-49.22,2.60,-9.93,
aldd4,7.0,0.25,-43.94,3.86,-8.87,
alltn,7.0,0.25,-54.74,9.56,-22.09,
alr2,7.0,0.25,-18.90,1.71,-3.81,
altrh,7.0,0.25,-34.56,3.66,-13.95,
amanaper,7.0,0.25,-2.07,2.93,-0.83,
amank,7.0,0.25,-11.22,3.06,-2.26,
amaotr,7.0,0.25,-0.58,0.00,-0.12,
ampms2,7.0,0.25,-180.73,4.65,-28.92,
ampn,7.0,0.25,-20.22,2.03,-10.05,
anprt,7.0,0.25,-60.21,3.62,-12.15,
aobutds,7.0,0.25,-19.84,3.09,-9.94,
ap4ah,7.0,0.25,-38.80,8.35,-15.04,
ap4as,7.0,0.25,1.08,8.36,0.22,
ap5ah,7.0,0.25,-4522.19,100000.00,-5.50,
apcs,7.0,0.25,3.46,100000.00,0.70,
