reaction,pH,ionic strength [M],dG'0 [kJ/mol],uncertainty [kJ/mol],ln(Reversibility Index),comment
12DAG3PS,7.0,0.0,nan,nan,nan,reaction is empty
12PD_TP,7.0,0.0,nan,nan,nan,reaction is empty
14GLACANASE,7.0,0.0,nan,nan,nan,reaction is empty
16GLACANASE,7.0,0.0,nan,nan,nan,reaction is empty
ACt6,7.0,0.0,nan,nan,nan,reaction is empty
ANTIMt1,7.0,0.0,nan,nan,nan,reaction is empty
ARSNAt1,7.0,0.0,nan,nan,nan,reaction is empty
ARSt1,7.0,0.0,nan,nan,nan,reaction is empty
ATPSYN,7.0,0.0,-25.87,0.30,-11.57,
AXE,7.0,0.0,nan,nan,nan,reaction is empty
AbfA,7.0,0.0,nan,nan,nan,reaction is empty
Acetoin-Syn,7.0,0.0,-17.24,3.12,-9.24,
Acetoin-t,7.0,0.0,nan,nan,nan,reaction is empty
AguX,7.0,0.0,nan,nan,nan,reaction is empty
ArabABC,7.0,0.0,-25.87,0.30,-11.57,
BF-H2ase,7.0,0.0,51.54,8.31,1.75,
BF-Nfn,7.0,0.0,-15.44,5.92,-1.25,
Bgal,7.0,0.0,nan,nan,nan,reaction is empty
BioY,7.0,0.0,nan,nan,nan,reaction is empty
Biomass_Cbescii,7.0,0.0,nan,nan,nan,reaction is empty
CaNaEx,7.0,0.0,nan,nan,nan,reaction is empty
Cd2efflux,7.0,0.0,nan,nan,nan,reaction is empty
CelF,7.0,0.0,nan,nan,nan,reaction is empty
Co2efflux,7.0,0.0,nan,nan,nan,reaction is empty
DeoABC,7.0,0.0,-25.87,0.30,-11.57,
ETOHt1,7.0,0.0,nan,nan,nan,reaction is empty
EpxqR,7.0,0.0,nan,nan,nan,reaction is empty
FUCASE,7.0,0.0,nan,nan,nan,reaction is empty
FUCASE2,7.0,0.0,nan,nan,nan,reaction is empty
FolT,7.0,0.0,-25.87,0.30,-11.57,
G5SADs,7.0,0.0,-3.27,4.86,-1.32,
GOSASE,7.0,0.0,nan,nan,nan,reaction is empty
GaltABC,7.0,0.0,-25.87,0.30,-11.57,
GlcABC,7.0,0.0,-25.87,0.30,-11.57,
GlcnABC,7.0,0.0,-25.87,0.30,-11.57,
HemG,7.0,0.0,-1.89,3.24,-0.76,
KAS11,7.0,0.0,nan,nan,nan,reaction is empty
KAS12,7.0,0.0,nan,nan,nan,reaction is empty
KAS13,7.0,0.0,nan,nan,nan,reaction is empty
KAS17_1,7.0,0.0,nan,nan,nan,reaction is empty
KAS17_2,7.0,0.0,nan,nan,nan,reaction is empty
KAS1OH3,7.0,0.0,nan,nan,nan,reaction is empty
KAS2,7.0,0.0,nan,nan,nan,reaction is empty
KAS3,7.0,0.0,nan,nan,nan,reaction is empty
KAS6,7.0,0.0,nan,nan,nan,reaction is empty
KAS8,7.0,0.0,nan,nan,nan,reaction is empty
LIPO1S24_Cbes,7.0,0.0,nan,nan,nan,reaction is empty
LIPO2S24_Cbes,7.0,0.0,nan,nan,nan,reaction is empty
LIPO3S24_Cbes,7.0,0.0,nan,nan,nan,reaction is empty
LIPO4S24_Cbes,7.0,0.0,nan,nan,nan,reaction is empty
Lac-symp,7.0,0.0,nan,nan,nan,reaction is empty
MBH,7.0,0.0,19.60,6.56,0.40,
MazG,7.0,0.0,-40.92,2.56,-15.62,
MgCaAT,7.0,0.0,-25.87,0.30,-11.57,
MgtE,7.0,0.0,nan,nan,nan,reaction is empty
MntH,7.0,0.0,nan,nan,nan,reaction is empty
NMPK,7.0,0.0,-1.98,1.79,-0.40,
PECASE,7.0,0.0,nan,nan,nan,reaction is empty
PGK2,7.0,0.0,-18.51,1.40,-3.74,
PPTGS_Cbes,7.0,0.0,nan,nan,nan,reaction is empty
PYRt2,7.0,0.0,nan,nan,nan,reaction is empty
QueA,7.0,0.0,nan,nan,nan,reaction is empty
R00004,7.0,0.0,-14.79,0.19,-8.58,
R00014,7.0,0.0,-30.43,3.45,-6.14,
R00036,7.0,0.0,-101.09,4.08,-22.60,
R00066,7.0,0.0,-101.32,8.32,-20.45,
R00084,7.0,0.0,-81.73,8.62,-8.87,
R00087,7.0,0.0,-34.98,0.57,-14.02,
R00104,7.0,0.0,-5.72,2.93,-1.15,
R00114,7.0,0.0,-54.00,0.94,-7.27,
R00127,7.0,0.0,-1.98,0.16,-0.40,
R00130,7.0,0.0,11.74,2.93,2.37,
R00137,7.0,0.0,-3.99,2.93,-0.81,
R00143,7.0,0.0,265.82,100000.00,-15.95,
R00156,7.0,0.0,9.07,1.26,1.83,
R00158,7.0,0.0,-3.67,3.19,-0.74,
R00161,7.0,0.0,-11.09,3.93,-2.24,
R00177,7.0,0.0,87.27,100000.00,16.85,
R00178,7.0,0.0,-21.31,3.09,-10.34,
R00189,7.0,0.0,-19.35,2.80,-2.60,
R00190,7.0,0.0,21.96,1.34,4.43,
R00192,7.0,0.0,34.74,2.93,4.74,
R00193,7.0,0.0,-22.83,2.88,-10.75,
R00200,7.0,0.0,-30.02,0.42,-6.06,
R00206,7.0,0.0,-20.91,0.49,-2.81,
R00217,7.0,0.0,-20.22,3.12,-10.04,
R00230,7.0,0.0,14.97,0.61,3.02,
R00239,7.0,0.0,31.02,2.30,6.26,
R00253,7.0,0.0,-13.24,0.83,-1.78,
R00256,7.0,0.0,-12.63,0.86,-8.00,
R00258,7.0,0.0,-1.45,0.53,-0.29,
R00260,7.0,0.0,0.38,2.15,0.15,
R00289,7.0,0.0,-10.43,0.55,-2.11,
R00291,7.0,0.0,-2.92,0.83,-1.18,
R00299,7.0,0.0,-14.26,0.43,-2.88,
R00306,7.0,0.0,-12.80,1.88,-8.05,
R00315,7.0,0.0,-15.70,0.55,-3.17,
R00330,7.0,0.0,-0.78,1.33,-0.16,
R00332,7.0,0.0,-3.17,1.20,-0.64,
R00342,7.0,0.0,32.65,0.30,6.59,
R00351,7.0,0.0,34.48,0.44,6.96,
R00355,7.0,0.0,2.62,0.54,0.53,
R00371,7.0,0.0,39.23,2.14,7.92,
R00401,7.0,0.0,-0.04,1.01,-0.02,
R00414,7.0,0.0,-23.80,3.39,-11.01,
R00416,7.0,0.0,-20.45,2.94,-4.13,
R00418,7.0,0.0,1.51,2.68,0.61,
R00420,7.0,0.0,1.59,2.68,0.64,
R00421,7.0,0.0,-6.99,2.99,-0.94,
R00424,7.0,0.0,-55.36,8.27,-19.50,
R00425,7.0,0.0,-71.30,5.98,-21.30,
R00426,7.0,0.0,-33.00,1.87,-13.48,
R00428,7.0,0.0,23.04,2.93,9.30,
R00429,7.0,0.0,40.17,6.93,8.11,
R00431,7.0,0.0,-10.58,3.37,1.05,
R00451,7.0,0.0,-18.40,3.73,-9.56,
R00480,7.0,0.0,24.06,2.93,4.85,
R00481_zws,7.0,0.0,-0.27,3.34,-0.05,
R00489,7.0,0.0,-21.35,5.98,-10.35,
R00490,7.0,0.0,16.36,0.48,-0.20,
R00502,7.0,0.0,-11.69,1.38,-2.36,
R00512,7.0,0.0,-0.50,2.93,-0.10,
R00515,7.0,0.0,-36.87,2.33,-14.53,
R00517,7.0,0.0,-9.00,3.07,-1.82,
R00529,7.0,0.0,45.47,1.16,9.18,
R00549,7.0,0.0,-7.03,2.92,-1.42,
