C00025	CHB_29985
C00024	CHB_15351
C00148	CHB_17203
C00026	CHB_16810
C00021	CHB_16680
C00020	CHB_16027
C00352	CHB_58725
C00022	CHB_15361
C00143	CHB_1989
C00140	CHB_506227
C00029	CHB_18066
C00147	CHB_16708
C01101	CHB_17666
C01100	CHB_16996
C00149	CHB_15589
C00417	CHB_16383
C00944	CHB_32364
C05402	CHB_28053
C00212	CHB_16335
C00378	CHB_18385
C00458	CHB_16311
C00620	CHB_35425
C11355	CHB_35181
C00437	CHB_16543
C00312	MAN_10210
C00438	CHB_15859
C00536	CHB_18036
C00534	CHB_16410
C00239	CHB_15918
C01083	CHB_16551
C00705	CHB_28846
C00231	CHB_16332
C00234	CHB_15637
C00235	CHB_16057
C00236	CHB_16001
C00010	CHB_15346
C00011	CHB_16526
C00013	CHB_18361
C00014	CHB_16134
C00015	CHB_17659
C00016	CHB_16238
C00019	CHB_15414
C00153	CHB_17154
C00152	CHB_17196
C00155	CHB_17588
C00154	CHB_15525
C00794	CHB_17924
C04751	CHB_28413
C00214	CHB_17748
C00227	CHB_15350
C00459	CHB_18077
C00224	CHB_17709
C00424	CHB_18041
C01235	CHB_17505
C05382	MAN_10207
C00191	PBC_444791
C00387	CHB_16750
C00380	CHB_16040
C00455	CHB_16171
C04677	CHB_18406
C00301	CHB_16960
C00385	CHB_17712
C00409	CHB_16007
C00636	CHB_35374
C00493	CHB_16119
C00309	CHB_28552
C00364	CHB_63528
C00365	CHB_17622
C00362	CHB_16192
C00363	CHB_18075
C00009	CHB_26078
C00008	CHB_16761
C00006	CHB_18009
C00005	CHB_16474
C00004	CHB_16908
C00003	CHB_15846
C00002	CHB_15422
C00001	CHB_15377
C01185	CHB_15763
C00331	CHB_17640
C00966	CHB_17094
C00252	CHB_28189
C00253	CHB_15940
C00250	CHB_17310
C00251	CHB_29748
C00257	CHB_18391
C00254	CHB_57852
C00392	CHB_16899
C00258	CHB_16659
C00259	CHB_17535
C01005	CHB_15811
C00645	CHB_63153
C00099	CHB_16958
C00311	CHB_16087
C00310	CHS_388344
C00559	CHB_17256
C00558	CHB_17886
C00492	CHB_16634
C00314	CHB_16709
C00092	CHB_4170
C00093	CHB_15978
C00498	CHB_15751
C00095	CHB_37721
C00096	CHB_15820
C00097	CHB_17561
C00078	CHB_16828
C00079	CHB_17295
C00073	CHB_16643
C00077	CHB_15729
C00074	CHB_18021
C00075	CHB_15713
C00333	CHB_4153
C00870	CHB_16836
C03232	CHB_18110
C00337	CHB_30864
C01019	CHB_2181
C00905	CHB_4126
C00086	CHB_16199
C00085	CHB_61553
C00084	CHB_15343
C00083	CHB_15531
C00082	CHB_17895
C03373	CHB_28843
C01131	MAN_10211
C00243	CHB_36219
C00624	CHB_44337
C00407	CHB_17191
C00979	CHB_17981
C00089	CHB_17992
C00460	CHB_17625
C00166	CHB_30851
C00673	MAN_10201
C02226	CHB_30719
C01099	CHB_6220
C00163	CHB_17272
C01096	CHB_17044
C01094	CHB_37515
C01352	CHB_17877
C00169	CHB_17672
C04734	CHB_18381
C00106	CHB_17568
C00882	CHB_57328
C00105	CHB_16695
C03082	CHB_30407
C00345	CHB_48928
C00101	CHB_15635
C00061	CHB_17621
C00063	CHB_17677
C00062	CHB_16467
C00065	CHB_17115
C00064	CHB_18050
C00067	CHB_16842
C00109	CHB_16763
C00861	MAN_10205
C00286	CHB_16497
C00864	CHB_16454
C04501	CHB_7125
C00881	CHB_15698
C03360	CHB_17440
C00740	CHB_16523
C00360	CHB_17713
C00275	CHB_43896
C00361	CHB_28862
