C05335	C[Se]CCC(C(=O)O)N
C17467	C1=CC(=CC=C1CO)O
C00148	C1CC(NC1)C(=O)O
C02876	CCC(=O)OP(=O)([O-])[O-]
C00149	C(C(C(=O)[O-])O)C(=O)[O-]
C00944	C1C(C(C(=O)CC1(C(=O)[O-])O)O)O
C04332	CC1(\N=C2(C(/N(C[C@H](O)[C@H](O)[C@H](O)CO)C(/C)=1)=N\C(=O)[N-]C(=O)2))
C14818	[Fe+2]
C00430	C(CC(=O)O)C(=O)CN
C00437	CC(=O)NC(CCCN)C(=O)O
C01024	C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-])CC(=O)[O-])CCC(=O)[O-]
C00826	C1=CC(C=CC1O)(CC(C(=O)[O-])[NH3+])C(=O)[O-]
C00536	[O-]P(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-]
C00534	CC1=NC=C(C(=C1O)C[NH3+])CO
C12486	B(O)(O)O
C04877	C[C@@H](C(=O)N[C@@H](C(=O)[O-])CCC(=O)N[C@@H](CCC[C@@H]([NH3+])C(=O)[O-])C([O-])=O)NC(=O)[C@@H](C)O[C@H]1([C@H](O)[C@@H](CO)O[C@@H]([C@H](NC(=O)C)1)OP(OP(OC[C@@H]3([C@H]([C@H]([C@H](N2(\C=C/C(=O)NC2=O))O3)O)O))(=O)[O-])(=O)[O-])
C04874	C1C(=NC2=C(N1)N=C(NC2=O)N)C(C(CO)O)O
C01185	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])[O-])O)O)C(=O)[O-]
C05399	C(C1C(C(C(C(O1)OCC(C(C(C(CO)O)O)O)O)O)O)O)O
C00794	C(C(C(C(C(CO)O)O)O)O)O
C01233	C(COP(=O)(O)OCC(CO)O)N
C00224	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OS(=O)(=O)[O-])O)O)N
C01235	C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)O)O)O)O
C00385	C1=NC2=C(N1)C(=O)NC(=O)N2
C00387	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)N=C(NC2=O)N
C00380	C1=C(NC(=O)N=C1)N
POS2	CC1OC(O)C(OC2OC(=CC(O)C2O)C([O-])=O)C(O)C1O
C11173	CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)O
C14463	CCC(C)(C(=O)C(=O)[O-])O
C01330	[Na+]
C00542	C(CSCC(C(=O)O)N)C(C(=O)O)N
C11537	C(C(C(=O)[O-])O)S(=O)(=O)[O-]
C05839	C1=CC=C(C(=C1)C=CC(=O)[O-])OC2C(C(C(C(O2)CO)O)O)O
C02291	C(CSCC(C(=O)O)N)C(C(=O)O)N
C00364	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)([O-])[O-])O
C00365	C1C(C(OC1N2C=CC(=O)NC2=O)COP(=O)([O-])[O-])O
C00362	C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)COP(=O)([O-])[O-])O
C00363	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)([O-])OP(=O)([O-])[O-])O
C00360	C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)([O-])[O-])O
C00008	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N
C00006	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O)C(=O)N
C00005	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)([O-])[O-])O)O)O
C00004	C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O
C00003	C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N
C00002	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N
C00001	O
C05702	[NH3+]C(CCOP(=O)([O-])[O-])C(=O)[O-]
C06232	[O-][Mo](=O)(=O)[O-]
C16618	O=c1[nH]c(=S)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1
C02612	CC(CC(=O)[O-])(C(=O)[O-])O
C03741	C(CC(=O)O)C(C=O)N
C16614	CSC1=NC=NC2=C1NC=N2
C03742	C1=CC(=CC=C1C(C#N)O)O
C00645	CC(=O)NC1C(C(C(OC1O)CO)O)O
