patric_id	KO	COG	COG_function
fig|31899.10.peg.75	K14059	L	Integrase
fig|31899.10.peg.76	K01012	H	Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism (By similarity)
fig|31899.10.peg.77	"K00833,K19563"	H	"Catalyzes the transfer of the alpha-amino group from S- adenosyl-L-methionine (SAM) to 7-keto-8-aminopelargonic acid (KAPA) to form 7,8-diaminopelargonic acid (DAPA). It is the only animotransferase known to utilize SAM as an amino donor (By similarity)"
fig|31899.10.peg.78	"K01935,K02169"	H	"Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring (By similarity)"
fig|31899.10.peg.79	"K02014,K03523"	S	bioY protein
fig|31899.10.peg.81		K	AbrB Family Transcriptional Regulator
fig|31899.10.peg.82		S	cytotoxic translational repressor
fig|31899.10.peg.86	K00549	E	Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation (By similarity)
fig|31899.10.peg.87	K07720	T	"two component transcriptional regulator, arac family"
fig|31899.10.peg.88	K07718	T	integral membrane sensor signal transduction histidine kinase
fig|31899.10.peg.89	K17320	P	Binding-protein-dependent transport systems inner membrane component
fig|31899.10.peg.90	K17319	G	"Binding-protein-dependent transport systems, inner membrane component"
fig|31899.10.peg.91	"K02027,K17318"	G	extracellular solute-binding protein family 1
fig|31899.10.peg.92	K18785	G	glycosidase
fig|31899.10.peg.93	"K02529,K03604"	K	Transcriptional regulator (LacI family
fig|31899.10.peg.94	"K01787,K16213"	G	n-acylglucosamine 2-epimerase
fig|31899.10.peg.95		S	Trehalose utilisation
fig|31899.10.peg.96	K05606	S	Lactoylglutathione lyase
fig|31899.10.peg.97	K03924	S	"ATPase associated with various cellular activities, AAA_3"
fig|31899.10.peg.98		"D, Z"	"regulator of chromosome condensation, RCC1"
fig|31899.10.peg.100	K07493	L	transposase mutator type
fig|31899.10.peg.102		U	Inherit from COG: filamentous hemagglutinin family outer membrane protein
fig|31899.10.peg.104	K07216	S	"hemerythrin-like, metal-binding protein"
fig|31899.10.peg.106		"D, Z"	"regulator of chromosome condensation, RCC1"
fig|31899.10.peg.107		S	NA
fig|31899.10.peg.108		S	domain protein
fig|31899.10.peg.110	K07216	S	"hemerythrin-like, metal-binding protein"
fig|31899.10.peg.112		"D, Z"	"regulator of chromosome condensation, RCC1"
fig|31899.10.peg.113		S	NA
fig|31899.10.peg.114		S	domain protein
fig|31899.10.peg.115		U	Inherit from COG: filamentous hemagglutinin family outer membrane protein
fig|31899.10.peg.116		S	NA
fig|31899.10.peg.117		G	glycosyl hydrolase family 32 domain protein
fig|31899.10.peg.118	K07493	L	transposase mutator type
fig|31899.10.peg.119	K07493	L	transposase mutator type
fig|31899.10.peg.120		S	Uroporphyrinogen decarboxylase (URO-D)
fig|31899.10.peg.121	K15770	G	extracellular solute-binding protein family 1
fig|31899.10.peg.122	"K01775,K02529"	K	transcriptional regulator
