rxn_id	in_Cbes_model_through_keggPsammoate	Cbes_gene_kegg	in_Cnes_model_through_CcePsammotate	Cbes_genes_cce	Cce_rxn	in_Cbes_model_through_CthPssammotate	Cbes_genes_cth	Cth_rxn	in_Cbes_model_through_TsacPsammotate	Cbes_genes_tsac	Tsac_rxn	Gene_string	Count	None
R04949	True	peg.2930 or peg.878	False	None	None	False	None	None	False	None	None	peg.2930 or peg.878	peg.878:1.0 , peg.2930:1.0	None
R03293	True	peg.1827	False	None	None	False	None	None	False	None	None	peg.1827	peg.1827:1.0	Arginine and proline metabolism,Metabolic pathways
R00093	False	-	True	peg.1085	GLUSx	False	None	None	False	None	None	peg.1085	peg.1085:1.0	Alanine, aspartate and glutamate metabolism,Nitrogen metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of antibiotics
TYRt2r	False	None	False	None	None	False	None	TYRt2r	False	None	None	None	None	None
R06200	True	peg.2380 or peg.2376 or peg.633 or peg.1027	False	None	None	False	None	None	False	None	None	peg.633 or peg.1027 or peg.2380 or peg.2376	peg.633:1.0 , peg.2380:1.0 , peg.2376:1.0 , peg.1027:1.0	None
R01968	False	None	False	-	NTD8	False	-	NTD8	False	None	None	None	None	Purine metabolism,Metabolic pathways
R06202	False	- or -	False	None	None	False	None	None	False	None	None	None	None	None
R06203	True	peg.581	False	None	None	False	None	None	False	None	None	peg.581	peg.581:1.0	None
R11188	True	peg.1782 or peg.2439	False	None	None	False	None	None	False	None	None	peg.2439 or peg.1782	peg.2439:1.0 , peg.1782:1.0	None
R06207	True	peg.625	False	None	None	False	None	None	False	None	None	peg.625	peg.625:1.0	None
R07238	True	peg.1685	False	None	None	False	None	None	False	None	None	peg.1685	peg.1685:1.0	None
FACOAL100	False	None	False	None	None	False	-	FACOAL100	False	None	FACOAL100	None	None	None
R03968	True	peg.2652 or peg.2651	False	peg.2652 and peg.2651 and peg.2651 and -	IPPMIb	True	peg.2651 and peg.2652	IPPMIb	True	peg.2652	IPPMIb	peg.2651 or peg.2652	peg.2652:1.0 , peg.2651:0.75	Valine, leucine and isoleucine biosynthesis,Metabolic pathways,Biosynthesis of secondary metabolites,2-Oxocarboxylic acid metabolism
R01395	True	peg.1868 or peg.2035 or peg.2036	False	None	None	False	None	None	False	None	None	peg.2036 or peg.2035 or peg.1868	peg.2036:1.0 , peg.2035:1.0 , peg.1868:1.0	Nitrogen metabolism
R02071	True	peg.542	False	None	None	False	None	FRUK	False	None	None	peg.542	peg.542:1.0	Fructose and mannose metabolism
R02437	True	peg.1160	False	None	None	False	None	None	False	None	None	peg.1160	peg.1160:1.0	Fructose and mannose metabolism,Microbial metabolism in diverse environments
UGMDDS	False	None	False	None	None	True	peg.1233	UGMDDS	False	None	None	peg.1233	peg.1233:1.0	None
R04640	True	peg.1967	True	peg.1967	PRMICI	True	peg.1967	PRMICIi	True	peg.1967	PRMICIi	peg.1967	peg.1967:1.0	Histidine metabolism,Metabolic pathways,Biosynthesis of secondary metabolites,Biosynthesis of amino acids
R00948	True	peg.988 or peg.989	False	None	GLGC	False	- and (peg.434 or peg.989)	GLGC	True	peg.632	GLGC	peg.434 or peg.632 or peg.988 or peg.989	peg.989:0.67 , peg.988:0.33 , peg.632:0.33 , peg.434:0.33	Starch and sucrose metabolism,Amino sugar and nucleotide sugar metabolism,Metabolic pathways,Biosynthesis of secondary metabolites
R03038	True	peg.1819	True	peg.1819	ALATRS	True	peg.1819	ALATRS	True	peg.1819	ALATRS	peg.1819	peg.1819:1.0	Aminoacyl-tRNA biosynthesis
PIt8	False	None	True	peg.1978	PIt8	False	None	None	False	None	None	peg.1978	peg.1978:1.0	None
R01444	False	None	False	None	None	True	peg.878 or peg.2930	bglu3,bglu3_ext	False	None	None	peg.2930 or peg.878	peg.878:1.0 , peg.2930:1.0	None
R00746	False	None	False	None	None	False	None	None	False	None	ADH2	None	None	Glycolysis / Gluconeogenesis,Metabolic pathways,Biosynthesis of secondary metabolites,Microbial metabolism in diverse environments,Biosynthesis of antibiotics
R04112	True	- or peg.2055 or - or -	False	None	None	True	- or peg.2408 or (peg.1545 or peg.850) or peg.2055 or -	AMAA	False	-	AMAA	peg.2055 or peg.2408 or peg.1545 or peg.850	peg.2055:1.0 , peg.850:0.5 , peg.2408:0.5 , peg.1545:0.5	None
R00749	False	None	False	None	ETHAAL	False	None	None	False	None	None	None	None	Glycerophospholipid metabolism,Metabolic pathways
SLDy	False	None	False	None	None	False	None	None	True	(peg.2522 or peg.2680 or peg.2970)	SLDy	peg.2970 or peg.2522 or peg.2680	peg.2970:1.0 , peg.2680:1.0 , peg.2522:1.0	None
R03035	True	peg.1714	True	peg.1714	PTPAT	True	peg.1714	PTPATi	True	peg.1714	PTPATi	peg.1714	peg.1714:1.0	Pantothenate and CoA biosynthesis,Metabolic pathways
R07268	False	None	False	None	None	False	-	CBIAT	False	-	CBIAT	None	None	Porphyrin and chlorophyll metabolism
R00585	False	None	False	None	None	False	None	SPTi	True	peg.2681	SPTi	peg.2681	peg.2681:1.0	Glycine, serine and threonine metabolism,Metabolic pathways
R10170	True	peg.2652 or peg.2651	False	None	None	False	None	None	False	None	None	peg.2651 or peg.2652	peg.2652:1.0 , peg.2651:1.0	2-Oxocarboxylic acid metabolism,Biosynthesis of amino acids
R00428	True	peg.861	False	None	None	False	None	R2	False	None	None	peg.861	peg.861:1.0	Folate biosynthesis,Metabolic pathways
R00429	False	-	True	peg.2470	GTPDPK	True	peg.2470	GTPDPK	True	peg.2470	GTPDPK	peg.2470	peg.2470:1.0	Purine metabolism
CAt6	False	None	True	peg.2195	CAt6	False	None	None	False	None	None	peg.2195	peg.2195:1.0	None
R00582	True	peg.354	False	None	None	False	None	PSP_L	True	(peg.122 or peg.2621 or peg.2766 or peg.2884 or peg.754 or peg.817 or peg.93 or peg.999)	PSP_L	peg.122 or peg.2766 or peg.2621 or peg.2884 or peg.817 or peg.354 or peg.93 or peg.999 or peg.754	peg.999:0.5 , peg.93:0.5 , peg.817:0.5 , peg.754:0.5 , peg.354:0.5 , peg.2884:0.5 , peg.2766:0.5 , peg.2621:0.5 , peg.122:0.5	Glycine, serine and threonine metabolism,Methane metabolism,Metabolic pathways,Microbial metabolism in diverse environments,Biosynthesis of antibiotics,Carbon metabolism,Biosynthesis of amino acids
R00875	False	None	True	(peg.2633 or peg.968) or (peg.2633 or peg.968)	SBTD_Dr	False	None	None	True	(peg.2633 or peg.968)	SBTD_Dr	peg.2633 or peg.968	peg.968:1.0 , peg.2633:1.0	Fructose and mannose metabolism,Metabolic pathways
R00420	True	peg.2465	False	None	UAG2E	True	- or peg.2465	UAG2E	True	peg.2465	UAG2E	peg.2465	peg.2465:1.0	Amino sugar and nucleotide sugar metabolism,Metabolic pathways
R00421	True	peg.1725	False	None	None	False	None	None	False	None	None	peg.1725	peg.1725:1.0	Amino sugar and nucleotide sugar metabolism
R00426	True	peg.1298	False	None	None	False	None	None	False	None	None	peg.1298	peg.1298:1.0	Purine metabolism
H2td	False	None	False	None	H2td	False	None	H2td	False	None	H2td	None	None	None
KAS1	False	None	False	None	None	True	peg.1641 and peg.1640 and peg.1639 and peg.1638 and peg.1637 and peg.1636 and peg.1635	KAS1	True	peg.1641	KAS1	peg.1641 or peg.1640 or peg.1636 or peg.1637 or peg.1635 or peg.1638 or peg.1639	peg.1641:1.0 , peg.1640:0.5 , peg.1639:0.5 , peg.1638:0.5 , peg.1637:0.5 , peg.1636:0.5 , peg.1635:0.5	None
R02961	True	- or peg.3023 or peg.2557	False	None	None	False	None	None	False	None	None	peg.2557 or peg.3023	peg.3023:1.0 , peg.2557:1.0	None
R08557	True	peg.2808	False	None	None	False	None	None	False	None	None	peg.2808	peg.2808:1.0	Glycine, serine and threonine metabolism,Metabolic pathways
PPTGS_CT	False	None	False	None	None	False	None	PPTGS_CT	False	None	PPTGS_CT	None	None	None
R06447	True	peg.2324	False	None	None	False	None	None	False	None	None	peg.2324	peg.2324:1.0	Terpenoid backbone biosynthesis,Biosynthesis of secondary metabolites
FACOAL180	False	None	False	None	None	False	-	FACOAL180	True	peg.1248	FACOAL180	peg.1248	peg.1248:1.0	None
FACOAL181	False	None	False	None	None	False	-	FACOAL181	True	peg.1248	FACOAL181	peg.1248	peg.1248:1.0	None
R09592	True	peg.958	False	None	None	False	None	None	False	None	None	peg.958	peg.958:1.0	None
