#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_012034.1	45	1409	+	31771380	-	ATHE_RS00005	WP_012660677.1	454	MULTISPECIES: chromosomal replication initiator protein DnaA
chr	NC_012034.1	1629	2735	+	31771381	-	ATHE_RS00010	WP_012660679.1	368	DNA polymerase III subunit beta
chr	NC_012034.1	2761	3822	+	31771382	-	ATHE_RS00015	WP_012660680.1	353	DNA replication and repair protein RecF
chr	NC_012034.1	3854	4138	+	31771383	-	ATHE_RS00020	WP_012660681.1	94	MULTISPECIES: DUF370 domain-containing protein
chr	NC_012034.1	4180	6087	+	31771384	gyrB	ATHE_RS00025	WP_041727272.1	635	DNA topoisomerase (ATP-hydrolyzing) subunit B
chr	NC_012034.1	6469	8898	+	31771385	-	ATHE_RS00030	WP_012660684.1	809	DNA gyrase subunit A
chr	NC_012034.1	9187	11097	+	31771386	-	ATHE_RS00035	WP_012660685.1	636	hypothetical protein
chr	NC_012034.1	11445	11690	+	31774148	-	ATHE_RS14155	WP_079504046.1	81	hypothetical protein
chr	NC_012034.1	11875	11934	+	31774149	-	ATHE_RS14160	WP_079504047.1	19	MULTISPECIES: hypothetical protein
chr	NC_012034.1	12644	21727	+	31771387	-	ATHE_RS00045	WP_012660688.1	3027	VWA domain-containing protein
chr	NC_012034.1	21838	23085	+	31771388	-	ATHE_RS00050	WP_012660689.1	415	MULTISPECIES: hypothetical protein
chr	NC_012034.1	23094	23876	+	31771389	-	ATHE_RS00055	WP_012660690.1	260	MULTISPECIES: hypothetical protein
chr	NC_012034.1	23999	24190	+	31771390	-	ATHE_RS00060	WP_012660691.1	63	MULTISPECIES: hypothetical protein
chr	NC_012034.1	24318	25628	+	31771391	-	ATHE_RS00065	WP_012660692.1	436	hypothetical protein
chr	NC_012034.1	25632	26405	+	31771392	-	ATHE_RS00070	WP_012660693.1	257	MULTISPECIES: hypothetical protein
chr	NC_012034.1	27777	29891	+	31771394	-	ATHE_RS00080	WP_012660694.1	704	hypothetical protein
chr	NC_012034.1	29915	30358	+	31771395	-	ATHE_RS00085	WP_012660695.1	147	MULTISPECIES: hypothetical protein
chr	NC_012034.1	31520	33979	-	31771397	lexA	ATHE_RS00095	WP_012660696.1	819	repressor LexA
chr	NC_012034.1	34236	34898	+	31771398	-	ATHE_RS00100	WP_012660697.1	220	MULTISPECIES: peroxiredoxin
chr	NC_012034.1	35140	35721	+	31771399	-	ATHE_RS00105	WP_012660698.1	193	Uma2 family endonuclease
chr	NC_012034.1	36028	36267	+	31771400	-	ATHE_RS00110	WP_012660699.1	79	type II toxin-antitoxin system prevent-host-death family antitoxin
chr	NC_012034.1	36251	36685	+	31771401	-	ATHE_RS00115	WP_012660700.1	144	PIN domain-containing protein
chr	NC_012034.1	36857	37453	-	31771402	-	ATHE_RS00120	WP_012660701.1	198	hypothetical protein
chr	NC_012034.1	37443	38738	-	31774131	-	ATHE_RS14050	WP_012660702.1	431	ABC transporter ATP-binding protein
chr	NC_012034.1	39166	40521	+	31771404	-	ATHE_RS00135	WP_012660703.1	451	TrpB-like pyridoxal phosphate-dependent enzyme
chr	NC_012034.1	40550	42073	-	31771405	-	ATHE_RS00140	WP_012660704.1	507	WG repeat-containing protein
chr	NC_012034.1	42317	42886	+	31771406	-	ATHE_RS00145	WP_012660705.1	189	LemA family protein
chr	NC_012034.1	42904	43764	+	31771407	-	ATHE_RS00150	WP_012660706.1	286	hypothetical protein
chr	NC_012034.1	43894	47232	+	31771408	-	ATHE_RS00155	WP_012660707.1	1112	serine/threonine protein kinase
chr	NC_012034.1	47258	47833	+	31771409	-	ATHE_RS00160	WP_012660708.1	191	Uma2 family endonuclease
chr	NC_012034.1	47900	48532	-	31771410	thiT	ATHE_RS00165	WP_012660709.1	210	energy-coupled thiamine transporter ThiT
chr	NC_012034.1	48830	51214	+	31771411	-	ATHE_RS00170	WP_012660710.1	794	hypothetical protein
chr	NC_012034.1	51216	52148	+	31771412	-	ATHE_RS00175	WP_012660711.1	310	ABC transporter ATP-binding protein
chr	NC_012034.1	52186	53079	+	31771413	-	ATHE_RS00180	WP_041727276.1	297	ABC transporter
chr	NC_012034.1	53096	54550	+	31771414	-	ATHE_RS00185	WP_012660713.1	484	hypothetical protein
chr	NC_012034.1	54558	55535	+	31771415	-	ATHE_RS00190	WP_012660714.1	325	MoxR family ATPase
chr	NC_012034.1	55565	56431	+	31771416	-	ATHE_RS00195	WP_012660715.1	288	DUF58 domain-containing protein
chr	NC_012034.1	56428	58248	+	31771417	-	ATHE_RS00200	WP_012660716.1	606	VWA domain-containing protein
chr	NC_012034.1	58232	60940	+	31771418	-	ATHE_RS00205	WP_012660717.1	902	VWA domain-containing protein
chr	NC_012034.1	61046	62326	+	31771419	-	ATHE_RS00210	WP_012660718.1	426	adenylosuccinate synthase
chr	NC_012034.1	62491	64233	+	31771420	-	ATHE_RS00215	WP_012660719.1	580	ABC transporter ATP-binding protein
chr	NC_012034.1	64264	66060	+	31771421	-	ATHE_RS00220	WP_012660720.1	598	ABC transporter ATP-binding protein
chr	NC_012034.1	66504	67079	-	31771424	-	ATHE_RS00235	WP_012660721.1	191	stage II sporulation protein M
chr	NC_012034.1	67252	67884	+	31771425	-	ATHE_RS00240	WP_012660722.1	210	MBL fold metallo-hydrolase
chr	NC_012034.1	67900	70107	+	31771426	-	ATHE_RS00245	WP_012660723.1	735	polymerase
chr	NC_012034.1	70140	70931	+	31771427	-	ATHE_RS00250	WP_012660724.1	263	ABC transporter permease
chr	NC_012034.1	70962	71696	+	31771428	-	ATHE_RS00255	WP_012660725.1	244	ABC transporter ATP-binding protein
chr	NC_012034.1	71741	72472	+	31771429	-	ATHE_RS00260	WP_012660726.1	243	spore coat protein
chr	NC_012034.1	72495	72956	+	31771430	-	ATHE_RS00265	WP_012660727.1	153	spore coat protein
chr	NC_012034.1	72972	73928	+	31771431	rfbB	ATHE_RS00270	WP_012660728.1	318	dTDP-glucose 4,6-dehydratase
chr	NC_012034.1	73906	76104	+	31774132	-	ATHE_RS14055	WP_079503990.1	732	FkbM family methyltransferase
chr	NC_012034.1	76104	77345	+	31771432	-	ATHE_RS00280	WP_012660730.1	413	glycosyltransferase
chr	NC_012034.1	77375	78382	+	31771433	-	ATHE_RS00285	WP_012660731.1	335	glycosyltransferase family 2 protein
chr	NC_012034.1	78379	79224	+	31771434	rfbD	ATHE_RS00290	WP_012660732.1	281	dTDP-4-dehydrorhamnose reductase
chr	NC_012034.1	79225	80121	+	31771435	-	ATHE_RS00295	WP_012660733.1	298	glycosyltransferase family 2 protein
chr	NC_012034.1	80109	81482	+	31771436	-	ATHE_RS00300	WP_012660734.1	457	undecaprenyl-phosphate glucose phosphotransferase
chr	NC_012034.1	81565	82104	+	31771437	-	ATHE_RS00305	WP_015906706.1	179	hypothetical protein
chr	NC_012034.1	82173	82718	-	31771438	-	ATHE_RS00310	WP_015906707.1	181	Appr-1-p processing protein
