fig|31899.10.peg.70	WP_015908853.1	ATHE_RS12780	Athe_2535
fig|31899.10.peg.71	WP_015908854.1	ATHE_RS12785	Athe_2536
fig|31899.10.peg.72	WP_015908855.1	ATHE_RS12790	Athe_2537
fig|31899.10.peg.73	WP_015908856.1	ATHE_RS12795	Athe_2538
fig|31899.10.peg.74	WP_015908857.1	ATHE_RS12800	Athe_2539
fig|31899.10.peg.75	WP_015908858.1	ATHE_RS12805	Athe_2540
fig|31899.10.peg.76	WP_015908859.1	ATHE_RS12810	Athe_2541
fig|31899.10.peg.77	WP_015908860.1	ATHE_RS12815	Athe_2542
fig|31899.10.peg.78	WP_015908861.1	ATHE_RS12820	Athe_2543
fig|31899.10.peg.79	WP_015908862.1	ATHE_RS12825	Athe_2544
fig|31899.10.peg.81	WP_013433368.1	ATHE_RS12835	Athe_2546
fig|31899.10.peg.82	WP_015908864.1	ATHE_RS12840	Athe_2547
fig|31899.10.peg.86	WP_015908866.1	ATHE_RS12855	Athe_2549
fig|31899.10.peg.87	WP_015908867.1	ATHE_RS12860	Athe_2550
fig|31899.10.peg.89	WP_015908869.1	ATHE_RS12870	Athe_2552
fig|31899.10.peg.90	WP_015908870.1	ATHE_RS12875	Athe_2553
fig|31899.10.peg.91	WP_015908871.1	ATHE_RS12880	Athe_2554
fig|31899.10.peg.92	WP_015908872.1	ATHE_RS12885	Athe_2555
fig|31899.10.peg.94	WP_015908874.1	ATHE_RS12895	Athe_2557
fig|31899.10.peg.95	WP_015908875.1	ATHE_RS12900	Athe_2558
fig|31899.10.peg.96	WP_015908876.1	ATHE_RS12905	Athe_2559
fig|31899.10.peg.97	WP_015908877.1	ATHE_RS12910	Athe_2560
fig|31899.10.peg.104	WP_015908879.1	ATHE_RS12925	Athe_2564
fig|31899.10.peg.106	WP_015908880.1	ATHE_RS12930	Athe_2565
fig|31899.10.peg.107	WP_015908881.1	ATHE_RS12935	Athe_2566
fig|31899.10.peg.108	WP_015908882.1	ATHE_RS12940	Athe_2567
fig|31899.10.peg.110	WP_011915897.1	ATHE_RS12945	Athe_2568
fig|31899.10.peg.112	WP_015908883.1	ATHE_RS12950	Athe_2569
