Tag	1094508.3	203119.11	394503.7
TAG0002	Tsac_0512	Cthe_3093	Ccel_2419
TAG0011	Tsac_1180	Cthe_2887	Ccel_0387
TAG0019	-	Cthe_1080	Ccel_2169
TAG0022	Tsac_1188	"Cthe_1079,Cthe_1961"	"Ccel_1940,Ccel_0348"
TAG0046	Tsac_2499	-	-
TAG0056	Tsac_1886	Cthe_0695	Ccel_2434
TAG0060	Tsac_1733	-	-
TAG0063	Tsac_1739	Cthe_1277	Ccel_1881
TAG0066	Tsac_1745	Cthe_1028	Ccel_2136
TAG0069	Tsac_1754	Cthe_0933	Ccel_0685
TAG0070	Tsac_1759	Cthe_0927	Ccel_0696
TAG0071	-	-	-
TAG0072	Tsac_1763	Cthe_0769	Ccel_0710
TAG0103	-	-	Ccel_2606
TAG0115	Tsac_1801	Cthe_0486	Ccel_2030
TAG0119	Tsac_1808	Cthe_0495	Ccel_2022
TAG0125	Tsac_1818	Cthe_0999	Ccel_0449
TAG0129	Tsac_1829	Cthe_0988	Ccel_0460
TAG0139	Tsac_1845	Cthe_1052	Ccel_0674
TAG0146	-	-	Ccel_3335
TAG0165	-	-	-
TAG0195	Tsac_1682	Cthe_0182	Ccel_1348
TAG0196	-	-	-
TAG0200	-	Cthe_0905	-
TAG0201	Tsac_1999	Cthe_1331	Ccel_1946
TAG0217	-	-	-
TAG0219	"Tsac_2018,Tsac_0304"	Cthe_2115	-
TAG0232	"Tsac_0488,Tsac_0975"	Cthe_0344	Ccel_0138
TAG0233	"Tsac_0805,Tsac_0964"	Cthe_1866	"Ccel_1814,Ccel_2912"
TAG0238	Tsac_2197	Cthe_1222	Ccel_1437
TAG0267	Tsac_1871	Cthe_0783	Ccel_1699
TAG0273	Tsac_0574	Cthe_0107	Ccel_2003
TAG0275	Tsac_0571	Cthe_0104	Ccel_2006
TAG0287	-	Cthe_0876	-
TAG0293	Tsac_1728	Cthe_0576	Ccel_1537
TAG0294	Tsac_1246	Cthe_3046	Ccel_2477
TAG0298	Tsac_1712	Cthe_3100	-
TAG0302	Tsac_1703	Cthe_0952	Ccel_0613
TAG0332	-	Cthe_0585	"Ccel_0405,Ccel_0843"
TAG0353	Tsac_1736	-	-
TAG0358	Tsac_1220	-	Ccel_1886
TAG0366	Tsac_0376	"Cthe_1376,Cthe_0290"	Ccel_1452
TAG0367	Tsac_1597	Cthe_1021	-
TAG0375	Tsac_1520	Cthe_0965	Ccel_1333
TAG0377	"Tsac_1892,Tsac_1907,Tsac_2098"	"Cthe_1231,Cthe_3179,Cthe_0679"	"Ccel_1370,Ccel_1749,Ccel_0487"
TAG0381	Tsac_1906	"Cthe_0118,Cthe_2898"	"Ccel_2286,Ccel_0398"
TAG0382	Tsac_0036	Cthe_0677	Ccel_3205
TAG0385	Tsac_1910	Cthe_0355	-
TAG0386	-	-	Ccel_2277
TAG0387	Tsac_1922	Cthe_0827	Ccel_1899
TAG0389	Tsac_1926	Cthe_0832	Ccel_1903
