Tag	1094508.3	203119.11	31899.1	394503.7
TAG0001	-	-	-	-
TAG0002	fig|1094508.3.peg.516|Tsac_0512	fig|203119.11.peg.3304|Cthe_3093	fig|31899.10.peg.426|SAMN05216182_0297	fig|394503.7.peg.2494|Ccel_2419
TAG0003	-	-	-	-
TAG0004	-	-	-	-
TAG0005	-	-	-	-
TAG0006	-	-	-	-
TAG0007	-	-	-	-
TAG0008	-	-	-	-
TAG0009	-	-	-	-
TAG0010	-	-	-	-
TAG0011	fig|1094508.3.peg.1194|Tsac_1180	fig|203119.11.peg.3090|Cthe_2887	fig|31899.10.peg.1967|SAMN05216182_1753	fig|394503.7.peg.403|Ccel_0387
TAG0012	-	-	-	-
TAG0013	-	-	-	-
TAG0014	-	-	-	-
TAG0015	-	-	-	-
TAG0016	-	-	-	-
TAG0017	-	-	-	-
TAG0018	-	-	-	-
TAG0019	-	fig|203119.11.peg.1138|Cthe_1080	-	fig|394503.7.peg.2229|Ccel_2169
TAG0020	-	-	-	-
TAG0021	-	-	-	-
TAG0022	fig|1094508.3.peg.1202|Tsac_1188	"fig|203119.11.peg.1137|Cthe_1079,fig|203119.11.peg.2077|Cthe_1961"	fig|31899.10.peg.632|SAMN05216182_0489	"fig|394503.7.peg.1995|Ccel_1940,fig|394503.7.peg.364|Ccel_0348"
TAG0023	-	-	-	-
TAG0024	-	-	-	-
TAG0025	-	-	-	-
TAG0026	-	-	-	-
TAG0027	-	-	-	-
TAG0028	-	-	-	-
TAG0029	-	-	-	-
TAG0030	-	-	-	-
TAG0031	-	-	-	-
TAG0032	-	-	-	-
TAG0033	-	-	-	-
TAG0034	-	-	-	-
TAG0035	-	-	-	-
TAG0036	-	-	-	-
TAG0037	-	-	-	-
TAG0038	-	-	-	-
TAG0039	-	-	-	-
TAG0040	-	-	-	-
TAG0041	-	-	-	-
TAG0042	-	-	-	-
TAG0043	-	-	-	-
TAG0044	-	-	-	-
TAG0045	-	-	-	-
TAG0046	fig|1094508.3.peg.2534|Tsac_2499	-	-	-
TAG0047	-	-	-	-
TAG0048	-	-	-	-
TAG0049	-	-	-	-
TAG0050	-	-	-	-
TAG0051	-	-	-	-
TAG0052	-	-	-	-
TAG0053	-	-	-	-
TAG0054	-	-	-	-
TAG0055	-	-	-	-
TAG0056	fig|1094508.3.peg.1910|Tsac_1886	fig|203119.11.peg.730|Cthe_0695	fig|31899.10.peg.1803|SAMN05216182_1593	fig|394503.7.peg.2509|Ccel_2434
TAG0057	-	-	-	-
TAG0058	-	-	-	-
TAG0059	-	-	-	-
