Tag	Classification	Pathway	Name	Type	Functional_role
TAG0788	Amino acids	Arginine biosynthesis	ArgD	enzyme	N-acetylornithine aminotransferase (EC 2.6.1.11)
TAG0900	Amino acids	Arginine biosynthesis	ArgF	enzyme	Ornithine carbamoyltransferase (EC 2.1.3.3)
TAG1160	Amino acids	Arginine biosynthesis	ArgR	regulator	"Arginine pathway regulatory protein ArgR, repressor of arg regulon"
TAG1232	Amino acids	Arginine biosynthesis	ArgG	enzyme	Argininosuccinate synthase (EC 6.3.4.5)
TAG1403	Amino acids	Arginine biosynthesis	ArgC	enzyme	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)
TAG1404	Amino acids	Arginine biosynthesis	ArgB	enzyme	N-acetylglutamate kinase (EC 2.7.2.8)
TAG3087	Amino acids	Arginine biosynthesis	ArgH	enzyme	Argininosuccinate lyase (EC 4.3.2.1)
TAG1034	Amino acids	Aspartate Asparagine biosynthesis	AspC	enzyme	Aspartate aminotransferase (EC 2.6.1.1)
TAG1367	Amino acids	Aspartate Asparagine biosynthesis	AspC	enzyme	Aspartate aminotransferase (EC 2.6.1.1)
TAG7682	Amino acids	Aspartate Asparagine biosynthesis	GatC	enzyme	Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)
TAG1626	Amino acids	Aspartate Asparagine biosynthesis	GatB	enzyme	Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)
TAG1627	Amino acids	Aspartate Asparagine biosynthesis	GatA	enzyme	Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)
TAG3147	Amino acids	Aspartate Asparagine biosynthesis	AsnB	enzyme	Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4)
TAG0769	Vitamins&Cofactors	B12 uptake	BtuC	transporter	"Vitamin B12 ABC transporter, permease protein BtuC"
TAG0770	Vitamins&Cofactors	B12 uptake	BtuD	transporter	"Vitamin B12 ABC transporter, ATP-binding protein BtuD"
TAG6707	Vitamins&Cofactors	B12 uptake	BtuF	transporter	"Vitamin B12 ABC transporter, substrate-binding protein BtuF"
TAG2702	Vitamins&Cofactors	Biotin biosynthesis	BioY	transporter	Substrate-specific component BioY of biotin ECF transporter
TAG3804	Vitamins&Cofactors	Biotin biosynthesis	BioA	enzyme	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62)
TAG3807	Vitamins&Cofactors	Biotin biosynthesis	BioD	enzyme	Dethiobiotin synthase BioD (EC 6.3.3.3)
TAG3989	Vitamins&Cofactors	Biotin biosynthesis	BirA	enzyme	Biotin operon repressor / Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15)
TAG8149	Vitamins&Cofactors	Biotin biosynthesis	BioB	enzyme	Biotin synthase (EC 2.8.1.6)
TAG0774	Amino acids	Chorismate biosynthesis	AroE	enzyme	Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)
TAG0892	Amino acids	Chorismate biosynthesis	AroK	enzyme	Shikimate kinase I (EC 2.7.1.71)
TAG0896	Amino acids	Chorismate biosynthesis	AroD	enzyme	3-dehydroquinate dehydratase II (EC 4.2.1.10)
TAG1143	Amino acids	Chorismate biosynthesis	AroB	enzyme	3-dehydroquinate synthase (EC 4.2.3.4)
TAG1477	Amino acids	Chorismate biosynthesis	AroA	enzyme	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)
TAG6990	Amino acids	Chorismate biosynthesis	AroG	enzyme	2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I beta (EC 2.5.1.54)
TAG7199	Amino acids	Chorismate biosynthesis	AroC	enzyme	Chorismate synthase (EC 4.2.3.5)
TAG1282	Amino acids	Cysteine biosynthesis	CysK	enzyme	Cysteine synthase (EC 2.5.1.47)
TAG2136	Amino acids	Cysteine biosynthesis	CysE	enzyme	Serine acetyltransferase (EC 2.3.1.30)
TAG1693	Vitamins&Cofactors	Folate biosynthesis	PabC	enzyme	Aminodeoxychorismate lyase (EC 4.1.3.38)
TAG1694	Vitamins&Cofactors	Folate biosynthesis	PabA	enzyme	"Para-aminobenzoate synthase, aminase component (EC 2.6.1.85)"
TAG3722	Vitamins&Cofactors	Folate biosynthesis	"FolA,FolP"	enzyme	Alternative dihydrofolate reductase 2 / Dihydropteroate synthase (EC 2.5.1.15)
TAG6124	Vitamins&Cofactors	Folate biosynthesis	PabB	enzyme	"Para-aminobenzoate synthase, amidotransferase component (EC 2.6.1.85)"
TAG7175	Vitamins&Cofactors	Folate biosynthesis	FolK	enzyme	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)
TAG7584	Vitamins&Cofactors	Folate biosynthesis	FolC	enzyme	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)
