1094508.3	31899.10
Tsac_0512	fig|31899.10.peg.426
Tsac_1180	fig|31899.10.peg.1967
Tsac_1188	fig|31899.10.peg.632
Tsac_2499	-
Tsac_1886	fig|31899.10.peg.1803
Tsac_1733	fig|31899.10.peg.1709
Tsac_1739	fig|31899.10.peg.1713
Tsac_1745	fig|31899.10.peg.1986
Tsac_1754	fig|31899.10.peg.1640
Tsac_1759	fig|31899.10.peg.1654
-	fig|31899.10.peg.677
Tsac_1763	fig|31899.10.peg.1446
Tsac_1801	fig|31899.10.peg.2707
Tsac_1808	fig|31899.10.peg.2699
Tsac_1818	fig|31899.10.peg.2322
Tsac_1829	fig|31899.10.peg.1535
Tsac_1845	fig|31899.10.peg.1464
-	fig|31899.10.peg.1702
Tsac_1682	fig|31899.10.peg.1597
fig|1094508.3.peg.283	-
Tsac_1999	fig|31899.10.peg.1026
-	fig|31899.10.peg.592
Tsac_2018,Tsac_0304	-
Tsac_0488,Tsac_0975	fig|31899.10.peg.1543
Tsac_0805,Tsac_0964	fig|31899.10.peg.2349
Tsac_2197	fig|31899.10.peg.1693
Tsac_1871	fig|31899.10.peg.1994
Tsac_0574	fig|31899.10.peg.993
Tsac_0571	fig|31899.10.peg.996
Tsac_1728	fig|31899.10.peg.1528
Tsac_1246	-
Tsac_1712	fig|31899.10.peg.2670
Tsac_1703	fig|31899.10.peg.1866
Tsac_1736	fig|31899.10.peg.2687
Tsac_1220	-
Tsac_0376	fig|31899.10.peg.2478
Tsac_1597	fig|31899.10.peg.149
Tsac_1520	-
Tsac_1892,Tsac_1907,Tsac_2098	fig|31899.10.peg.1742,fig|31899.10.peg.1767,fig|31899.10.peg.2054
Tsac_1906	fig|31899.10.peg.2191,fig|31899.10.peg.855
Tsac_0036	fig|31899.10.peg.2284
Tsac_1910	fig|31899.10.peg.1831
Tsac_1922	fig|31899.10.peg.1777
Tsac_1926	fig|31899.10.peg.1482
Tsac_1885	fig|31899.10.peg.1807
Tsac_1932	fig|31899.10.peg.1475
Tsac_1948	-
Tsac_1957	fig|31899.10.peg.2397
Tsac_1945	fig|31899.10.peg.2209
Tsac_1959	fig|31899.10.peg.2405
Tsac_1970	-
Tsac_1979	fig|31899.10.peg.1694
-	fig|31899.10.peg.1703
Tsac_0096	-
-	fig|31899.10.peg.1392
Tsac_2247	-
Tsac_1699	fig|31899.10.peg.1949
Tsac_1200	fig|31899.10.peg.2452
Tsac_2141	-
