1094508.3	31899.10
-	-
Tsac_0512	fig|31899.10.peg.426|SAMN05216182_0297
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1180	fig|31899.10.peg.1967|SAMN05216182_1753
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1188	fig|31899.10.peg.632|SAMN05216182_0489
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_2499	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1886	fig|31899.10.peg.1803|SAMN05216182_1593
-	-
-	-
-	-
Tsac_1733	fig|31899.10.peg.1709|SAMN05216182_1499
-	-
-	-
Tsac_1739	fig|31899.10.peg.1713|SAMN05216182_1503
-	-
-	-
Tsac_1745	fig|31899.10.peg.1986|SAMN05216182_1772
-	-
-	-
Tsac_1754	fig|31899.10.peg.1640|SAMN05216182_1436
Tsac_1759	fig|31899.10.peg.1654|SAMN05216182_1447
-	fig|31899.10.peg.677|SAMN05216182_0529
Tsac_1763	fig|31899.10.peg.1446|SAMN05216182_1245
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1801	fig|31899.10.peg.2707|SAMN05216182_2465
-	-
-	-
-	-
Tsac_1808	fig|31899.10.peg.2699|SAMN05216182_2457
-	-
-	-
-	-
-	-
-	-
Tsac_1818	fig|31899.10.peg.2322|SAMN05216182_2109
-	-
-	-
-	-
Tsac_1829	fig|31899.10.peg.1535|SAMN05216182_1333
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1845	fig|31899.10.peg.1464|SAMN05216182_1262
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	fig|31899.10.peg.1702|SAMN05216182_1492
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1682	fig|31899.10.peg.1597|SAMN05216182_1395
fig|1094508.3.peg.283	-
-	-
-	-
-	-
-	-
Tsac_1999	fig|31899.10.peg.1026|SAMN05216182_0858
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	fig|31899.10.peg.592|SAMN05216182_0450
-	-
Tsac_2018,Tsac_0304	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_0488,Tsac_0975	fig|31899.10.peg.1543|SAMN05216182_1341
Tsac_0805,Tsac_0964	fig|31899.10.peg.2349|SAMN05216182_2136
-	-
-	-
-	-
-	-
Tsac_2197	fig|31899.10.peg.1693|SAMN05216182_1484
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
Tsac_1871	fig|31899.10.peg.1994|SAMN05216182_1780
-	-
-	-
-	-
-	-
-	-
Tsac_0574	fig|31899.10.peg.993|SAMN05216182_0825
-	-
Tsac_0571	fig|31899.10.peg.996|SAMN05216182_0828
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
-	-
