fig|31899.10.peg.70|SAMN05216182_0004	WP_015908853.1	ATHE_RS12780	Athe_2535
fig|31899.10.peg.71|SAMN05216182_0005	WP_015908854.1	ATHE_RS12785	Athe_2536
fig|31899.10.peg.72|SAMN05216182_0006	WP_015908855.1	ATHE_RS12790	Athe_2537
fig|31899.10.peg.73|SAMN05216182_0007	WP_015908856.1	ATHE_RS12795	Athe_2538
fig|31899.10.peg.74|SAMN05216182_0008	WP_015908857.1	ATHE_RS12800	Athe_2539
fig|31899.10.peg.75|SAMN05216182_0009	WP_015908858.1	ATHE_RS12805	Athe_2540
fig|31899.10.peg.76|SAMN05216182_0010	WP_015908859.1	ATHE_RS12810	Athe_2541
fig|31899.10.peg.77|SAMN05216182_0011	WP_015908860.1	ATHE_RS12815	Athe_2542
fig|31899.10.peg.78|SAMN05216182_0012	WP_015908861.1	ATHE_RS12820	Athe_2543
fig|31899.10.peg.79|SAMN05216182_0013	WP_015908862.1	ATHE_RS12825	Athe_2544
fig|31899.10.peg.81|SAMN05216182_0015	WP_013433368.1	ATHE_RS12835	Athe_2546
fig|31899.10.peg.82|SAMN05216182_0016	WP_015908864.1	ATHE_RS12840	Athe_2547
fig|31899.10.peg.86|SAMN05216182_0018	WP_015908866.1	ATHE_RS12855	Athe_2549
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908867.1	ATHE_RS12860	Athe_2550
fig|31899.10.peg.89|SAMN05216182_0021	WP_015908869.1	ATHE_RS12870	Athe_2552
fig|31899.10.peg.90|SAMN05216182_0022	WP_015908870.1	ATHE_RS12875	Athe_2553
fig|31899.10.peg.91|SAMN05216182_0023	WP_015908871.1	ATHE_RS12880	Athe_2554
fig|31899.10.peg.92|SAMN05216182_0024	WP_015908872.1	ATHE_RS12885	Athe_2555
fig|31899.10.peg.94|SAMN05216182_0026	WP_015908874.1	ATHE_RS12895	Athe_2557
fig|31899.10.peg.95|SAMN05216182_0027	WP_015908875.1	ATHE_RS12900	Athe_2558
fig|31899.10.peg.96|SAMN05216182_0028	WP_015908876.1	ATHE_RS12905	Athe_2559
fig|31899.10.peg.97|SAMN05216182_0029	WP_015908877.1	ATHE_RS12910	Athe_2560
fig|31899.10.peg.104|SAMN05216182_0033	WP_015908879.1	ATHE_RS12925	Athe_2564
fig|31899.10.peg.106|SAMN05216182_0034	WP_015908880.1	ATHE_RS12930	Athe_2565
fig|31899.10.peg.107|SAMN05216182_0035	WP_015908881.1	ATHE_RS12935	Athe_2566
