# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	1	269	+							SAMN05216182_2900	269		partial
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	1	269	+	SMR98680.1			hypothetical protein			SAMN05216182_2900	269	88	partial
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	370	591	-							SAMN05216182_2901	222		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	370	591	-	SMR98681.1			hypothetical protein			SAMN05216182_2901	222	73	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	572	901	-							SAMN05216182_2902	330		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	572	901	-	SMR98682.1			hypothetical protein			SAMN05216182_2902	330	109	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	895	1344	-							SAMN05216182_2903	450		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	895	1344	-	SMR98683.1			replication protein (RepL)			SAMN05216182_2903	450	149	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	2930	3922	+							SAMN05216182_2904	993		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	2930	3922	+	SMR98684.1			hypothetical protein			SAMN05216182_2904	993	330	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	4023	4244	-							SAMN05216182_2905	222		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	4023	4244	-	SMR98685.1			hypothetical protein			SAMN05216182_2905	222	73	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	4225	4554	-							SAMN05216182_2906	330		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	4225	4554	-	SMR98686.1			hypothetical protein			SAMN05216182_2906	330	109	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	4548	4997	-							SAMN05216182_2907	450		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000003.1	4548	4997	-	SMR98687.1			replication protein (RepL)			SAMN05216182_2907	450	149	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	376	744	+							SAMN05216182_2859	369		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	376	744	+	SMR98652.1			hypothetical protein			SAMN05216182_2859	369	122	
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	747	914	+							SAMN05216182_2860	168		pseudo
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	945	1874	+							SAMN05216182_2861	930		pseudo
gene	pseudogene	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	3360	3766	+							SAMN05216182_2862	407		pseudo
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	4370	4570	+							SAMN05216182_2863	201		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	4370	4570	+	SMR98653.1			hypothetical protein			SAMN05216182_2863	201	66	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	4613	4834	+							SAMN05216182_2864	222		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	4613	4834	+	SMR98654.1			hypothetical protein			SAMN05216182_2864	222	73	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	4976	5227	+							SAMN05216182_2865	252		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	4976	5227	+	SMR98655.1			hypothetical protein			SAMN05216182_2865	252	83	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	5181	5642	+							SAMN05216182_2866	462		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	5181	5642	+	SMR98656.1			putative DNA primase/helicase			SAMN05216182_2866	462	153	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	5738	6301	+							SAMN05216182_2867	564		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	5738	6301	+	SMR98657.1			AAA domain-containing protein			SAMN05216182_2867	564	187	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	6302	6661	+							SAMN05216182_2868	360		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	6302	6661	+	SMR98658.1			Winged helix-turn-helix DNA-binding			SAMN05216182_2868	360	119	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	6658	6825	+							SAMN05216182_2869	168		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	6658	6825	+	SMR98659.1			hypothetical protein			SAMN05216182_2869	168	55	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	7777	7893	+							SAMN05216182_2870	117		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	7777	7893	+	SMR98660.1			hypothetical protein			SAMN05216182_2870	117	38	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	8602	9180	+							SAMN05216182_2871	579		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	8602	9180	+	SMR98661.1			hypothetical protein			SAMN05216182_2871	579	192	
gene	protein_coding	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	9211	10143	+							SAMN05216182_2872	933		
CDS	with_protein	GCA_900184165.1	Primary Assembly	unplaced scaffold		FXXF01000002.1	9211	10143	+	SMR98662.1			RNA polymerase sporulation-specific sigma factor			SAMN05216182_2872	933	310	
