TAG	Rep_gene	Rep_len	Rep_genome	Gene_cnt_chromosome	Gene_list_chromosome	Gene_cnt_plasmid	Gene_list_plasmid	Genome_cnt	Genome_list	1121259.3	1214564.3	1387555.3	1387557.3	1387569.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3	most_common_function	function_proportion	count_result
TAG0001	fig|1121259.3.peg.1022	405	1121259.3	3	fig|1121259.3.peg.1022,fig|351627.8.peg.2936|Csac_2715,fig|632335.8.peg.2594|Calkr_2394	0	-	3	1121259.3;351627.8;632335.8	1022	-	-	-	-	-	2936	-	-	2594	-	-	-	Mobile element protein	0.666666666667	Counter({'Mobile element protein': 2, 'Transposase': 1})
TAG0002	fig|1121259.3.peg.1029	39	1121259.3	1	fig|1121259.3.peg.1029	0	-	1	1121259.3	1029	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0003	fig|1121259.3.peg.1031	57	1121259.3	1	fig|1121259.3.peg.1031	0	-	1	1121259.3	1031	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0004	fig|1121259.3.peg.1033	334	1121259.3	13	fig|1121259.3.peg.1033,fig|1214564.3.peg.586,fig|1387555.3.peg.1289,fig|1387557.3.peg.1267,fig|1387569.3.peg.1351,fig|31899.10.peg.1511|SAMN05216182_1309,fig|351627.8.peg.2270|Csac_2091,fig|608506.3.peg.1606|COB47_1495,fig|632292.3.peg.1799|Calhy_1706,fig|632335.8.peg.1139|Calkr_1019,fig|632348.3.peg.1754|Calkro_1664,fig|632516.3.peg.1220|CallaDRAFT_1165,fig|632518.3.peg.916|Calow_0846	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1033	586	1289	1267	1351	1511	2270	1606	1799	1139	1754	1220	916	DUF89 protein CxxC subfamily	1.0	Counter({'DUF89 protein CxxC subfamily': 13})
TAG0005	fig|1121259.3.peg.1062	262	1121259.3	13	fig|1121259.3.peg.1062,fig|1214564.3.peg.555,fig|1387555.3.peg.1318,fig|1387557.3.peg.1296,fig|1387569.3.peg.1322,fig|31899.10.peg.1540|SAMN05216182_1338,fig|351627.8.peg.2240|Csac_2062,fig|608506.3.peg.1575|COB47_1466,fig|632292.3.peg.1770|Calhy_1677,fig|632335.8.peg.1168|Calkr_1048,fig|632348.3.peg.1725|Calkro_1635,fig|632516.3.peg.1191|CallaDRAFT_1136,fig|632518.3.peg.948|Calow_0876	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1062	555	1318	1296	1322	1540	2240	1575	1770	1168	1725	1191	948	Putative membrane-spanning protein	1.0	Counter({'Putative membrane-spanning protein': 13})
TAG0006	fig|1121259.3.peg.1066	560	1121259.3	13	fig|1121259.3.peg.1066,fig|1214564.3.peg.1207,fig|1387555.3.peg.1944,fig|1387557.3.peg.1300,fig|1387569.3.peg.2492,fig|31899.10.peg.1544|SAMN05216182_1342,fig|351627.8.peg.1671|Csac_1513,fig|608506.3.peg.1571|COB47_1462,fig|632292.3.peg.1766|Calhy_1673,fig|632335.8.peg.1172|Calkr_1052,fig|632348.3.peg.1721|Calkro_1631,fig|632516.3.peg.1187|CallaDRAFT_1132,fig|632518.3.peg.952|Calow_0880	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1066	1207	1944	1300	2492	1544	1671	1571	1766	1172	1721	1187	952	Transcription termination factor Rho	1.0	Counter({'Transcription termination factor Rho': 13})
TAG0007	fig|1121259.3.peg.1067	45	1121259.3	1	fig|1121259.3.peg.1067	0	-	1	1121259.3	1067	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0008	fig|1121259.3.peg.1069	291	1121259.3	13	fig|1121259.3.peg.1069,fig|1214564.3.peg.1205,fig|1387555.3.peg.1942,fig|1387557.3.peg.1302,fig|1387569.3.peg.2495,fig|31899.10.peg.1546|SAMN05216182_1344,fig|351627.8.peg.1673|Csac_1515,fig|608506.3.peg.1569|COB47_1460,fig|632292.3.peg.1764|Calhy_1671,fig|632335.8.peg.1174|Calkr_1054,fig|632348.3.peg.1718|Calkro_1629,fig|632516.3.peg.1185|CallaDRAFT_1130,fig|632518.3.peg.954|Calow_0883	0	-	13	1121259.3;1214564.3;1387555.3;1387557.3;1387569.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1069	1205	1942	1302	2495	1546	1673	1569	1764	1174	1718	1185	954	8-oxoguanine-DNA-glycosylase	0.923076923077	Counter({'8-oxoguanine-DNA-glycosylase': 12, '8-oxoguanine DNA glycosylase domain protein': 1})
TAG0009	fig|1121259.3.peg.1105	164	1121259.3	1	fig|1121259.3.peg.1105	0	-	1	1121259.3	1105	-	-	-	-	-	-	-	-	-	-	-	-	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})
TAG0010	fig|1121259.3.peg.1107	38	1121259.3	1	fig|1121259.3.peg.1107	0	-	1	1121259.3	1107	-	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
