# Assembly name:  ASM74766v1
# Organism name:  Thermoanaerobacterium saccharolyticum (firmicutes)
# Infraspecific name:  strain=NTOU1
# Taxid:          28896
# BioSample:      SAMD00018622
# BioProject:     PRJDB2968
# Submitter:      Lab. of Aqua. Mol. Biol. and Biotech.
# Date:           2014-8-23
# Assembly type:  n/a
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    BBKT01
# Assembly method: MIRA v. 3.9.18
# Genome coverage: 300x
# Sequencing technology: Ion Torrent PGM
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000747665.1
# RefSeq assembly accession: GCF_000747665.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000747675.1	GCF_000747675.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
BBKT01000101.1	unplaced-scaffold	na	na	BBKT01000101.1	=	NZ_BBKT01000101.1	Primary Assembly	649	na
BBKT01000100.1	unplaced-scaffold	na	na	BBKT01000100.1	=	NZ_BBKT01000100.1	Primary Assembly	754	na
BBKT01000099.1	unplaced-scaffold	na	na	BBKT01000099.1	=	NZ_BBKT01000099.1	Primary Assembly	1190	na
BBKT01000098.1	unplaced-scaffold	na	na	BBKT01000098.1	=	NZ_BBKT01000098.1	Primary Assembly	1043	na
BBKT01000097.1	unplaced-scaffold	na	na	BBKT01000097.1	=	NZ_BBKT01000097.1	Primary Assembly	1402	na
BBKT01000096.1	unplaced-scaffold	na	na	BBKT01000096.1	=	NZ_BBKT01000096.1	Primary Assembly	731	na
BBKT01000095.1	unplaced-scaffold	na	na	BBKT01000095.1	=	NZ_BBKT01000095.1	Primary Assembly	1181	na
BBKT01000094.1	unplaced-scaffold	na	na	BBKT01000094.1	=	NZ_BBKT01000094.1	Primary Assembly	728	na
BBKT01000093.1	unplaced-scaffold	na	na	BBKT01000093.1	=	NZ_BBKT01000093.1	Primary Assembly	1017	na
BBKT01000092.1	unplaced-scaffold	na	na	BBKT01000092.1	=	NZ_BBKT01000092.1	Primary Assembly	657	na
BBKT01000091.1	unplaced-scaffold	na	na	BBKT01000091.1	=	NZ_BBKT01000091.1	Primary Assembly	3228	na
BBKT01000090.1	unplaced-scaffold	na	na	BBKT01000090.1	=	NZ_BBKT01000090.1	Primary Assembly	3457	na
BBKT01000089.1	unplaced-scaffold	na	na	BBKT01000089.1	=	NZ_BBKT01000089.1	Primary Assembly	1126	na
BBKT01000088.1	unplaced-scaffold	na	na	BBKT01000088.1	=	NZ_BBKT01000088.1	Primary Assembly	1671	na
BBKT01000087.1	unplaced-scaffold	na	na	BBKT01000087.1	=	NZ_BBKT01000087.1	Primary Assembly	755	na
BBKT01000086.1	unplaced-scaffold	na	na	BBKT01000086.1	=	NZ_BBKT01000086.1	Primary Assembly	851	na
BBKT01000085.1	unplaced-scaffold	na	na	BBKT01000085.1	=	NZ_BBKT01000085.1	Primary Assembly	1695	na
BBKT01000084.1	unplaced-scaffold	na	na	BBKT01000084.1	=	NZ_BBKT01000084.1	Primary Assembly	1474	na
BBKT01000083.1	unplaced-scaffold	na	na	BBKT01000083.1	=	NZ_BBKT01000083.1	Primary Assembly	1688	na
BBKT01000082.1	unplaced-scaffold	na	na	BBKT01000082.1	=	NZ_BBKT01000082.1	Primary Assembly	2745	na
BBKT01000081.1	unplaced-scaffold	na	na	BBKT01000081.1	=	NZ_BBKT01000081.1	Primary Assembly	12444	na
BBKT01000080.1	unplaced-scaffold	na	na	BBKT01000080.1	=	NZ_BBKT01000080.1	Primary Assembly	6647	na
BBKT01000079.1	unplaced-scaffold	na	na	BBKT01000079.1	=	NZ_BBKT01000079.1	Primary Assembly	2799	na
BBKT01000078.1	unplaced-scaffold	na	na	BBKT01000078.1	=	NZ_BBKT01000078.1	Primary Assembly	11683	na
BBKT01000077.1	unplaced-scaffold	na	na	BBKT01000077.1	=	NZ_BBKT01000077.1	Primary Assembly	8580	na
BBKT01000076.1	unplaced-scaffold	na	na	BBKT01000076.1	=	NZ_BBKT01000076.1	Primary Assembly	4877	na
BBKT01000075.1	unplaced-scaffold	na	na	BBKT01000075.1	=	NZ_BBKT01000075.1	Primary Assembly	5674	na
BBKT01000074.1	unplaced-scaffold	na	na	BBKT01000074.1	=	NZ_BBKT01000074.1	Primary Assembly	11240	na
BBKT01000073.1	unplaced-scaffold	na	na	BBKT01000073.1	=	NZ_BBKT01000073.1	Primary Assembly	5815	na
BBKT01000072.1	unplaced-scaffold	na	na	BBKT01000072.1	=	NZ_BBKT01000072.1	Primary Assembly	6535	na
BBKT01000071.1	unplaced-scaffold	na	na	BBKT01000071.1	=	NZ_BBKT01000071.1	Primary Assembly	26493	na
BBKT01000070.1	unplaced-scaffold	na	na	BBKT01000070.1	=	NZ_BBKT01000070.1	Primary Assembly	2666	na
BBKT01000069.1	unplaced-scaffold	na	na	BBKT01000069.1	=	NZ_BBKT01000069.1	Primary Assembly	3311	na
BBKT01000068.1	unplaced-scaffold	na	na	BBKT01000068.1	=	NZ_BBKT01000068.1	Primary Assembly	8456	na
BBKT01000067.1	unplaced-scaffold	na	na	BBKT01000067.1	=	NZ_BBKT01000067.1	Primary Assembly	23663	na
BBKT01000066.1	unplaced-scaffold	na	na	BBKT01000066.1	=	NZ_BBKT01000066.1	Primary Assembly	15776	na
