# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	45	1409	+						31771380	ATHE_RS00005	1365		old_locus_tag=Athe_0001
CDS	with_protein	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	45	1409	+	WP_012660677.1	WP_012660677.1		chromosomal replication initiator protein DnaA		31771380	ATHE_RS00005	1365	454	
gene	protein_coding	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	1629	2735	+						31771381	ATHE_RS00010	1107		old_locus_tag=Athe_0003
CDS	with_protein	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	1629	2735	+	WP_012660679.1	WP_012660679.1		DNA polymerase III subunit beta		31771381	ATHE_RS00010	1107	368	
gene	protein_coding	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	2761	3822	+						31771382	ATHE_RS00015	1062		old_locus_tag=Athe_0004
CDS	with_protein	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	2761	3822	+	WP_012660680.1	WP_012660680.1		DNA replication and repair protein RecF		31771382	ATHE_RS00015	1062	353	
gene	protein_coding	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	3854	4138	+						31771383	ATHE_RS00020	285		old_locus_tag=Athe_0005
CDS	with_protein	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	3854	4138	+	WP_012660681.1	WP_012660681.1		DUF370 domain-containing protein		31771383	ATHE_RS00020	285	94	
gene	protein_coding	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	4180	6087	+					gyrB	31771384	ATHE_RS00025	1908		old_locus_tag=Athe_0006
CDS	with_protein	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	4180	6087	+	WP_041727272.1	WP_041727272.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB	31771384	ATHE_RS00025	1908	635	
gene	protein_coding	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	6469	8898	+						31771385	ATHE_RS00030	2430		old_locus_tag=Athe_0008
CDS	with_protein	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	6469	8898	+	WP_012660684.1	WP_012660684.1		DNA gyrase subunit A		31771385	ATHE_RS00030	2430	809	
gene	protein_coding	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	9187	11097	+						31771386	ATHE_RS00035	1911		old_locus_tag=Athe_0009
CDS	with_protein	GCF_000022325.1	Primary Assembly	chromosome		NC_012034.1	9187	11097	+	WP_012660685.1	WP_012660685.1		hypothetical protein		31771386	ATHE_RS00035	1911	636	
