Tag	1094508.3	203119.11
TAG0002	Tsac_0512	Cthe_3093
TAG0011	Tsac_1180	Cthe_2887
TAG0019	-	Cthe_1080
TAG0022	Tsac_1188	"Cthe_1079,Cthe_1961"
TAG0046	Tsac_2499	-
TAG0056	Tsac_1886	Cthe_0695
TAG0060	Tsac_1733	-
TAG0063	Tsac_1739	Cthe_1277
TAG0066	Tsac_1745	Cthe_1028
TAG0069	Tsac_1754	Cthe_0933
TAG0070	Tsac_1759	Cthe_0927
TAG0071	-	-
TAG0072	Tsac_1763	Cthe_0769
TAG0115	Tsac_1801	Cthe_0486
TAG0119	Tsac_1808	Cthe_0495
TAG0125	Tsac_1818	Cthe_0999
TAG0129	Tsac_1829	Cthe_0988
TAG0139	Tsac_1845	Cthe_1052
TAG0165	-	-
TAG0195	Tsac_1682	Cthe_0182
TAG0196	fig|1094508.3.peg.283	-
TAG0200	-	Cthe_0905
TAG0201	Tsac_1999	Cthe_1331
TAG0217	-	-
TAG0219	"Tsac_2018,Tsac_0304"	Cthe_2115
TAG0232	"Tsac_0488,Tsac_0975"	Cthe_0344
TAG0233	"Tsac_0805,Tsac_0964"	Cthe_1866
TAG0238	Tsac_2197	Cthe_1222
TAG0267	Tsac_1871	Cthe_0783
TAG0273	Tsac_0574	Cthe_0107
TAG0275	Tsac_0571	Cthe_0104
TAG0287	-	Cthe_0876
TAG0293	Tsac_1728	Cthe_0576
TAG0294	Tsac_1246	Cthe_3046
TAG0298	Tsac_1712	Cthe_3100
TAG0302	Tsac_1703	Cthe_0952
TAG0332	-	Cthe_0585
TAG0353	Tsac_1736	-
TAG0358	Tsac_1220	-
TAG0366	Tsac_0376	"Cthe_1376,Cthe_0290"
TAG0367	Tsac_1597	Cthe_1021
TAG0375	Tsac_1520	Cthe_0965
TAG0377	"Tsac_1892,Tsac_1907,Tsac_2098"	"Cthe_1231,Cthe_3179,Cthe_0679"
TAG0381	Tsac_1906	"Cthe_0118,Cthe_2898"
TAG0382	Tsac_0036	Cthe_0677
TAG0385	Tsac_1910	Cthe_0355
TAG0387	Tsac_1922	Cthe_0827
TAG0389	Tsac_1926	Cthe_0832
TAG0393	Tsac_1885	Cthe_0701
TAG0396	Tsac_1932	Cthe_0839
TAG0401	Tsac_1948	-
TAG0407	Tsac_1957	Cthe_1106
TAG0411	Tsac_1945	Cthe_2437
TAG0412	Tsac_1959	Cthe_0854
TAG0423	Tsac_1970	Cthe_1011
TAG0425	Tsac_1979	Cthe_0151
TAG0460	-	-
TAG0468	Tsac_0096	-
TAG0469	-	-
TAG0492	Tsac_2247	-
TAG0493	Tsac_1699	Cthe_1060
TAG0501	Tsac_1200	Cthe_1111
TAG0507	Tsac_2141	-
TAG0532	Tsac_2128	Cthe_0340
TAG0533	Tsac_2130	"Cthe_0338,Cthe_0428"
TAG0536	Tsac_2620	Cthe_2743
TAG0539	-	-
TAG0540	"Tsac_0131,Tsac_1678,Tsac_1805"	"Cthe_2285,Cthe_0491,Cthe_0809,Cthe_0878"
TAG0542	Tsac_0316	Cthe_2598
TAG0545	Tsac_2664	-
TAG0598	Tsac_1439	-
TAG0612	Tsac_2343	-
TAG0621	Tsac_1573	Cthe_0443
TAG0623	Tsac_0569	Cthe_2713
TAG0707	Tsac_2493	Cthe_1283
TAG0739	Tsac_2102	Cthe_1240
TAG0775	-	-
TAG0817	Tsac_0558	Cthe_0440
TAG0821	Tsac_0687	-
TAG0828	Tsac_0089	Cthe_0549
TAG0829	Tsac_0087	Cthe_0547
TAG0836	Tsac_2360	-
TAG0844	Tsac_2357	-
TAG0850	-	"Cthe_0608,Cthe_0609"
TAG0851	Tsac_2050	Cthe_1073
TAG0852	-	Cthe_1762
TAG0873	Tsac_2427	"fig|203119.11.peg.1728,Cthe_1722"
TAG0874	Tsac_1145	-
TAG0881	-	-
TAG0909	-	Cthe_0615
TAG0967	Tsac_0305	-
TAG0999	-	Cthe_2049
TAG1009	Tsac_0016	Cthe_3174
TAG1020	Tsac_2398	-
TAG1069	Tsac_0809	Cthe_0178
TAG1073	Tsac_0548	Cthe_2366
TAG1075	Tsac_1020	Cthe_2912
TAG1079	Tsac_1004	Cthe_2725
TAG1115	Tsac_2012	Cthe_0872
TAG1116	Tsac_0547	Cthe_2365
TAG1120	Tsac_1151	Cthe_2354
TAG1129	-	Cthe_2582
TAG1131	Tsac_0935	Cthe_2255
TAG1142	Tsac_0823	Cthe_2659
TAG1144	Tsac_0375	-
TAG1163	Tsac_0812	Cthe_1402
TAG1170	-	Cthe_2347
TAG1176	Tsac_1426	Cthe_2609
TAG1177	Tsac_0545	Cthe_2363
TAG1189	"Tsac_2175,Tsac_2232"	-
TAG1196	-	Cthe_1352
TAG1215	Tsac_1146	Cthe_2701
TAG1223	Tsac_0750	-
TAG1224	Tsac_0749	"Cthe_2404,Cthe_3159"
TAG1226	Tsac_0535	Cthe_2204
TAG1248	Tsac_0664	Cthe_2095
TAG1261	-	Cthe_1659
TAG1264	-	Cthe_1658
TAG1271	Tsac_0611	Cthe_2502
TAG1277	Tsac_0625	Cthe_3114
TAG1296	Tsac_0542	Cthe_2377
TAG1332	-	"Cthe_0292,Cthe_2958"
