patric_id						KO					COG	COG_function
fig|31899.10.peg.75|SAMN05216182_0009	521460.Athe_2540	2.00E-255	841.2	BL00575		K14059		bactNOG[38]	"05VTR@bactNOG,0EQCU@cloNOG,0NF78@firmNOG,COG0582@NOG"	05VTR|6.48486132566e-120|403.998016357	L	Integrase
fig|31899.10.peg.76|SAMN05216182_0010	521460.Athe_2541	1.70E-225	743.2	BIOB		K01012	"BTS2,BTS3r,BTS_1"	bactNOG[38]	"05CZF@bactNOG,0ENUP@cloNOG,0NDAW@firmNOG,COG0502@NOG"	05CZF|5.66675380204e-107|361.259735107	H	Catalyzes the conversion of dethiobiotin (DTB) to biotin by the insertion of a sulfur atom into dethiobiotin via a radical- based mechanism (By similarity)
fig|31899.10.peg.77|SAMN05216182_0011	521460.Athe_2542	0	1051.2	BIOA	"GO:0003674,GO:0003824,GO:0004015,GO:0004801,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006461,GO:0006766,GO:0006767,GO:0006768,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0008483,GO:0009058,GO:0009102,GO:0009110,GO:0009987,GO:0016043,GO:0016053,GO:0016740,GO:0016744,GO:0016769,GO:0018130,GO:0019752,GO:0022607,GO:0030170,GO:0032787,GO:0034641,GO:0042364,GO:0043167,GO:0043168,GO:0043436,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044249,GO:0044271,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0044710,GO:0044711,GO:0046394,GO:0046483,GO:0048037,GO:0051186,GO:0051188,GO:0051259,GO:0051260,GO:0051262,GO:0051289,GO:0065003,GO:0070271,GO:0071704,GO:0071822,GO:0071840,GO:0072330,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576"	"K00833,K19563"		bactNOG[38]	"08JPX@bactNOG,0F7DJ@cloNOG,0P6PC@firmNOG,COG0161@NOG"	0F7DJ|1.31426620183e-217|725.602111816	H	"Catalyzes the transfer of the alpha-amino group from S- adenosyl-L-methionine (SAM) to 7-keto-8-aminopelargonic acid (KAPA) to form 7,8-diaminopelargonic acid (DAPA). It is the only animotransferase known to utilize SAM as an amino donor (By similarity)"
fig|31899.10.peg.78|SAMN05216182_0012	521460.Athe_2543	2.50E-167	549.7	BIOD	"GO:0003674,GO:0003824,GO:0004141,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0008152,GO:0016874,GO:0016879,GO:0016882,GO:0044424,GO:0044464"	"K01935,K02169"		bactNOG[38]	"05E78@bactNOG,0ES3U@cloNOG,0NHGN@firmNOG,COG0132@NOG"	05E78|3.12892894812e-70|240.134124756	H	"Catalyzes a mechanistically unusual reaction, the ATP- dependent insertion of CO2 between the N7 and N8 nitrogen atoms of 7,8-diaminopelargonic acid (DAPA) to form an ureido ring (By similarity)"
fig|31899.10.peg.79|SAMN05216182_0013	521460.Athe_2544	5.10E-124	406.1	BIOY	"GO:0005575,GO:0005623,GO:0005886,GO:0009279,GO:0016020,GO:0019867,GO:0030312,GO:0030313,GO:0031975,GO:0044462,GO:0044464,GO:0071944"	"K02014,K03523"		bactNOG[38]	"05VKD@bactNOG,0EUNM@cloNOG,0NNU5@firmNOG,COG1268@NOG"	05VKD|1.19825686504e-55|191.205566406	S	bioY protein
fig|31899.10.peg.81|SAMN05216182_0015	521460.Athe_2546	6.60E-60	187.8					bactNOG[38]	"066PW@bactNOG,0EVQM@cloNOG,0NNQV@firmNOG,12ACQ@NOG"	066PW|2.80676567688e-49|167.813201904	K	AbrB Family Transcriptional Regulator
fig|31899.10.peg.82|SAMN05216182_0016	521460.Athe_2547	4.40E-58	183.1	RELE				bactNOG[38]	"069RI@bactNOG,0EV40@cloNOG,0NMMR@firmNOG,0XYWD@NOG"	069RI|9.58863121308e-41|140.715820312	S	cytotoxic translational repressor
fig|31899.10.peg.86|SAMN05216182_0018	521460.Athe_2549	0	1686.3	METE	"GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944"	K00549	METS	bactNOG[38]	"07QYE@bactNOG,0EQ12@cloNOG,0NE3R@firmNOG,COG0620@NOG"	07QYE|4.13954543786e-309|1030.42687988	E	Catalyzes the transfer of a methyl group from 5- methyltetrahydrofolate to homocysteine resulting in methionine formation (By similarity)
fig|31899.10.peg.87|SAMN05216182_0019	521460.Athe_2550	0	1085.5			K07720		bactNOG[38]	"07RDE@bactNOG,0EPW1@cloNOG,0NEAC@firmNOG,COG4753@NOG"	07RDE|5.40602127057e-167|559.733459473	T	"two component transcriptional regulator, arac family"
fig|31899.10.peg.88|SAMN05216182_0020	521460.Athe_2551	0	1292			K07718		bactNOG[38]	"05C2F@bactNOG,0EQBZ@cloNOG,0NET1@firmNOG,COG2972@NOG"	0EQBZ|2.62233813124e-219|732.626647949	T	integral membrane sensor signal transduction histidine kinase
