Tag	1094508.3	203119.11	31899.1
TAG0002	fig|1094508.3.peg.516	fig|203119.11.peg.3304	fig|31899.10.peg.426
TAG0011	fig|1094508.3.peg.1194	fig|203119.11.peg.3090	fig|31899.10.peg.1967
TAG0019	-	fig|203119.11.peg.1138	-
TAG0022	fig|1094508.3.peg.1202	"fig|203119.11.peg.1137,fig|203119.11.peg.2077"	fig|31899.10.peg.632
TAG0046	fig|1094508.3.peg.2534	-	-
TAG0056	fig|1094508.3.peg.1910	fig|203119.11.peg.730	fig|31899.10.peg.1803
TAG0060	fig|1094508.3.peg.1756	-	fig|31899.10.peg.1709
TAG0063	fig|1094508.3.peg.1763	fig|203119.11.peg.1347	fig|31899.10.peg.1713
TAG0066	fig|1094508.3.peg.1769	fig|203119.11.peg.1080	fig|31899.10.peg.1986
TAG0069	fig|1094508.3.peg.1778	fig|203119.11.peg.980	fig|31899.10.peg.1640
TAG0070	fig|1094508.3.peg.1783	fig|203119.11.peg.974	fig|31899.10.peg.1654
TAG0071	-	-	fig|31899.10.peg.677
TAG0072	fig|1094508.3.peg.1787	fig|203119.11.peg.811	fig|31899.10.peg.1446
TAG0115	fig|1094508.3.peg.1825	fig|203119.11.peg.513	fig|31899.10.peg.2707
TAG0119	fig|1094508.3.peg.1832	fig|203119.11.peg.522	fig|31899.10.peg.2699
TAG0125	fig|1094508.3.peg.1842	fig|203119.11.peg.1050	fig|31899.10.peg.2322
TAG0129	fig|1094508.3.peg.1854	fig|203119.11.peg.1039	fig|31899.10.peg.1535
TAG0139	fig|1094508.3.peg.1870	fig|203119.11.peg.1109	fig|31899.10.peg.1464
TAG0165	-	-	fig|31899.10.peg.1702
TAG0195	fig|1094508.3.peg.1705	fig|203119.11.peg.194	fig|31899.10.peg.1597
TAG0196	fig|1094508.3.peg.283	-	-
TAG0200	-	fig|203119.11.peg.951	-
TAG0201	fig|1094508.3.peg.2025	fig|203119.11.peg.1408	fig|31899.10.peg.1026
TAG0217	-	-	fig|31899.10.peg.592
TAG0219	"fig|1094508.3.peg.2044,fig|1094508.3.peg.306"	fig|203119.11.peg.2244	-
TAG0232	"fig|1094508.3.peg.493,fig|1094508.3.peg.986"	fig|203119.11.peg.367	fig|31899.10.peg.1543
TAG0233	"fig|1094508.3.peg.811,fig|1094508.3.peg.975"	fig|203119.11.peg.1974	fig|31899.10.peg.2349
TAG0238	fig|1094508.3.peg.2224	fig|203119.11.peg.1290	fig|31899.10.peg.1693
TAG0267	fig|1094508.3.peg.1896	fig|203119.11.peg.825	fig|31899.10.peg.1994
TAG0273	fig|1094508.3.peg.580	fig|203119.11.peg.115	fig|31899.10.peg.993
TAG0275	fig|1094508.3.peg.577	fig|203119.11.peg.112	fig|31899.10.peg.996
TAG0287	-	fig|203119.11.peg.921	-
TAG0293	fig|1094508.3.peg.1752	fig|203119.11.peg.599	fig|31899.10.peg.1528
TAG0294	fig|1094508.3.peg.1260	fig|203119.11.peg.3257	-
TAG0298	fig|1094508.3.peg.1736	fig|203119.11.peg.3312	fig|31899.10.peg.2670
TAG0302	fig|1094508.3.peg.1726	fig|203119.11.peg.999	fig|31899.10.peg.1866
TAG0332	-	fig|203119.11.peg.609	-
TAG0353	fig|1094508.3.peg.1759	-	fig|31899.10.peg.2687
TAG0358	fig|1094508.3.peg.1234	-	-
TAG0366	fig|1094508.3.peg.382	"fig|203119.11.peg.1456,fig|203119.11.peg.307"	fig|31899.10.peg.2478
TAG0367	fig|1094508.3.peg.1619	fig|203119.11.peg.1073	fig|31899.10.peg.149
TAG0375	fig|1094508.3.peg.1541	fig|203119.11.peg.1014	-
TAG0377	"fig|1094508.3.peg.1916,fig|1094508.3.peg.1931,fig|1094508.3.peg.2125"	"fig|203119.11.peg.1299,fig|203119.11.peg.3394,fig|203119.11.peg.712"	"fig|31899.10.peg.1742
TAG0381	fig|1094508.3.peg.1930	"fig|203119.11.peg.127,fig|203119.11.peg.3101"	"fig|31899.10.peg.2191
TAG0382	fig|1094508.3.peg.37	fig|203119.11.peg.710	fig|31899.10.peg.2284
TAG0385	fig|1094508.3.peg.1934	fig|203119.11.peg.378	fig|31899.10.peg.1831
TAG0387	fig|1094508.3.peg.1947	fig|203119.11.peg.869	fig|31899.10.peg.1777
TAG0389	fig|1094508.3.peg.1951	fig|203119.11.peg.874	fig|31899.10.peg.1482
TAG0393	fig|1094508.3.peg.1909	fig|203119.11.peg.737	fig|31899.10.peg.1807
TAG0396	fig|1094508.3.peg.1957	fig|203119.11.peg.882	fig|31899.10.peg.1475
TAG0401	fig|1094508.3.peg.1973	-	-
TAG0407	fig|1094508.3.peg.1982	fig|203119.11.peg.1165	fig|31899.10.peg.2397
TAG0411	fig|1094508.3.peg.1970	fig|203119.11.peg.2591	fig|31899.10.peg.2209
TAG0412	fig|1094508.3.peg.1984	fig|203119.11.peg.898	fig|31899.10.peg.2405
TAG0423	fig|1094508.3.peg.1995	fig|203119.11.peg.1062	-
TAG0425	fig|1094508.3.peg.2004	fig|203119.11.peg.162	fig|31899.10.peg.1694
TAG0460	-	-	fig|31899.10.peg.1703
TAG0468	fig|1094508.3.peg.98	-	-
TAG0469	-	-	fig|31899.10.peg.1392
TAG0492	fig|1094508.3.peg.2276	-	-
TAG0493	fig|1094508.3.peg.1722	fig|203119.11.peg.1117	fig|31899.10.peg.1949
TAG0501	fig|1094508.3.peg.1214	fig|203119.11.peg.1171	fig|31899.10.peg.2452
TAG0507	fig|1094508.3.peg.2168	-	-
TAG0532	fig|1094508.3.peg.2155	fig|203119.11.peg.362	fig|31899.10.peg.1785
TAG0533	fig|1094508.3.peg.2157	"fig|203119.11.peg.360,fig|203119.11.peg.453"	fig|31899.10.peg.1783
TAG0536	fig|1094508.3.peg.2656	fig|203119.11.peg.2917	fig|31899.10.peg.2345
TAG0539	-	-	fig|31899.10.peg.2422
TAG0540	"fig|1094508.3.peg.132,fig|1094508.3.peg.1701,fig|1094508.3.peg.1829"	"fig|203119.11.peg.2433,fig|203119.11.peg.518,fig|203119.11.peg.851,fig|203119.11.peg.923"	"fig|31899.10.peg.1008
TAG0542	fig|1094508.3.peg.318	fig|203119.11.peg.2768	fig|31899.10.peg.1074
TAG0545	fig|1094508.3.peg.2702	-	-
TAG0598	fig|1094508.3.peg.1460	-	-
TAG0612	fig|1094508.3.peg.2374	-	-
TAG0621	fig|1094508.3.peg.1595	fig|203119.11.peg.468	-
TAG0623	fig|1094508.3.peg.575	fig|203119.11.peg.2887	fig|31899.10.peg.1110
TAG0707	fig|1094508.3.peg.2528	fig|203119.11.peg.1354	"fig|31899.10.peg.1051
TAG0739	fig|1094508.3.peg.2129	fig|203119.11.peg.1308	fig|31899.10.peg.1738
TAG0775	-	-	fig|31899.10.peg.2258
TAG0817	fig|1094508.3.peg.564	fig|203119.11.peg.465	fig|31899.10.peg.2296
TAG0821	fig|1094508.3.peg.696	-	fig|31899.10.peg.2304
TAG0828	fig|1094508.3.peg.91	fig|203119.11.peg.572	fig|31899.10.peg.2748
TAG0829	fig|1094508.3.peg.89	fig|203119.11.peg.570	fig|31899.10.peg.2746
TAG0836	fig|1094508.3.peg.2391	-	-
TAG0844	fig|1094508.3.peg.2388	-	fig|31899.10.peg.931
TAG0850	-	"fig|203119.11.peg.633,fig|203119.11.peg.634"	-
TAG0851	fig|1094508.3.peg.2076	fig|203119.11.peg.1131	fig|31899.10.peg.1757
TAG0852	-	fig|203119.11.peg.1858	fig|31899.10.peg.134
TAG0873	fig|1094508.3.peg.2462	"fig|203119.11.peg.1728,fig|203119.11.peg.1819"	-
TAG0874	fig|1094508.3.peg.1158	-	-
TAG0881	-	-	fig|31899.10.peg.2334
TAG0909	-	fig|203119.11.peg.641	"fig|31899.10.peg.1490
TAG0967	fig|1094508.3.peg.307	-	fig|31899.10.peg.333
TAG0999	-	fig|203119.11.peg.2175	-
TAG1009	fig|1094508.3.peg.17	fig|203119.11.peg.3389	fig|31899.10.peg.1493
TAG1020	fig|1094508.3.peg.2431	-	-
TAG1069	fig|1094508.3.peg.815	fig|203119.11.peg.190	fig|31899.10.peg.1735
TAG1073	fig|1094508.3.peg.552	fig|203119.11.peg.2518	fig|31899.10.peg.364
TAG1075	fig|1094508.3.peg.1032	fig|203119.11.peg.3115	fig|31899.10.peg.2245
TAG1079	fig|1094508.3.peg.1016	fig|203119.11.peg.2899	fig|31899.10.peg.1264
TAG1115	fig|1094508.3.peg.2038	fig|203119.11.peg.916	fig|31899.10.peg.2202
TAG1116	fig|1094508.3.peg.551	fig|203119.11.peg.2517	fig|31899.10.peg.363
TAG1120	fig|1094508.3.peg.1165	fig|203119.11.peg.2505	fig|31899.10.peg.1701
TAG1129	-	fig|203119.11.peg.2751	-
TAG1131	fig|1094508.3.peg.945	fig|203119.11.peg.2400	fig|31899.10.peg.1081
TAG1142	fig|1094508.3.peg.830	fig|203119.11.peg.2831	fig|31899.10.peg.1092
TAG1144	fig|1094508.3.peg.381	-	-
TAG1163	fig|1094508.3.peg.819	fig|203119.11.peg.1486	-
TAG1170	-	fig|203119.11.peg.2498	-
TAG1176	fig|1094508.3.peg.1446	fig|203119.11.peg.2779	fig|31899.10.peg.1915
TAG1177	fig|1094508.3.peg.549	fig|203119.11.peg.2515	fig|31899.10.peg.361
TAG1189	"fig|1094508.3.peg.2202,fig|1094508.3.peg.2259"	-	-
TAG1196	-	fig|203119.11.peg.1431	fig|31899.10.peg.2330
TAG1215	fig|1094508.3.peg.1159	fig|203119.11.peg.2875	-
TAG1223	fig|1094508.3.peg.757	-	fig|31899.10.peg.2031
TAG1224	fig|1094508.3.peg.756	"fig|203119.11.peg.2558,fig|203119.11.peg.3373"	"fig|31899.10.peg.2032
TAG1226	fig|1094508.3.peg.539	fig|203119.11.peg.2345	-
TAG1248	fig|1094508.3.peg.672	fig|203119.11.peg.2223	fig|31899.10.peg.719
TAG1261	-	fig|203119.11.peg.1756	-
TAG1264	-	fig|203119.11.peg.1755	-
TAG1271	fig|1094508.3.peg.619	fig|203119.11.peg.2662	fig|31899.10.peg.2977
TAG1277	fig|1094508.3.peg.633	fig|203119.11.peg.3326	fig|31899.10.peg.2131
TAG1296	fig|1094508.3.peg.546	fig|203119.11.peg.2529	fig|31899.10.peg.357
TAG1332	-	"fig|203119.11.peg.309,fig|203119.11.peg.3163"	-
TAG1361	fig|1094508.3.peg.639	fig|203119.11.peg.3301	fig|31899.10.peg.351
TAG1367	fig|1094508.3.peg.992	fig|203119.11.peg.1884	fig|31899.10.peg.2611
TAG1368	-	fig|203119.11.peg.1883	-
TAG1373	fig|1094508.3.peg.1315	-	-
TAG1383	-	fig|203119.11.peg.2357	-
TAG1386	fig|1094508.3.peg.2613	fig|203119.11.peg.2052	fig|31899.10.peg.2584
TAG1402	fig|1094508.3.peg.174	-	-
TAG1421	fig|1094508.3.peg.1433	fig|203119.11.peg.2913	fig|31899.10.peg.1162
