Tag	1094508.3	203119.11	31899.1	394503.7
TAG0002	fig|1094508.3.peg.516	fig|203119.11.peg.3304	fig|31899.10.peg.426|SAMN05216182_0297	fig|394503.7.peg.2494
TAG0011	fig|1094508.3.peg.1194	fig|203119.11.peg.3090	fig|31899.10.peg.1967|SAMN05216182_1753	fig|394503.7.peg.403
TAG0019	-	fig|203119.11.peg.1138	-	fig|394503.7.peg.2229
TAG0022	fig|1094508.3.peg.1202	"fig|203119.11.peg.1137,fig|203119.11.peg.2077"	fig|31899.10.peg.632|SAMN05216182_0489	"fig|394503.7.peg.1995,fig|394503.7.peg.364"
TAG0046	fig|1094508.3.peg.2534	-	-	-
TAG0056	fig|1094508.3.peg.1910	fig|203119.11.peg.730	fig|31899.10.peg.1803|SAMN05216182_1593	fig|394503.7.peg.2509
TAG0060	fig|1094508.3.peg.1756	-	fig|31899.10.peg.1709|SAMN05216182_1499	-
TAG0063	fig|1094508.3.peg.1763	fig|203119.11.peg.1347	fig|31899.10.peg.1713|SAMN05216182_1503	fig|394503.7.peg.1936
TAG0066	fig|1094508.3.peg.1769	fig|203119.11.peg.1080	fig|31899.10.peg.1986|SAMN05216182_1772	fig|394503.7.peg.2195
TAG0069	fig|1094508.3.peg.1778	fig|203119.11.peg.980	fig|31899.10.peg.1640|SAMN05216182_1436	fig|394503.7.peg.708
TAG0070	fig|1094508.3.peg.1783	fig|203119.11.peg.974	fig|31899.10.peg.1654|SAMN05216182_1447	fig|394503.7.peg.720
TAG0071	-	-	fig|31899.10.peg.677|SAMN05216182_0529	-
TAG0072	fig|1094508.3.peg.1787	fig|203119.11.peg.811	fig|31899.10.peg.1446|SAMN05216182_1245	fig|394503.7.peg.734
TAG0103	-	-	-	fig|394503.7.peg.2681
TAG0115	fig|1094508.3.peg.1825	fig|203119.11.peg.513	fig|31899.10.peg.2707|SAMN05216182_2465	fig|394503.7.peg.2086
TAG0119	fig|1094508.3.peg.1832	fig|203119.11.peg.522	fig|31899.10.peg.2699|SAMN05216182_2457	fig|394503.7.peg.2078
TAG0125	fig|1094508.3.peg.1842	fig|203119.11.peg.1050	fig|31899.10.peg.2322|SAMN05216182_2109	fig|394503.7.peg.467
TAG0129	fig|1094508.3.peg.1854	fig|203119.11.peg.1039	fig|31899.10.peg.1535|SAMN05216182_1333	fig|394503.7.peg.478
TAG0139	fig|1094508.3.peg.1870	fig|203119.11.peg.1109	fig|31899.10.peg.1464|SAMN05216182_1262	fig|394503.7.peg.697
TAG0146	-	-	-	fig|394503.7.peg.3411
TAG0165	-	-	fig|31899.10.peg.1702|SAMN05216182_1492	-
TAG0195	fig|1094508.3.peg.1705	fig|203119.11.peg.194	fig|31899.10.peg.1597|SAMN05216182_1395	fig|394503.7.peg.1389
TAG0196	fig|1094508.3.peg.283	-	-	-
TAG0200	-	fig|203119.11.peg.951	-	-
TAG0201	fig|1094508.3.peg.2025	fig|203119.11.peg.1408	fig|31899.10.peg.1026|SAMN05216182_0858	fig|394503.7.peg.2002
TAG0217	-	-	fig|31899.10.peg.592|SAMN05216182_0450	-
TAG0219	"fig|1094508.3.peg.2044,fig|1094508.3.peg.306"	fig|203119.11.peg.2244	-	-
TAG0232	"fig|1094508.3.peg.493,fig|1094508.3.peg.986"	fig|203119.11.peg.367	fig|31899.10.peg.1543|SAMN05216182_1341	fig|394503.7.peg.145
TAG0233	"fig|1094508.3.peg.811,fig|1094508.3.peg.975"	fig|203119.11.peg.1974	fig|31899.10.peg.2349|SAMN05216182_2136	"fig|394503.7.peg.1867,fig|394503.7.peg.2998"
TAG0238	fig|1094508.3.peg.2224	fig|203119.11.peg.1290	fig|31899.10.peg.1693|SAMN05216182_1484	fig|394503.7.peg.1479
TAG0267	fig|1094508.3.peg.1896	fig|203119.11.peg.825	fig|31899.10.peg.1994|SAMN05216182_1780	fig|394503.7.peg.1750
TAG0273	fig|1094508.3.peg.580	fig|203119.11.peg.115	fig|31899.10.peg.993|SAMN05216182_0825	fig|394503.7.peg.2060
TAG0275	fig|1094508.3.peg.577	fig|203119.11.peg.112	fig|31899.10.peg.996|SAMN05216182_0828	fig|394503.7.peg.2063
TAG0287	-	fig|203119.11.peg.921	-	-
TAG0293	fig|1094508.3.peg.1752	fig|203119.11.peg.599	fig|31899.10.peg.1528|SAMN05216182_1326	fig|394503.7.peg.1581
TAG0294	fig|1094508.3.peg.1260	fig|203119.11.peg.3257	-	fig|394503.7.peg.2554
TAG0298	fig|1094508.3.peg.1736	fig|203119.11.peg.3312	fig|31899.10.peg.2670|SAMN05216182_2428	-
