1121259.3	1214564.3	1387555.3	1387557.3	31899.10	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
2594|Calkr_2394	-	-	-
1029	-	-	-	-	-	-	-	-	-	-	-
1031	-	-	-	-	-	-	-	-	-	-	-
916|Calow_0846
948|Calow_0876
952|Calow_0880
1067	-	-	-	-	-	-	-	-	-	-	-
954|Calow_0883
1105	-	-	-	-	-	-	-	-	-	-	-
1107	-	-	-	-	-	-	-	-	-	-	-
1721|Calhy_1628	-	-	-	-
1720|Calhy_1627	-	-	-	-
1719|Calhy_1626	-	-	-	-
1718|Calhy_1625	-	-	-	-
1000|Calow_0925
1114	-	-	-	-	-	-	-	-	-	-	-
1159	-	-	-	-	-	-	-	-	-	-	-
317|Calhy_0287	-	-	-	-
1169	-	-	-	-	-	-	-	-	-	-	-
1175	-	-	-	-	-	-	-	-	-	-	-
1177	-	-	-	-	-	-	-	-	-	-	-
2143|Calow_2004
2212	-	-	-	-	-
1181	-	-	-	-	-	-	-	-	-	-	-
1182	-	-	-	-	-	-	-	-	-	-	-
1185	-	-	-	-	-	-	-	-	-	-	-
1190	-	-	-	-	-	-	-	-	-	-	-
1191	-	-	-	-	-	-	-	-	-	-	-
1192	-	-	-	-	-	-	-	-	-	-	-
1193	-	-	-	-	-	-	-	-	-	-	-
1194	-	-	-	-	-	-	-	-	-	-	-
2119|Calow_1985
2115|Calow_1982
2103|Calow_1972
1220	-	-	-	-	-	-	-	-	-	-	-
2046|Calow_1923
2039|Calow_1916
2009
1282	-	-	-	-	-	-	-	-	-	-	-
1288	-	-	-	-	-	-	-	-	-	-	-
1312	-	-	-	-	-	-	-	-	-	-	-
1315	-	-	-	-	-	-	-	-	-	-	-
1317	-	-	-	-	-	-	-	-	-	-	-
1321	-	-	-	-	-	-	-	-	-	-	-
1336	-	-	-	-	-	-	-	-	-	-	-
1351	-	-	-	-	-	-	-	-	-	-	-
218	-	-	-	-
2557	-	-	-
216	-	-
932|CallaDRAFT_0885	-
1381	-	-	-	-	-	-	-	-	-	-	-
1383	-	-	-	-	-	-	-	-	-	-	-
1384	-	-	-	-	-	-	-	-	-	-	-
1386	-	-	-	-	-	-	-	-	-	-	-
1387	-	-	-	-	-	-	-	-	-	-	-
1388	-	-	-	-	-	-	-	-	-	-	-
1389	-	-	-	-	-	-	-	-	-	-	-
1390	-	-	-	-	-	-	-	-	-	-	-
1391	-	-	-	-	-	-	-	-	-	-	-
1392	-	-	-	-	-	-	-	-	-	-	-
1393	-	-	-	-	-	-	-	-	-	-	-
1394	-	-	-	-	-	-	-	-	-	-	-
1410	-	-	-	-	-	-	-	-	-	-	-
1426	-	-	-	-	-	-	-	-	-	-	-
1428	-	-	-	-	-	-	-	-	-	-	-
171	-	-	-	-	-	-	-
2341|Calow_2184
1451	-	-	-	-	-	-	-	-	-	-	-
486|CallaDRAFT_0467	-
736|Calhy_0678	-	-	-	-
1463	-	-	-	-	-	-	-	-	-	-	-
1470	-	-	-	-	-	-	-	-	-	-	-
1472	-	-	-	-	-	-	-	-	-	-	-
