Tag	Gene_cnt_chromosome	Gene_list_chromosome	Genome_cnt	1121259.3	31899.1	1387557.3	632292.3	632335.8	632348.3	632516.3	1387555.3	608506.3	632518.3	351627.8	1214564.3	Classification	Pathway	Name	Type	Functional_role
TAG0788	12	"fig|1121259.3.peg.701,fig|1214564.3.peg.741,fig|1387555.3.peg.1066,fig|1387557.3.peg.2117,fig|31899.10.peg.2349|SAMN05216182_2136,fig|351627.8.peg.2564|Csac_2379,fig|608506.3.peg.1766|COB47_1649,fig|632292.3.peg.981|Calhy_0910,fig|632335.8.peg.939|Calkr_0836,fig|632348.3.peg.935|Calkro_0877,fig|632516.3.peg.972|CallaDRAFT_0918,fig|632518.3.peg.1677|Calow_1581"	12	701	2349	2117	981	939	935	972	1066	1766	1677	2564	741	Amino acids	Arginine biosynthesis	ArgD	enzyme	N-acetylornithine aminotransferase (EC 2.6.1.11)
TAG0900	12	"fig|1121259.3.peg.2008,fig|1214564.3.peg.698,fig|1387555.3.peg.1209,fig|1387557.3.peg.1795,fig|31899.10.peg.2037|SAMN05216182_1829,fig|351627.8.peg.2411|Csac_2229,fig|608506.3.peg.1106|COB47_1012,fig|632292.3.peg.1279|Calhy_1195,fig|632335.8.peg.1702|Calkr_1572,fig|632348.3.peg.1246|Calkro_1172,fig|632516.3.peg.1101|CallaDRAFT_1042,fig|632518.3.peg.1405|Calow_1320"	12	2008	2037	1795	1279	1702	1246	1101	1209	1106	1405	2411	698	Amino acids	Arginine biosynthesis	ArgF	enzyme	Ornithine carbamoyltransferase (EC 2.1.3.3)
TAG1160	12	"fig|1121259.3.peg.173,fig|1214564.3.peg.2389,fig|1387555.3.peg.1579,fig|1387557.3.peg.1575,fig|31899.10.peg.1822|SAMN05216182_1612,fig|351627.8.peg.2077|Csac_1897,fig|608506.3.peg.1328|COB47_1223,fig|632292.3.peg.1479|Calhy_1392,fig|632335.8.peg.1444|Calkr_1321,fig|632348.3.peg.1448|Calkro_1367,fig|632516.3.peg.174|CallaDRAFT_0175,fig|632518.3.peg.1210|Calow_1126"	12	173	1822	1575	1479	1444	1448	174	1579	1328	1210	2077	2389	Amino acids	Arginine biosynthesis	ArgR	regulator	"Arginine pathway regulatory protein ArgR, repressor of arg regulon"
TAG1232	12	"fig|1121259.3.peg.89,fig|1214564.3.peg.2304,fig|1387555.3.peg.1670,fig|1387557.3.peg.1491,fig|31899.10.peg.1736|SAMN05216182_1526,fig|351627.8.peg.1989|Csac_1814,fig|608506.3.peg.1412|COB47_1307,fig|632292.3.peg.1563|Calhy_1476,fig|632335.8.peg.1353|Calkr_1231,fig|632348.3.peg.1533|Calkro_1451,fig|632516.3.peg.260|CallaDRAFT_0261,fig|632518.3.peg.1120|Calow_1040"	12	89	1736	1491	1563	1353	1533	260	1670	1412	1120	1989	2304	Amino acids	Arginine biosynthesis	ArgG	enzyme	Argininosuccinate synthase (EC 6.3.4.5)
TAG1403	12	"fig|1121259.3.peg.1083,fig|1214564.3.peg.1136,fig|1387555.3.peg.1930,fig|1387557.3.peg.1316,fig|31899.10.peg.1560|SAMN05216182_1358,fig|351627.8.peg.1689|Csac_1531,fig|608506.3.peg.1554|COB47_1446,fig|632292.3.peg.1750|Calhy_1657,fig|632335.8.peg.1188|Calkr_1068,fig|632348.3.peg.1704|Calkro_1615,fig|632516.3.peg.1469|CallaDRAFT_1408,fig|632518.3.peg.968|Calow_0897"	12	1083	1560	1316	1750	1188	1704	1469	1930	1554	968	1689	1136	Amino acids	Arginine biosynthesis	ArgC	enzyme	N-acetyl-gamma-glutamyl-phosphate reductase (EC 1.2.1.38)
TAG1404	12	"fig|1121259.3.peg.1082,fig|1214564.3.peg.1137,fig|1387555.3.peg.1931,fig|1387557.3.peg.1315,fig|31899.10.peg.1559|SAMN05216182_1357,fig|351627.8.peg.1688|Csac_1530,fig|608506.3.peg.1555|COB47_1447,fig|632292.3.peg.1751|Calhy_1658,fig|632335.8.peg.1187|Calkr_1067,fig|632348.3.peg.1705|Calkro_1616,fig|632516.3.peg.1470|CallaDRAFT_1409,fig|632518.3.peg.967|Calow_0896"	12	1082	1559	1315	1751	1187	1705	1470	1931	1555	967	1688	1137	Amino acids	Arginine biosynthesis	ArgB	enzyme	N-acetylglutamate kinase (EC 2.7.2.8)
TAG3087	11	"fig|1121259.3.peg.88,fig|1387555.3.peg.1671,fig|1387557.3.peg.1490,fig|31899.10.peg.1735|SAMN05216182_1525,fig|351627.8.peg.1988|Csac_1813,fig|608506.3.peg.1413|COB47_1308,fig|632292.3.peg.1564|Calhy_1477,fig|632335.8.peg.1352|Calkr_1230,fig|632348.3.peg.1534|Calkro_1452,fig|632516.3.peg.261|CallaDRAFT_0262,fig|632518.3.peg.1119|Calow_1039"	11	88	1735	1490	1564	1352	1534	261	1671	1413	1119	1988	-	Amino acids	Arginine biosynthesis	ArgH	enzyme	Argininosuccinate lyase (EC 4.3.2.1)
TAG1034	12	"fig|1121259.3.peg.242,fig|1214564.3.peg.219,fig|1387555.3.peg.1417,fig|1387557.3.peg.1661,fig|31899.10.peg.1906|SAMN05216182_1692,fig|351627.8.peg.2139|Csac_1960,fig|608506.3.peg.1237|COB47_1140,fig|632292.3.peg.1406|Calhy_1322,fig|632335.8.peg.1522|Calkr_1399,fig|632348.3.peg.1373|Calkro_1296,fig|632516.3.peg.121|CallaDRAFT_0120,fig|632518.3.peg.1277|Calow_1192"	12	242	1906	1661	1406	1522	1373	121	1417	1237	1277	2139	219	Amino acids	Aspartate Asparagine biosynthesis	AspC	enzyme	Aspartate aminotransferase (EC 2.6.1.1)
TAG1367	12	"fig|1121259.3.peg.1131,fig|1214564.3.peg.288,fig|1387555.3.peg.1878,fig|1387557.3.peg.1361,fig|31899.10.peg.1610|SAMN05216182_1407,fig|351627.8.peg.1740|Csac_1578,fig|608506.3.peg.1512|COB47_1405,fig|632292.3.peg.1697|Calhy_1606,fig|632335.8.peg.1230|Calkr_1109,fig|632348.3.peg.1656|Calkro_1569,fig|632516.3.peg.1515|CallaDRAFT_1456,fig|632518.3.peg.1020|Calow_0943"	12	1131	1610	1361	1697	1230	1656	1515	1878	1512	1020	1740	288	Amino acids	Aspartate Asparagine biosynthesis	AspC	enzyme	Aspartate aminotransferase (EC 2.6.1.1)
TAG7682	12	"fig|1121259.3.peg.2367,fig|1214564.3.peg.1047,fig|1387555.3.peg.2289,fig|1387557.3.peg.1030,fig|31899.10.peg.1218|SAMN05216182_1031,fig|351627.8.peg.1027|Csac_0908,fig|608506.3.peg.762|COB47_0689,fig|632292.3.peg.2020|Calhy_1928,fig|632335.8.peg.2114|Calkr_1953,fig|632348.3.peg.1990|Calkro_1891,fig|632516.3.peg.561|CallaDRAFT_0537,fig|632518.3.peg.667|Calow_0605"	12	2367	1218	1030	2020	2114	1990	561	2289	762	667	1027	1047	Amino acids	Aspartate Asparagine biosynthesis	GatC	enzyme	Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)
