patric_id	NCBI new locus_tag	NCBI old locus_tag
fig|31899.10.peg.68	-	-
fig|31899.10.rna.2	-	-
fig|31899.10.peg.69	-	-
fig|31899.10.peg.70	ATHE_RS12780	Athe_2535
fig|31899.10.peg.71	ATHE_RS12785	Athe_2536
fig|31899.10.peg.72	ATHE_RS12790	Athe_2537
fig|31899.10.peg.73	ATHE_RS12795	Athe_2538
fig|31899.10.peg.74	ATHE_RS12800	Athe_2539
fig|31899.10.peg.75	ATHE_RS12805	Athe_2540
fig|31899.10.peg.76	ATHE_RS12810	Athe_2541
fig|31899.10.peg.77	ATHE_RS12815	Athe_2542
fig|31899.10.peg.78	ATHE_RS12820	Athe_2543
fig|31899.10.peg.79	ATHE_RS12825	Athe_2544
fig|31899.10.peg.80	-	-
fig|31899.10.peg.81	ATHE_RS12835	Athe_2546
fig|31899.10.peg.82	ATHE_RS12840	Athe_2547
fig|31899.10.peg.83	-	-
fig|31899.10.peg.84	-	-
fig|31899.10.peg.85	-	-
fig|31899.10.peg.86	ATHE_RS12855	Athe_2549
fig|31899.10.peg.87	ATHE_RS12860	Athe_2550
fig|31899.10.peg.88	-	-
fig|31899.10.peg.89	ATHE_RS12870	Athe_2552
fig|31899.10.peg.90	ATHE_RS12875	Athe_2553
fig|31899.10.peg.91	ATHE_RS12880	Athe_2554
fig|31899.10.peg.92	ATHE_RS12885	Athe_2555
fig|31899.10.peg.93	-	-
fig|31899.10.peg.94	ATHE_RS12895	Athe_2557
fig|31899.10.peg.95	ATHE_RS12900	Athe_2558
fig|31899.10.peg.96	ATHE_RS12905	Athe_2559
fig|31899.10.peg.97	ATHE_RS12910	Athe_2560
fig|31899.10.repeat.25	-	-
fig|31899.10.peg.98	-	-
fig|31899.10.repeat.26	-	-
fig|31899.10.peg.99	-	-
fig|31899.10.peg.100	-	-
fig|31899.10.peg.101	-	-
fig|31899.10.peg.102	-	-
fig|31899.10.repeat.27	-	-
fig|31899.10.peg.103	-	-
fig|31899.10.peg.104	ATHE_RS12925	Athe_2564
fig|31899.10.peg.105	-	-
fig|31899.10.peg.106	ATHE_RS12930	Athe_2565
