TAG	Genome_list	1121259.3	1214564.3	1387555.3	1387557.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3
TAG0001	1121259.3;351627.8;632335.8	fig|1121259.3.peg.1022	-	-	-	-	fig|351627.8.peg.2936|Csac_2715	-	-	fig|632335.8.peg.2594|Calkr_2394	-	-	-
TAG0002	1121259.3	fig|1121259.3.peg.1029	-	-	-	-	-	-	-	-	-	-	-
TAG0003	1121259.3	fig|1121259.3.peg.1031	-	-	-	-	-	-	-	-	-	-	-
TAG0004	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1033	fig|1214564.3.peg.586	fig|1387555.3.peg.1289	fig|1387557.3.peg.1267	fig|31899.10.peg.1511|SAMN05216182_1309	fig|351627.8.peg.2270|Csac_2091	fig|608506.3.peg.1606|COB47_1495	fig|632292.3.peg.1799|Calhy_1706	fig|632335.8.peg.1139|Calkr_1019	fig|632348.3.peg.1754|Calkro_1664	fig|632516.3.peg.1220|CallaDRAFT_1165	fig|632518.3.peg.916|Calow_0846
TAG0005	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1062	fig|1214564.3.peg.555	fig|1387555.3.peg.1318	fig|1387557.3.peg.1296	fig|31899.10.peg.1540|SAMN05216182_1338	fig|351627.8.peg.2240|Csac_2062	fig|608506.3.peg.1575|COB47_1466	fig|632292.3.peg.1770|Calhy_1677	fig|632335.8.peg.1168|Calkr_1048	fig|632348.3.peg.1725|Calkro_1635	fig|632516.3.peg.1191|CallaDRAFT_1136	fig|632518.3.peg.948|Calow_0876
TAG0006	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1066	fig|1214564.3.peg.1207	fig|1387555.3.peg.1944	fig|1387557.3.peg.1300	fig|31899.10.peg.1544|SAMN05216182_1342	fig|351627.8.peg.1671|Csac_1513	fig|608506.3.peg.1571|COB47_1462	fig|632292.3.peg.1766|Calhy_1673	fig|632335.8.peg.1172|Calkr_1052	fig|632348.3.peg.1721|Calkro_1631	fig|632516.3.peg.1187|CallaDRAFT_1132	fig|632518.3.peg.952|Calow_0880
TAG0007	1121259.3	fig|1121259.3.peg.1067	-	-	-	-	-	-	-	-	-	-	-
TAG0008	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	fig|1121259.3.peg.1069	fig|1214564.3.peg.1205	fig|1387555.3.peg.1942	fig|1387557.3.peg.1302	fig|31899.10.peg.1546|SAMN05216182_1344	fig|351627.8.peg.1673|Csac_1515	fig|608506.3.peg.1569|COB47_1460	fig|632292.3.peg.1764|Calhy_1671	fig|632335.8.peg.1174|Calkr_1054	fig|632348.3.peg.1718|Calkro_1629	fig|632516.3.peg.1185|CallaDRAFT_1130	fig|632518.3.peg.954|Calow_0883
TAG0009	1121259.3	fig|1121259.3.peg.1105	-	-	-	-	-	-	-	-	-	-	-
TAG0010	1121259.3	fig|1121259.3.peg.1107	-	-	-	-	-	-	-	-	-	-	-
TAG0011	1121259.3;632292.3	fig|1121259.3.peg.1108	-	-	-	-	-	-	fig|632292.3.peg.1721|Calhy_1628	-	-	-	-
TAG0012	1121259.3;632292.3	fig|1121259.3.peg.1109	-	-	-	-	-	-	fig|632292.3.peg.1720|Calhy_1627	-	-	-	-
TAG0013	1121259.3;632292.3	fig|1121259.3.peg.1110	-	-	-	-	-	-	fig|632292.3.peg.1719|Calhy_1626	-	-	-	-
TAG0014	1121259.3;632292.3	fig|1121259.3.peg.1111	-	-	-	-	-	-	fig|632292.3.peg.1718|Calhy_1625	-	-	-	-
TAG0015	1121259.3;351627.8;632292.3;632518.3	fig|1121259.3.peg.1112	-	-	-	-	fig|351627.8.peg.1719|Csac_1560	-	fig|632292.3.peg.1717|Calhy_1624	-	-	-	fig|632518.3.peg.1000|Calow_0925
TAG0016	1121259.3	fig|1121259.3.peg.1114	-	-	-	-	-	-	-	-	-	-	-
TAG0017	1121259.3	fig|1121259.3.peg.1159	-	-	-	-	-	-	-	-	-	-	-
TAG0018	1121259.3;632292.3	fig|1121259.3.peg.1160	-	-	-	-	-	-	fig|632292.3.peg.317|Calhy_0287	-	-	-	-
TAG0019	1121259.3	fig|1121259.3.peg.1169	-	-	-	-	-	-	-	-	-	-	-
TAG0020	1121259.3	fig|1121259.3.peg.1175	-	-	-	-	-	-	-	-	-	-	-
TAG0021	1121259.3	fig|1121259.3.peg.1177	-	-	-	-	-	-	-	-	-	-	-
TAG0022	1121259.3;1214564.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632518.3	fig|1121259.3.peg.1178	fig|1214564.3.peg.2484	-	fig|1387557.3.peg.2738	fig|31899.10.peg.2878|SAMN05216182_2626	fig|351627.8.peg.2683|Csac_2487	fig|608506.3.peg.2216|COB47_2073	fig|632292.3.peg.492|Calhy_0449	fig|632335.8.peg.2521|Calkr_2329	fig|632348.3.peg.351|Calkro_0326	-	fig|632518.3.peg.2143|Calow_2004
TAG0023	1121259.3;608506.3	fig|1121259.3.peg.1179	-	-	-	-	-	fig|608506.3.peg.2212	-	-	-	-	-
TAG0024	1121259.3	fig|1121259.3.peg.1181	-	-	-	-	-	-	-	-	-	-	-
TAG0025	1121259.3	fig|1121259.3.peg.1182	-	-	-	-	-	-	-	-	-	-	-
TAG0026	1121259.3	fig|1121259.3.peg.1185	-	-	-	-	-	-	-	-	-	-	-
TAG0027	1121259.3	fig|1121259.3.peg.1190	-	-	-	-	-	-	-	-	-	-	-
TAG0028	1121259.3	fig|1121259.3.peg.1191	-	-	-	-	-	-	-	-	-	-	-
TAG0029	1121259.3	fig|1121259.3.peg.1192	-	-	-	-	-	-	-	-	-	-	-
TAG0030	1121259.3	fig|1121259.3.peg.1193	-	-	-	-	-	-	-	-	-	-	-
TAG0031	1121259.3	fig|1121259.3.peg.1194	-	-	-	-	-	-	-	-	-	-	-
TAG0032	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632348.3;632516.3;632518.3	fig|1121259.3.peg.1201	fig|1214564.3.peg.2187	fig|1387555.3.peg.153	fig|1387557.3.peg.2719	fig|31899.10.peg.2857|SAMN05216182_2607	fig|351627.8.peg.259|Csac_0220	fig|608506.3.peg.2194|COB47_2053	fig|632292.3.peg.512|Calhy_0468	-	fig|632348.3.peg.375|Calkro_0346	fig|632516.3.peg.2075|CallaDRAFT_2004	fig|632518.3.peg.2119|Calow_1985
