# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000101.1	29	277	+							NTOU1_RS14625	249		old_locus_tag=TR39_RS14470
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000101.1	29	277	+	WP_045414081.1	WP_045414081.1		hypothetical protein			NTOU1_RS14625	249	82	
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000101.1	336	649	+							NTOU1_RS14630	314		partial;pseudo;old_locus_tag=TR39_RS14475
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000101.1	336	649	+				hypothetical protein			NTOU1_RS14630	314		partial;pseudo
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000100.1	12	527	-							NTOU1_RS14620	516		partial;pseudo;old_locus_tag=TR39_RS14465
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000100.1	12	527	-				AsnC family protein			NTOU1_RS14620	516		partial;pseudo
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000099.1	138	1094	+							NTOU1_RS14615	957		old_locus_tag=TR39_RS14460
CDS	with_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000099.1	138	1094	+	WP_045414072.1	WP_045414072.1		branched-chain amino acid ABC transporter permease			NTOU1_RS14615	957	318	
gene	rRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000098.1	1	617	-							NTOU1_RS14605	617		partial;old_locus_tag=TR39_RS14450
rRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000098.1	1	617	-				23S ribosomal RNA			NTOU1_RS14605	617		partial
gene	rRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000098.1	948	1043	-							NTOU1_RS14610	96		partial;old_locus_tag=TR39_RS14455
rRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000098.1	948	1043	-				16S ribosomal RNA			NTOU1_RS14610	96		partial
gene	pseudogene	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000097.1	525	1402	-							NTOU1_RS14600	878		partial;pseudo;old_locus_tag=TR39_RS14445
CDS	without_protein	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000097.1	525	1402	-				transposase			NTOU1_RS14600	878		partial;pseudo
gene	rRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000096.1	1	731	+							NTOU1_RS14595	731		partial;old_locus_tag=TR39_RS14440
rRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000096.1	1	731	+				16S ribosomal RNA			NTOU1_RS14595	731		partial
gene	rRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000095.1	1	107	+							NTOU1_RS14585	107		partial;old_locus_tag=TR39_RS14430
rRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000095.1	1	107	+				16S ribosomal RNA			NTOU1_RS14585	107		partial
gene	rRNA	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000095.1	435	1181	+							NTOU1_RS14590	747		partial;old_locus_tag=TR39_RS14435
rRNA		GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000095.1	435	1181	+				23S ribosomal RNA			NTOU1_RS14590	747		partial
gene	protein_coding	GCF_000747665.1	Primary Assembly	unplaced scaffold		NZ_BBKT01000094.1	1	370	-							NTOU1_RS14575	370		partial;old_locus_tag=TR39_RS14420
