fig|31899.10.peg.70|SAMN05216182_0004	WP_015908853.1
fig|31899.10.peg.71|SAMN05216182_0005	WP_015908854.1
fig|31899.10.peg.72|SAMN05216182_0006	WP_015908855.1
fig|31899.10.peg.73|SAMN05216182_0007	WP_015908856.1
fig|31899.10.peg.74|SAMN05216182_0008	WP_015908857.1
fig|31899.10.peg.75|SAMN05216182_0009	WP_015908858.1
fig|31899.10.peg.76|SAMN05216182_0010	WP_015908859.1
fig|31899.10.peg.77|SAMN05216182_0011	WP_015908860.1
fig|31899.10.peg.78|SAMN05216182_0012	WP_015908861.1
fig|31899.10.peg.79|SAMN05216182_0013	WP_015908862.1
fig|31899.10.peg.81|SAMN05216182_0015	WP_013433368.1
fig|31899.10.peg.82|SAMN05216182_0016	WP_015908864.1
fig|31899.10.peg.86|SAMN05216182_0018	WP_015908866.1
fig|31899.10.peg.87|SAMN05216182_0019	WP_015908867.1
fig|31899.10.peg.89|SAMN05216182_0021	WP_015908869.1
fig|31899.10.peg.90|SAMN05216182_0022	WP_015908870.1
fig|31899.10.peg.91|SAMN05216182_0023	WP_015908871.1
fig|31899.10.peg.92|SAMN05216182_0024	WP_015908872.1
fig|31899.10.peg.94|SAMN05216182_0026	WP_015908874.1
fig|31899.10.peg.95|SAMN05216182_0027	WP_015908875.1
fig|31899.10.peg.96|SAMN05216182_0028	WP_015908876.1
fig|31899.10.peg.97|SAMN05216182_0029	WP_015908877.1
fig|31899.10.peg.104|SAMN05216182_0033	WP_015908879.1
fig|31899.10.peg.106|SAMN05216182_0034	WP_015908880.1
fig|31899.10.peg.107|SAMN05216182_0035	WP_015908881.1
fig|31899.10.peg.108|SAMN05216182_0036	WP_015908882.1
fig|31899.10.peg.110|SAMN05216182_0037	WP_011915897.1
fig|31899.10.peg.112|SAMN05216182_0038	WP_015908883.1
fig|31899.10.peg.113|SAMN05216182_0039	WP_015908884.1
fig|31899.10.peg.116|SAMN05216182_0042	WP_015908886.1
fig|31899.10.peg.121|SAMN05216182_0050	WP_015908887.1
fig|31899.10.peg.122|SAMN05216182_0051	WP_015908888.1
fig|31899.10.peg.123|SAMN05216182_0052	WP_015908889.1
fig|31899.10.peg.124|SAMN05216182_0053	WP_015908890.1
fig|31899.10.peg.125|SAMN05216182_0054	WP_015908891.1
fig|31899.10.peg.126|SAMN05216182_0055	WP_015908892.1
fig|31899.10.peg.127|SAMN05216182_0056	WP_015908893.1
fig|31899.10.peg.128|SAMN05216182_0057	WP_015908894.1
fig|31899.10.peg.129|SAMN05216182_0058	WP_015908895.1
fig|31899.10.peg.130|SAMN05216182_0059	WP_015908896.1
fig|31899.10.peg.131|SAMN05216182_0060	WP_015908897.1
fig|31899.10.peg.133|SAMN05216182_0061	WP_015908898.1
fig|31899.10.peg.134|SAMN05216182_0062	WP_015908899.1
fig|31899.10.peg.135|SAMN05216182_0063	WP_013429342.1
fig|31899.10.peg.140|SAMN05216182_0067	WP_015908904.1
fig|31899.10.peg.142|SAMN05216182_0069	WP_015908906.1
