# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	110	778	+							Tsac_0001	669		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	110	778	+	AFK85039.1			metal dependent phosphohydrolase			Tsac_0001	669	222	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	885	2075	-							Tsac_0002	1191		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	885	2075	-	AFK85040.1			S-adenosylmethionine synthase			Tsac_0002	1191	396	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	2381	2884	-							Tsac_0003	504		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	2381	2884	-	AFK85041.1			Rubrerythrin			Tsac_0003	504	167	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	2904	3404	-							Tsac_0004	501		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	2904	3404	-	AFK85042.1			alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen			Tsac_0004	501	166	
gene	tRNA	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	3628	3713	-							Tsac_R0057	86		
tRNA		GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	3628	3713	-				tRNA-Tyr			Tsac_R0057	86		
gene	tRNA	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	3759	3834	-							Tsac_R0056	76		
tRNA		GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	3759	3834	-				tRNA-Val			Tsac_R0056	76		
gene	tRNA	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	3840	3915	-							Tsac_R0055	76		
tRNA		GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	3840	3915	-				tRNA-Pro			Tsac_R0055	76		
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	4209	6578	+							Tsac_0005	2370		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	4209	6578	+	AFK85043.1			hypothetical protein			Tsac_0005	2370	789	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	6600	7265	-							Tsac_0006	666		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	6600	7265	-	AFK85044.1			hypothetical protein			Tsac_0006	666	221	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	7342	7887	+							Tsac_0007	546		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	7342	7887	+	AFK85045.1			sporulation protein YyaC			Tsac_0007	546	181	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	7892	9346	-							Tsac_0008	1455		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	7892	9346	-	AFK85046.1			Spore germination protein-like Gmad2			Tsac_0008	1455	484	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	9428	10822	-							Tsac_0009	1395		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	9428	10822	-	AFK85047.1			integral membrane sensor signal transduction histidine kinase			Tsac_0009	1395	464	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	10832	11509	-							Tsac_0010	678		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	10832	11509	-	AFK85048.1			two component transcriptional regulator, winged helix family			Tsac_0010	678	225	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	11609	12751	+							Tsac_0011	1143		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	11609	12751	+	AFK85049.1			N-acetylglucosamine-6-phosphate deacetylase			Tsac_0011	1143	380	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	12761	13771	-							Tsac_0012	1011		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	12761	13771	-	AFK85050.1			transcriptional regulator, LacI family			Tsac_0012	1011	336	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	13901	14035	-							Tsac_0013	135		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	13901	14035	-	AFK85051.1			hypothetical protein			Tsac_0013	135	44	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	14098	14919	-							Tsac_0014	822		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	14098	14919	-	AFK85052.1			Cof-like hydrolase			Tsac_0014	822	273	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	15122	15793	+							Tsac_0015	672		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	15122	15793	+	AFK85053.1			protein of unknown function DUF421			Tsac_0015	672	223	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	15802	16185	+							Tsac_0016	384		
CDS	with_protein	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	15802	16185	+	AFK85054.1			hypothetical protein			Tsac_0016	384	127	
gene	protein_coding	GCA_000307585.2	Primary Assembly	chromosome		CP003184.1	16219	17388	-							Tsac_0017	1170		
