Tag	31899.1
TAG0002	fig|31899.10.peg.426
TAG0011	fig|31899.10.peg.1967
TAG0019	-
TAG0022	fig|31899.10.peg.632
TAG0046	-
TAG0056	fig|31899.10.peg.1803
TAG0060	fig|31899.10.peg.1709
TAG0063	fig|31899.10.peg.1713
TAG0066	fig|31899.10.peg.1986
TAG0069	fig|31899.10.peg.1640
TAG0070	fig|31899.10.peg.1654
TAG0071	fig|31899.10.peg.677
TAG0072	fig|31899.10.peg.1446
TAG0115	fig|31899.10.peg.2707
TAG0119	fig|31899.10.peg.2699
TAG0125	fig|31899.10.peg.2322
TAG0129	fig|31899.10.peg.1535
TAG0139	fig|31899.10.peg.1464
TAG0165	fig|31899.10.peg.1702
TAG0195	fig|31899.10.peg.1597
TAG0196	-
TAG0200	-
TAG0201	fig|31899.10.peg.1026
TAG0217	fig|31899.10.peg.592
TAG0219	-
TAG0232	fig|31899.10.peg.1543
TAG0233	fig|31899.10.peg.2349
TAG0238	fig|31899.10.peg.1693
TAG0267	fig|31899.10.peg.1994
TAG0273	fig|31899.10.peg.993
TAG0275	fig|31899.10.peg.996
TAG0287	-
TAG0293	fig|31899.10.peg.1528
TAG0294	-
TAG0298	fig|31899.10.peg.2670
TAG0302	fig|31899.10.peg.1866
TAG0332	-
TAG0353	fig|31899.10.peg.2687
TAG0358	-
TAG0366	fig|31899.10.peg.2478
TAG0367	fig|31899.10.peg.149
TAG0375	-
TAG0377	"fig|31899.10.peg.1742,fig|31899.10.peg.1767,fig|31899.10.peg.2054"
TAG0381	"fig|31899.10.peg.2191,fig|31899.10.peg.855"
TAG0382	fig|31899.10.peg.2284
TAG0385	fig|31899.10.peg.1831
TAG0387	fig|31899.10.peg.1777
TAG0389	fig|31899.10.peg.1482
TAG0393	fig|31899.10.peg.1807
TAG0396	fig|31899.10.peg.1475
TAG0401	-
TAG0407	fig|31899.10.peg.2397
TAG0411	fig|31899.10.peg.2209
TAG0412	fig|31899.10.peg.2405
TAG0423	-
TAG0425	fig|31899.10.peg.1694
TAG0460	fig|31899.10.peg.1703
TAG0468	-
TAG0469	fig|31899.10.peg.1392
TAG0492	-
TAG0493	fig|31899.10.peg.1949
TAG0501	fig|31899.10.peg.2452
TAG0507	-
TAG0532	fig|31899.10.peg.1785
TAG0533	fig|31899.10.peg.1783
TAG0536	fig|31899.10.peg.2345
TAG0539	fig|31899.10.peg.2422
TAG0540	"fig|31899.10.peg.1008,fig|31899.10.peg.2280,fig|31899.10.peg.2653,fig|31899.10.peg.2703"
TAG0542	fig|31899.10.peg.1074
TAG0545	-
TAG0598	-
TAG0612	-
TAG0621	-
