Tag	1094508.3	1094508.3	203119.11	203119.11	394503.7	394503.7	31899.1	31899.1	most_common_function
TAG0002	fig|1094508.3.peg.516	Tsac_0512	fig|203119.11.peg.3304	Cthe_3093	fig|394503.7.peg.2494	Ccel_2419	fig|31899.10.peg.426	426	Adenylosuccinate synthetase (EC 6.3.4.4)
TAG0011	fig|1094508.3.peg.1194	Tsac_1180	fig|203119.11.peg.3090	Cthe_2887	fig|394503.7.peg.403	Ccel_0387	fig|31899.10.peg.1967	1967	Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)
TAG0019	-	-	fig|203119.11.peg.1138	Cthe_1080	fig|394503.7.peg.2229	Ccel_2169	-	-	hypothetical protein
TAG0022	fig|1094508.3.peg.1202	Tsac_1188	fig|203119.11.peg.1137,fig|203119.11.peg.2077	Cthe_1079,Cthe_1961	fig|394503.7.peg.1995,fig|394503.7.peg.364	Ccel_1940,Ccel_0348	fig|31899.10.peg.632	632	Mannose-1-phosphate guanylyltransferase / Phosphomannomutase (EC 5.4.2.8)
TAG0046	fig|1094508.3.peg.2534	Tsac_2499	-	-	-	-	-	-	hypothetical protein
TAG0056	fig|1094508.3.peg.1910	Tsac_1886	fig|203119.11.peg.730	Cthe_0695	fig|394503.7.peg.2509	Ccel_2434	fig|31899.10.peg.1803	1803	Agmatinase (EC 3.5.3.11)
TAG0060	fig|1094508.3.peg.1756	Tsac_1733	-	-	-	-	fig|31899.10.peg.1709	1709	FIG001802: Putative alkaline-shock protein
TAG0063	fig|1094508.3.peg.1763	Tsac_1739	fig|203119.11.peg.1347	Cthe_1277	fig|394503.7.peg.1936	Ccel_1881	fig|31899.10.peg.1713	1713	16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)
TAG0066	fig|1094508.3.peg.1769	Tsac_1745	fig|203119.11.peg.1080	Cthe_1028	fig|394503.7.peg.2195	Ccel_2136	fig|31899.10.peg.1986	1986	Acetate kinase (EC 2.7.2.1)
TAG0069	fig|1094508.3.peg.1778	Tsac_1754	fig|203119.11.peg.980	Cthe_0933	fig|394503.7.peg.708	Ccel_0685	fig|31899.10.peg.1640	1640	Acyl carrier protein
TAG0070	fig|1094508.3.peg.1783	Tsac_1759	fig|203119.11.peg.974	Cthe_0927	fig|394503.7.peg.720	Ccel_0696	fig|31899.10.peg.1654	1654	Chromosome partition protein smc
TAG0071	-	-	-	-	-	-	fig|31899.10.peg.677	677	tRNA (adenine(37)-N6)-methyltransferase
TAG0072	fig|1094508.3.peg.1787	Tsac_1763	fig|203119.11.peg.811	Cthe_0769	fig|394503.7.peg.734	Ccel_0710	fig|31899.10.peg.1446	1446	SSU ribosomal protein S16p
TAG0103	-	-	-	-	fig|394503.7.peg.2681	Ccel_2606	-	-	hypothetical protein
TAG0115	fig|1094508.3.peg.1825	Tsac_1801	fig|203119.11.peg.513	Cthe_0486	fig|394503.7.peg.2086	Ccel_2030	fig|31899.10.peg.2707	2707	Flagellar biosynthesis protein FlhF
TAG0119	fig|1094508.3.peg.1832	Tsac_1808	fig|203119.11.peg.522	Cthe_0495	fig|394503.7.peg.2078	Ccel_2022	fig|31899.10.peg.2699	2699	RNA polymerase sigma factor for flagellar operon
TAG0125	fig|1094508.3.peg.1842	Tsac_1818	fig|203119.11.peg.1050	Cthe_0999	fig|394503.7.peg.467	Ccel_0449	fig|31899.10.peg.2322	2322	1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)
TAG0129	fig|1094508.3.peg.1854	Tsac_1829	fig|203119.11.peg.1039	Cthe_0988	fig|394503.7.peg.478	Ccel_0460	fig|31899.10.peg.1535	1535	tRNA pseudouridine(55) synthase (EC 5.4.99.25)
TAG0139	fig|1094508.3.peg.1870	Tsac_1845	fig|203119.11.peg.1109	Cthe_1052	fig|394503.7.peg.697	Ccel_0674	fig|31899.10.peg.1464	1464	ADP-ribose pyrophosphatase of COG1058 family (EC 3.6.1.13) / Nicotinamide-nucleotide amidase (EC 3.5.1.42)
TAG0146	-	-	-	-	fig|394503.7.peg.3411	Ccel_3335	-	-	Transcriptional regulator, GntR family
TAG0165	-	-	-	-	-	-	fig|31899.10.peg.1702	1702	Oxidoreductase, molybdopterin-binding
TAG0195	fig|1094508.3.peg.1705	Tsac_1682	fig|203119.11.peg.194	Cthe_0182	fig|394503.7.peg.1389	Ccel_1348	fig|31899.10.peg.1597	1597	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)
TAG0196	fig|1094508.3.peg.283	-	-	-	-	-	-	-	Transcriptional regulator, LysR family
TAG0200	-	-	fig|203119.11.peg.951	Cthe_0905	-	-	-	-	hypothetical protein
TAG0201	fig|1094508.3.peg.2025	Tsac_1999	fig|203119.11.peg.1408	Cthe_1331	fig|394503.7.peg.2002	Ccel_1946	fig|31899.10.peg.1026	1026	Aspartyl-tRNA synthetase (EC 6.1.1.12) @ Aspartyl-tRNA(Asn) synthetase (EC 6.1.1.23)
TAG0217	-	-	-	-	-	-	fig|31899.10.peg.592	592	tRNA-5-methyluridine(54) 2-sulfurtransferase (EC 2.8.1.15)
TAG0219	fig|1094508.3.peg.2044,fig|1094508.3.peg.306	Tsac_2018,Tsac_0304	fig|203119.11.peg.2244	Cthe_2115	-	-	-	-	hypothetical protein
TAG0232	fig|1094508.3.peg.493,fig|1094508.3.peg.986	Tsac_0488,Tsac_0975	fig|203119.11.peg.367	Cthe_0344	fig|394503.7.peg.145	Ccel_0138	fig|31899.10.peg.1543	1543	NADP-dependent malic enzyme (EC 1.1.1.40)
