TAG	Rep_gene	Rep_len	Rep_genome	Gene_cnt_chromosome	Gene_list_chromosome	Gene_cnt_plasmid	Gene_list_plasmid	Genome_cnt	Genome_list	1121259.3	1214564.3	1387555.3	1387557.3	31899.1	351627.8	608506.3	632292.3	632335.8	632348.3	632516.3	632518.3	most_common_function	function_proportion	count_result
TAG0001	fig|1121259.3.peg.1022	405	1121259.3	3	fig|1121259.3.peg.1022,fig|351627.8.peg.2936|Csac_2715,fig|632335.8.peg.2594|Calkr_2394	0	-	3	1121259.3;351627.8;632335.8	1022	-	-	-	-	2936_2715	-	-	2594_2394	-	-	-	Mobile element protein	0.666666666667	Counter({'Mobile element protein': 2, 'Transposase': 1})
TAG0002	fig|1121259.3.peg.1029	39	1121259.3	1	fig|1121259.3.peg.1029	0	-	1	1121259.3	1029	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0003	fig|1121259.3.peg.1031	57	1121259.3	1	fig|1121259.3.peg.1031	0	-	1	1121259.3	1031	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0004	fig|1121259.3.peg.1033	334	1121259.3	12	fig|1121259.3.peg.1033,fig|1214564.3.peg.586,fig|1387555.3.peg.1289,fig|1387557.3.peg.1267,fig|31899.10.peg.1511|SAMN05216182_1309,fig|351627.8.peg.2270|Csac_2091,fig|608506.3.peg.1606|COB47_1495,fig|632292.3.peg.1799|Calhy_1706,fig|632335.8.peg.1139|Calkr_1019,fig|632348.3.peg.1754|Calkro_1664,fig|632516.3.peg.1220|CallaDRAFT_1165,fig|632518.3.peg.916|Calow_0846	0	-	12	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1033	586	1289	1267	1511_1309	2270_2091	1606_1495	1799_1706	1139_1019	1754_1664	1220_1165	916_0846	DUF89 protein CxxC subfamily	1.0	Counter({'DUF89 protein CxxC subfamily': 12})
TAG0005	fig|1121259.3.peg.1062	262	1121259.3	12	fig|1121259.3.peg.1062,fig|1214564.3.peg.555,fig|1387555.3.peg.1318,fig|1387557.3.peg.1296,fig|31899.10.peg.1540|SAMN05216182_1338,fig|351627.8.peg.2240|Csac_2062,fig|608506.3.peg.1575|COB47_1466,fig|632292.3.peg.1770|Calhy_1677,fig|632335.8.peg.1168|Calkr_1048,fig|632348.3.peg.1725|Calkro_1635,fig|632516.3.peg.1191|CallaDRAFT_1136,fig|632518.3.peg.948|Calow_0876	0	-	12	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1062	555	1318	1296	1540_1338	2240_2062	1575_1466	1770_1677	1168_1048	1725_1635	1191_1136	948_0876	Putative membrane-spanning protein	1.0	Counter({'Putative membrane-spanning protein': 12})
TAG0006	fig|1121259.3.peg.1066	560	1121259.3	12	fig|1121259.3.peg.1066,fig|1214564.3.peg.1207,fig|1387555.3.peg.1944,fig|1387557.3.peg.1300,fig|31899.10.peg.1544|SAMN05216182_1342,fig|351627.8.peg.1671|Csac_1513,fig|608506.3.peg.1571|COB47_1462,fig|632292.3.peg.1766|Calhy_1673,fig|632335.8.peg.1172|Calkr_1052,fig|632348.3.peg.1721|Calkro_1631,fig|632516.3.peg.1187|CallaDRAFT_1132,fig|632518.3.peg.952|Calow_0880	0	-	12	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1066	1207	1944	1300	1544_1342	1671_1513	1571_1462	1766_1673	1172_1052	1721_1631	1187_1132	952_0880	Transcription termination factor Rho	1.0	Counter({'Transcription termination factor Rho': 12})
TAG0007	fig|1121259.3.peg.1067	45	1121259.3	1	fig|1121259.3.peg.1067	0	-	1	1121259.3	1067	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
TAG0008	fig|1121259.3.peg.1069	291	1121259.3	12	fig|1121259.3.peg.1069,fig|1214564.3.peg.1205,fig|1387555.3.peg.1942,fig|1387557.3.peg.1302,fig|31899.10.peg.1546|SAMN05216182_1344,fig|351627.8.peg.1673|Csac_1515,fig|608506.3.peg.1569|COB47_1460,fig|632292.3.peg.1764|Calhy_1671,fig|632335.8.peg.1174|Calkr_1054,fig|632348.3.peg.1718|Calkro_1629,fig|632516.3.peg.1185|CallaDRAFT_1130,fig|632518.3.peg.954|Calow_0883	0	-	12	1121259.3;1214564.3;1387555.3;1387557.3;31899.10;351627.8;608506.3;632292.3;632335.8;632348.3;632516.3;632518.3	1069	1205	1942	1302	1546_1344	1673_1515	1569_1460	1764_1671	1174_1054	1718_1629	1185_1130	954_0883	8-oxoguanine-DNA-glycosylase	0.916666666667	Counter({'8-oxoguanine-DNA-glycosylase': 11, '8-oxoguanine DNA glycosylase domain protein': 1})
TAG0009	fig|1121259.3.peg.1105	164	1121259.3	1	fig|1121259.3.peg.1105	0	-	1	1121259.3	1105	-	-	-	-	-	-	-	-	-	-	-	Chromosome partition protein smc	1.0	Counter({'Chromosome partition protein smc': 1})
TAG0010	fig|1121259.3.peg.1107	38	1121259.3	1	fig|1121259.3.peg.1107	0	-	1	1121259.3	1107	-	-	-	-	-	-	-	-	-	-	-	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
