Rep_gene	most_common_function	function_proportion	count_result
fig|31899.10.peg.1328|SAMN05216182_1140	Type I restriction-modification system, specificity subunit S	1.0	Counter({'Type I restriction-modification system, specificity subunit S': 1})
fig|632292.3.peg.409|Calhy_0372	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.2656	membrane protein-like protein	1.0	Counter({'membrane protein-like protein': 1})
fig|1387557.3.peg.2309	hypothetical protein	1.0	Counter({'hypothetical protein': 5})
fig|1387557.3.peg.2304	Predicted cell-wall-anchored protein SasA (LPXTG motif)	1.0	Counter({'Predicted cell-wall-anchored protein SasA (LPXTG motif)': 2})
fig|1387557.3.peg.2305	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632292.3.peg.860|Calhy_0799	Integrase	0.5	Counter({'Integrase': 1, 'Phage integrase': 1})
fig|632516.3.peg.2344|CallaDRAFT_2253	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.567|CallaDRAFT_0543	Uncharacterized zinc protease YmfH	1.0	Counter({'Uncharacterized zinc protease YmfH': 12})
fig|632335.8.peg.2816|Calkr_2555	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.34|Calkro_0030	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.113|COB47_0104	D-xylose ABC transporter, substrate-binding protein XylF	1.0	Counter({'D-xylose ABC transporter, substrate-binding protein XylF': 3})
fig|632516.3.peg.2525	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.2300|Calkro_2185	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|31899.10.peg.3089|SAMN05216182_2817	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|31899.10.peg.2544|SAMN05216182_2320	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1121259.3.peg.1336	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.120	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387557.3.peg.123	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2718|CallaDRAFT_2628	Nucleotidyltransferase domain protein, SO_3165 group	1.0	Counter({'Nucleotidyltransferase domain protein, SO_3165 group': 3})
fig|632335.8.peg.2848	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|1387557.3.peg.129	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|1387557.3.peg.128	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})
fig|632518.3.peg.1813|Calow_1708	PKD domain-containing protein	0.5	Counter({'PKD domain-containing protein': 1, 'hypothetical protein': 1})
fig|632516.3.peg.284|CallaDRAFT_0285	SCIFF radical SAM maturase	1.0	Counter({'SCIFF radical SAM maturase': 1})
fig|351627.8.peg.1863	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.409|SAMN05216182_0280	ABC transporter, ATP-binding protein	1.0	Counter({'ABC transporter, ATP-binding protein': 1})
fig|1387555.3.peg.463	Endo-1,4-beta-xylanase (EC 3.2.1.8)	1.0	Counter({'Endo-1,4-beta-xylanase (EC 3.2.1.8)': 5})
fig|1387555.3.peg.460	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)': 1})
fig|1387555.3.peg.461	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1387555.3.peg.466	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|351627.8.peg.332|Csac_0288	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.41|SAMN05216182_2881	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.1367|SAMN05216182_1178	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.286|CallaDRAFT_0287	Protein YrdA	0.666666666667	Counter({'Protein YrdA': 8, 'Carbonic anhydrase-like protein MJ0304': 3, 'hypothetical protein': 1})
fig|608506.3.peg.2412|COB47_2244	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.1914|SAMN05216182_1700	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.845|CallaDRAFT_0808	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1214564.3.peg.1876	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1877	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1874	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1651	hypothetical protein	1.0	Counter({'hypothetical protein': 12})
fig|1214564.3.peg.1872	Peptidoglycan-binding LysM	1.0	Counter({'Peptidoglycan-binding LysM': 1})
fig|1214564.3.peg.1873	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1214564.3.peg.1870	Uncharacterized protein MJ0504	1.0	Counter({'Uncharacterized protein MJ0504': 12})
fig|1387555.3.peg.689		0.333333333333	Counter({'': 1, 'Methyl-accepting chemotaxis sensor/transducer protein': 1, 'Methyl-accepting chemotaxis protein': 1})
fig|1387555.3.peg.686	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387555.3.peg.687	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.684	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.685	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1214564.3.peg.1878	Uracil permease @ Uracil:proton symporter UraA	1.0	Counter({'Uracil permease @ Uracil:proton symporter UraA': 1})
fig|1214564.3.peg.1879	tributyrin esterase	1.0	Counter({'tributyrin esterase': 1})
fig|632348.3.peg.2529	Uncharacterized protein YidS	1.0	Counter({'Uncharacterized protein YidS': 1})
fig|632335.8.peg.2727|Calkr_2512	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1387555.3.peg.2432	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2312|CallaDRAFT_2227	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2519	Sugar transferase involved in lipopolysaccharide synthesis	1.0	Counter({'Sugar transferase involved in lipopolysaccharide synthesis': 11})
fig|1387555.3.peg.2518	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2515	Transposase	0.5	Counter({'Transposase': 1, 'hypothetical protein': 1})
fig|1387555.3.peg.2514	Transposase	1.0	Counter({'Transposase': 3})
fig|1387555.3.peg.2517	Methyl-accepting chemotaxis protein	1.0	Counter({'Methyl-accepting chemotaxis protein': 1})
fig|1387555.3.peg.2516	Methyl-accepting chemotaxis protein	1.0	Counter({'Methyl-accepting chemotaxis protein': 1})
fig|1387555.3.peg.2511	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387555.3.peg.2510	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2513	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.2512	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632335.8.peg.527|Calkr_0469	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.2177|Calkro_2061	Potassium efflux system KefA protein / Small-conductance mechanosensitive channel	1.0	Counter({'Potassium efflux system KefA protein / Small-conductance mechanosensitive channel': 12})
fig|1121259.3.peg.2049	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|31899.10.peg.388|SAMN05216182_0260	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632335.8.peg.2253|Calkr_2082	ribonuclease H	0.5	Counter({'ribonuclease H': 2, 'hypothetical protein': 2})
fig|351627.8.peg.578|Csac_0503	Two-component transcriptional response regulator, LuxR family	1.0	Counter({'Two-component transcriptional response regulator, LuxR family': 3})
fig|632516.3.peg.644|CallaDRAFT_0620	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632348.3.peg.627|Calkro_0585	alpha-L-fucosidase (EC 3.2.1.51)	1.0	Counter({'alpha-L-fucosidase (EC 3.2.1.51)': 9})
fig|31899.10.peg.445|SAMN05216182_0318	hypothetical protein	1.0	Counter({'hypothetical protein': 16})
fig|632516.3.peg.2367|CallaDRAFT_2277	Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)	1.0	Counter({'Glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21)': 12})
fig|31899.10.peg.34	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|31899.10.peg.37	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1965	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|1387555.3.peg.1964	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|1387555.3.peg.1961	Mobile element protein	1.0	Counter({'Mobile element protein': 1})
fig|1387555.3.peg.1960	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1963	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|1387555.3.peg.1962	hypothetical protein	1.0	Counter({'hypothetical protein': 2})
fig|632335.8.peg.1270|Calkr_1150	Methionine ABC transporter permease protein	1.0	Counter({'Methionine ABC transporter permease protein': 5})
fig|1387555.3.peg.1969	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|1387555.3.peg.1968	Transmembrane transport protein MmpL family	1.0	Counter({'Transmembrane transport protein MmpL family': 1})
fig|632516.3.peg.527|CallaDRAFT_0506	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|608506.3.peg.214|COB47_0194	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)': 1})
fig|632292.3.peg.425|Calhy_0387	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2002|CallaDRAFT_1933	Transcriptional regulator in cluster with Zn-dependent hydrolase	1.0	Counter({'Transcriptional regulator in cluster with Zn-dependent hydrolase': 1})
fig|31899.10.peg.3101|SAMN05216182_2829	hypothetical protein	1.0	Counter({'hypothetical protein': 3})
fig|31899.10.peg.2456|SAMN05216182_2239	hypothetical protein	1.0	Counter({'hypothetical protein': 4})
fig|31899.10.peg.792|SAMN05216182_0632	hypothetical protein	1.0	Counter({'hypothetical protein': 1})
fig|632516.3.peg.2733|CallaDRAFT_2646	S-layer domain protein	1.0	Counter({'S-layer domain protein': 1})
