Rep_gene	Gene_list_chromosome	most_common_function	function_proportion	count_result	Gene_cnt_chromosome	Genome_cnt
fig|31899.10.peg.1328|SAMN05216182_1140	fig|31899.10.peg.1328|SAMN05216182_1140	Type I restriction-modification system, specificity subunit S	1.0	Counter({'Type I restriction-modification system, specificity subunit S': 1})	1	1.0
fig|632292.3.peg.409|Calhy_0372	fig|632292.3.peg.409|Calhy_0372	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.2656	fig|1387557.3.peg.2656	membrane protein-like protein	1.0	Counter({'membrane protein-like protein': 1})	1	1.0
fig|1387557.3.peg.2309	fig|1387557.3.peg.2309,fig|1387557.3.peg.2310,fig|351627.8.peg.2841,fig|632292.3.peg.427|Calhy_0389,fig|632348.3.peg.716|Calkro_0672	hypothetical protein	1.0	Counter({'hypothetical protein': 5})	5	4.0
fig|1387557.3.peg.2304	fig|1387557.3.peg.2304,fig|351627.8.peg.2837|Csac_2627	Predicted cell-wall-anchored protein SasA (LPXTG motif)	1.0	Counter({'Predicted cell-wall-anchored protein SasA (LPXTG motif)': 2})	2	2.0
fig|1387557.3.peg.2305	fig|1387557.3.peg.2305	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632292.3.peg.860|Calhy_0799	fig|1121259.3.peg.2277,fig|632292.3.peg.860|Calhy_0799	Integrase	0.5	Counter({'Integrase': 1, 'Phage integrase': 1})	2	2.0
fig|632516.3.peg.2344|CallaDRAFT_2253	fig|632516.3.peg.2344|CallaDRAFT_2253	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.567|CallaDRAFT_0543	fig|1121259.3.peg.2361,fig|1214564.3.peg.1041,fig|1387555.3.peg.2284,fig|1387557.3.peg.1036,fig|31899.10.peg.1225|SAMN05216182_1037,fig|351627.8.peg.1033|Csac_0914,fig|608506.3.peg.767|COB47_0694,fig|632292.3.peg.2014|Calhy_1922,fig|632335.8.peg.2108|Calkr_1947,fig|632348.3.peg.1983|Calkro_1885,fig|632516.3.peg.567|CallaDRAFT_0543,fig|632518.3.peg.673|Calow_0611	Uncharacterized zinc protease YmfH	1.0	Counter({'Uncharacterized zinc protease YmfH': 12})	12	12.0
fig|632335.8.peg.2816|Calkr_2555	fig|632335.8.peg.2816|Calkr_2555	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.34|Calkro_0030	fig|632348.3.peg.34|Calkro_0030	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|608506.3.peg.113|COB47_0104	fig|1121259.3.peg.2118,fig|608506.3.peg.113|COB47_0104,fig|632292.3.peg.123|Calhy_0114	D-xylose ABC transporter, substrate-binding protein XylF	1.0	Counter({'D-xylose ABC transporter, substrate-binding protein XylF': 3})	3	3.0
fig|632516.3.peg.2525	fig|632516.3.peg.2525	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.2300|Calkro_2185	fig|31899.10.peg.871|SAMN05216182_0713,fig|608506.3.peg.451|COB47_0403,fig|632348.3.peg.2300|Calkro_2185,fig|632518.3.peg.317|Calow_0286	hypothetical protein	1.0	Counter({'hypothetical protein': 4})	4	4.0
fig|31899.10.peg.3089|SAMN05216182_2817	fig|31899.10.peg.3089|SAMN05216182_2817,fig|632292.3.peg.382|Calhy_0348,fig|632335.8.peg.2324|Calkr_2148	hypothetical protein	1.0	Counter({'hypothetical protein': 3})	3	3.0
fig|31899.10.peg.2544|SAMN05216182_2320	fig|31899.10.peg.2544|SAMN05216182_2320	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|1121259.3.peg.1336	fig|1121259.3.peg.1336	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.120	fig|1387557.3.peg.120	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387557.3.peg.123	fig|1387557.3.peg.123	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.2718|CallaDRAFT_2628	fig|1121259.3.peg.459,fig|632335.8.peg.253,fig|632516.3.peg.2718|CallaDRAFT_2628	Nucleotidyltransferase domain protein, SO_3165 group	1.0	Counter({'Nucleotidyltransferase domain protein, SO_3165 group': 3})	3	3.0
fig|632335.8.peg.2848	fig|632335.8.peg.2848	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|1387557.3.peg.129	fig|1387557.3.peg.129	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|1387557.3.peg.128	fig|1387557.3.peg.128	Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site	1.0	Counter({'Glucose-methanol-choline (GMC) oxidoreductase:NAD binding site': 1})	1	1.0
fig|632518.3.peg.1813|Calow_1708	fig|1387555.3.peg.447,fig|632518.3.peg.1813|Calow_1708	PKD domain-containing protein	0.5	Counter({'PKD domain-containing protein': 1, 'hypothetical protein': 1})	2	2.0
fig|632516.3.peg.284|CallaDRAFT_0285	fig|632516.3.peg.284|CallaDRAFT_0285	SCIFF radical SAM maturase	1.0	Counter({'SCIFF radical SAM maturase': 1})	1	1.0
fig|351627.8.peg.1863	fig|351627.8.peg.1863	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.409|SAMN05216182_0280	fig|31899.10.peg.409|SAMN05216182_0280	ABC transporter, ATP-binding protein	1.0	Counter({'ABC transporter, ATP-binding protein': 1})	1	1.0
fig|1387555.3.peg.463	fig|1214564.3.peg.1937,fig|1387555.3.peg.463,fig|31899.10.peg.473|SAMN05216182_0343,fig|632348.3.peg.85|Calkro_0081,fig|632518.3.peg.45|Calow_0043	Endo-1,4-beta-xylanase (EC 3.2.1.8)	1.0	Counter({'Endo-1,4-beta-xylanase (EC 3.2.1.8)': 5})	5	5.0
fig|1387555.3.peg.460	fig|1387555.3.peg.460	ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)	1.0	Counter({'ABC transporter, permease protein 2 (cluster 1, maltose/g3p/polyamine/iron)': 1})	1	1.0
fig|1387555.3.peg.461	fig|1387555.3.peg.461,fig|632348.3.peg.83|Calkro_0079	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|1387555.3.peg.466	fig|1387555.3.peg.466,fig|632516.3.peg.453|CallaDRAFT_0438	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|351627.8.peg.332|Csac_0288	fig|351627.8.peg.332|Csac_0288	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.41|SAMN05216182_2881	fig|31899.10.peg.41|SAMN05216182_2881	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.1367|SAMN05216182_1178	fig|31899.10.peg.1367|SAMN05216182_1178	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.286|CallaDRAFT_0287	fig|1121259.3.peg.838,fig|1214564.3.peg.9,fig|1387555.3.peg.788,fig|1387557.3.peg.887,fig|31899.10.peg.1065|SAMN05216182_0889,fig|351627.8.peg.1335|Csac_1192,fig|608506.3.peg.642|COB47_0580,fig|632292.3.peg.2126|Calhy_2032,fig|632335.8.peg.649|Calkr_0579,fig|632348.3.peg.2110|Calkro_2002,fig|632516.3.peg.286|CallaDRAFT_0287,fig|632518.3.peg.552|Calow_0500	Protein YrdA	0.666666666667	Counter({'Protein YrdA': 8, 'Carbonic anhydrase-like protein MJ0304': 3, 'hypothetical protein': 1})	12	12.0
fig|608506.3.peg.2412|COB47_2244	fig|608506.3.peg.2412|COB47_2244	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|31899.10.peg.1914|SAMN05216182_1700	fig|31899.10.peg.1914|SAMN05216182_1700	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.845|CallaDRAFT_0808	fig|632516.3.peg.845|CallaDRAFT_0808	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|1214564.3.peg.1876	fig|1214564.3.peg.1876	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1214564.3.peg.1877	fig|1214564.3.peg.1877	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1214564.3.peg.1874	fig|1214564.3.peg.1874	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1214564.3.peg.1651	fig|1121259.3.peg.1769,fig|1214564.3.peg.1651,fig|1387555.3.peg.1768,fig|1387557.3.peg.1881,fig|31899.10.peg.2141|SAMN05216182_1922,fig|351627.8.peg.1889,fig|608506.3.peg.1035|COB47_0949,fig|632292.3.peg.1201|Calhy_1119,fig|632335.8.peg.1777|Calkr_1645,fig|632348.3.peg.1157|Calkro_1092,fig|632516.3.peg.1707|CallaDRAFT_1642,fig|632518.3.peg.1463|Calow_1377	hypothetical protein	1.0	Counter({'hypothetical protein': 12})	12	12.0
fig|1214564.3.peg.1872	fig|1214564.3.peg.1872	Peptidoglycan-binding LysM	1.0	Counter({'Peptidoglycan-binding LysM': 1})	1	1.0
fig|1214564.3.peg.1873	fig|1214564.3.peg.1873	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1214564.3.peg.1870	fig|1121259.3.peg.225,fig|1214564.3.peg.1870,fig|1387555.3.peg.1533,fig|1387557.3.peg.1625,fig|31899.10.peg.1881|SAMN05216182_1667,fig|351627.8.peg.2124|Csac_1944,fig|608506.3.peg.1265|COB47_1165,fig|632292.3.peg.1425|Calhy_1340,fig|632335.8.peg.1505|Calkr_1383,fig|632348.3.peg.1393|Calkro_1314,fig|632516.3.peg.137|CallaDRAFT_0136,fig|632518.3.peg.1261|Calow_1176	Uncharacterized protein MJ0504	1.0	Counter({'Uncharacterized protein MJ0504': 12})	12	12.0
fig|1387555.3.peg.689	fig|1387555.3.peg.689,fig|1387557.3.peg.1832,fig|632516.3.peg.2622|CallaDRAFT_2530		0.333333333333	Counter({'': 1, 'Methyl-accepting chemotaxis sensor/transducer protein': 1, 'Methyl-accepting chemotaxis protein': 1})	3	3.0
fig|1387555.3.peg.686	fig|1387555.3.peg.686	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|1387555.3.peg.687	fig|1387555.3.peg.687	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.684	fig|1387555.3.peg.684	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.685	fig|1387555.3.peg.685	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|1214564.3.peg.1878	fig|1214564.3.peg.1878	Uracil permease @ Uracil:proton symporter UraA	1.0	Counter({'Uracil permease @ Uracil:proton symporter UraA': 1})	1	1.0
fig|1214564.3.peg.1879	fig|1214564.3.peg.1879	tributyrin esterase	1.0	Counter({'tributyrin esterase': 1})	1	1.0
fig|632348.3.peg.2529	fig|632348.3.peg.2529	Uncharacterized protein YidS	1.0	Counter({'Uncharacterized protein YidS': 1})	1	1.0
fig|632335.8.peg.2727|Calkr_2512	fig|632335.8.peg.2727|Calkr_2512,fig|632516.3.peg.832|CallaDRAFT_0797	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|1387555.3.peg.2432	fig|1387555.3.peg.2432	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632516.3.peg.2312|CallaDRAFT_2227	fig|632516.3.peg.2312|CallaDRAFT_2227	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.2519	fig|1121259.3.peg.2185,fig|1387555.3.peg.2519,fig|1387557.3.peg.670,fig|31899.10.peg.882|SAMN05216182_0724,fig|351627.8.peg.1229|Csac_1093,fig|608506.3.peg.467|COB47_0417,fig|632292.3.peg.2311|Calhy_2206,fig|632335.8.peg.2385|Calkr_2203,fig|632348.3.peg.2287|Calkro_2172,fig|632516.3.peg.1331|CallaDRAFT_1271,fig|632518.3.peg.331|Calow_0300	Sugar transferase involved in lipopolysaccharide synthesis	1.0	Counter({'Sugar transferase involved in lipopolysaccharide synthesis': 11})	11	11.0
fig|1387555.3.peg.2518	fig|1387555.3.peg.2518	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.2515	fig|1387555.3.peg.2515,fig|632335.8.peg.1026	Transposase	0.5	Counter({'Transposase': 1, 'hypothetical protein': 1})	2	2.0
fig|1387555.3.peg.2514	fig|1214564.3.peg.844,fig|1387555.3.peg.2514,fig|351627.8.peg.962|Csac_0849	Transposase	1.0	Counter({'Transposase': 3})	3	3.0
fig|1387555.3.peg.2517	fig|1387555.3.peg.2517	Methyl-accepting chemotaxis protein	1.0	Counter({'Methyl-accepting chemotaxis protein': 1})	1	1.0
fig|1387555.3.peg.2516	fig|1387555.3.peg.2516	Methyl-accepting chemotaxis protein	1.0	Counter({'Methyl-accepting chemotaxis protein': 1})	1	1.0
fig|1387555.3.peg.2511	fig|1387555.3.peg.2511	Mobile element protein	1.0	Counter({'Mobile element protein': 1})	1	1.0
fig|1387555.3.peg.2510	fig|1387555.3.peg.2510	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.2513	fig|1387555.3.peg.2513	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|1387555.3.peg.2512	fig|1387555.3.peg.2512	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632335.8.peg.527|Calkr_0469	fig|632335.8.peg.527|Calkr_0469	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.2177|Calkro_2061	fig|1121259.3.peg.778,fig|1214564.3.peg.1852,fig|1387555.3.peg.2367,fig|1387557.3.peg.823,fig|31899.10.peg.1004|SAMN05216182_0835,fig|351627.8.peg.912|Csac_0802,fig|608506.3.peg.584|COB47_0525,fig|632292.3.peg.2174|Calhy_2076,fig|632335.8.peg.2189|Calkr_2022,fig|632348.3.peg.2177|Calkro_2061,fig|632516.3.peg.2237|CallaDRAFT_2153,fig|632518.3.peg.486|Calow_0435	Potassium efflux system KefA protein / Small-conductance mechanosensitive channel	1.0	Counter({'Potassium efflux system KefA protein / Small-conductance mechanosensitive channel': 12})	12	12.0
fig|1121259.3.peg.2049	fig|1121259.3.peg.2049,fig|1214564.3.peg.2064	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|31899.10.peg.388|SAMN05216182_0260	fig|31899.10.peg.388|SAMN05216182_0260,fig|632348.3.peg.13|Calkro_0014	hypothetical protein	1.0	Counter({'hypothetical protein': 2})	2	2.0
fig|632335.8.peg.2253|Calkr_2082	fig|1387557.3.peg.2358,fig|31899.10.peg.3015|SAMN05216182_2752,fig|632292.3.peg.453|Calhy_0416,fig|632335.8.peg.2253|Calkr_2082	ribonuclease H	0.5	Counter({'ribonuclease H': 2, 'hypothetical protein': 2})	4	4.0
fig|351627.8.peg.578|Csac_0503	fig|1214564.3.peg.1189,fig|351627.8.peg.578|Csac_0503,fig|632292.3.peg.2647|Calhy_2519	Two-component transcriptional response regulator, LuxR family	1.0	Counter({'Two-component transcriptional response regulator, LuxR family': 3})	3	3.0
fig|632516.3.peg.644|CallaDRAFT_0620	fig|632516.3.peg.644|CallaDRAFT_0620	hypothetical protein	1.0	Counter({'hypothetical protein': 1})	1	1.0
fig|632348.3.peg.627|Calkro_0585	fig|1121259.3.peg.2319,fig|1214564.3.peg.995,fig|1387557.3.peg.2469,fig|31899.10.peg.2618|SAMN05216182_2383,fig|351627.8.peg.1489|Csac_1340,fig|608506.3.peg.1973|COB47_1843,fig|632292.3.peg.741|Calhy_0683,fig|632348.3.peg.627|Calkro_0585,fig|632518.3.peg.1864|Calow_1754	alpha-L-fucosidase (EC 3.2.1.51)	1.0	Counter({'alpha-L-fucosidase (EC 3.2.1.51)': 9})	9	9.0
