id	genes	genes_peg	genes_wp	subsystem
R02777	Athe_0060	peg.440	WP_012660732.1	Streptomycin biosynthesis
R05688	Athe_1810	peg.2322	WP_015908201.1	Terpenoid backbone biosynthesis
R04751	Athe_1232	peg.1719	WP_015907723.1	Fatty acid degradation
R01175	Athe_1232	peg.1719	WP_015907723.1	Fatty acid degradation
R06895	Athe_1554	peg.2049	WP_015907998.1	Porphyrin and chlorophyll metabolism
R05711	Athe_0927	peg.1397	WP_015907456.1	-
R08553	Athe_1191 and Athe_1192	peg.1676 and peg.1677	WP_015907686.1 and WP_013430461.1	Sulfur metabolism
R01658	Athe_1004	peg.1483	WP_015907519.1	Terpenoid backbone biosynthesis
R02003	Athe_1004	peg.1483	WP_015907519.1	Terpenoid backbone biosynthesis
R02061	Athe_1004	peg.1483	WP_015907519.1	Terpenoid backbone biosynthesis
R05634	Athe_1538	peg.2033	WP_015907983.1	Terpenoid backbone biosynthesis
R02328	Athe_0054	peg.434	WP_012660726.1	Streptomycin biosynthesis
R05633	Athe_1522	peg.2017	WP_015907972.1	Terpenoid backbone biosynthesis
R05789	Athe_0305	peg.716	WP_015906911.1	Methane metabolism
R01030	Athe_2203	peg.2765	WP_015908538.1	Glycerophospholipid metabolism
R01470	Athe_2203	peg.2765	WP_015908538.1	Glycerophospholipid metabolism
R04112	Athe_1560 or Athe_0430 or Athe_1080 or Athe_1793 or Athe_1064	peg.2055 or peg.850 or peg.1561 or peg.2304 or peg.1545	WP_015908004.1 or WP_041727320.1 or WP_015907590.1 or WP_013429926.1 or WP_015907577.1	-
R00086	Athe_0647	peg.1089	WP_015907220.1	Purine metabolism
R00426	Athe_0647	peg.1089	WP_015907220.1	Purine metabolism
R00720	Athe_0647	peg.1089	WP_015907220.1	Purine metabolism
R00087	Athe_0647	peg.1089	WP_015907220.1	Purine metabolism
R00662	Athe_0647	peg.1089	WP_015907220.1	Pyrimidine metabolism
R00287	Athe_0647	peg.1089	WP_015907220.1	Pyrimidine metabolism
R00515	Athe_0647	peg.1089	WP_015907220.1	Pyrimidine metabolism
R03197	Athe_0848	peg.1308	WP_015907391.1	Porphyrin and chlorophyll metabolism
R04972	Athe_0848	peg.1308	WP_015907391.1	Porphyrin and chlorophyll metabolism
R00036	Athe_1200	peg.1686	WP_015907694.1	Porphyrin and chlorophyll metabolism
R06513	Athe_0056	peg.436	WP_012660728.1	Streptomycin biosynthesis
R03165	Athe_1199	peg.1685	WP_015907693.1	Porphyrin and chlorophyll metabolism
R05637	Athe_1137	peg.1621	WP_015907637.1	Terpenoid backbone biosynthesis
R00401	Athe_1903	peg.2419	WP_015908285.1	D-Alanine metabolism
R00260	Athe_2038	peg.2584	WP_015908399.1	D-Glutamine and D-glutamate metabolism
R06514	Athe_0055	peg.435	WP_012660727.1	Streptomycin biosynthesis
R01280	Athe_0789	peg.1248	WP_015907339.1	Fatty acid biosynthesis
R02539	Athe_2035 or Athe_1507 or Athe_1504 or Athe_1010	peg.2581 or peg.2000 or peg.1997 or peg.1490	WP_015908396.1 or WP_015907960.1 or WP_015907957.1 or WP_015907525.1	Phenylalanine metabolism
R01724	Athe_0861	peg.1322	WP_015907402.1	Nicotinate and nicotinamide metabolism
R06447	Athe_1812	peg.2324	WP_015908203.1	Terpenoid backbone biosynthesis
R07237	Athe_1199	peg.1685	WP_015907693.1	-
R00084	Athe_1198	peg.1684	WP_015907692.1	Porphyrin and chlorophyll metabolism
R02272	Athe_1201	peg.1687	WP_015907695.1	Porphyrin and chlorophyll metabolism
R03947	Athe_1196	peg.1681	WP_015907690.1	Porphyrin and chlorophyll metabolism
R02864	Athe_1196	peg.1681	WP_015907690.1	Porphyrin and chlorophyll metabolism
R03194	Athe_1199	peg.1685	WP_015907693.1	Porphyrin and chlorophyll metabolism
R07238	Athe_1199	peg.1685	WP_015907693.1	-
trehABC	Athe_0399 and Athe_0400 and Athe_0401	peg.814 and peg.815 and peg.816	WP_015906998.1 and WP_015906999.1 and WP_015907000.1	-
kojABC	Athe_0399 and Athe_0400 and Athe_0401	peg.814 and peg.815 and peg.816	WP_015906998.1 and WP_015906999.1 and WP_015907000.1	-
Zn2efflux	Athe_0589	peg.1022	WP_015907168.1	-
Co2efflux	Athe_0589	peg.1022	WP_015907168.1	-
Cd2efflux	Athe_0589	peg.1022	WP_015907168.1	-
piH	Athe_0756	peg.1212	WP_015907309.1	-
GlcnABC	(Athe_0847 or Athe_0849) and Athe_0850 and Athe_0851	(peg.1307 or peg.1309) and peg.1310 and peg.1311	(WP_015907390.1 or WP_015907392.1) and WP_015907393.1 and WP_013430735.1	-
EpxqR	Athe_1117	peg.1598	WP_041727125.1	Queuosine biosynthesis
R02240	Athe_1275	peg.1762	WP_015907759.1	Glycerolipid metabolism
leuABC	Athe_1384 and Athe_1385 and Athe_1386 and Athe_1387 and (Athe_1388 or Athe_0523)	peg.1875 and peg.1876 and peg.1877 and peg.1878 and peg.1879 and (peg.1880 or peg.954)	WP_015907853.1 and WP_015907854.1 and WP_015907855.1 and WP_015907856.1 and (WP_015907857.1 or WP_015907108.1)	Transport
ileABC	Athe_1384 and Athe_1385 and Athe_1386 and Athe_1387 and (Athe_1388 or Athe_0523)	peg.1875 and peg.1876 and peg.1877 and peg.1878 and peg.1879 and (peg.1880 or peg.954)	WP_015907853.1 and WP_015907854.1 and WP_015907855.1 and WP_015907856.1 and (WP_015907857.1 or WP_015907108.1)	Transport
valABC	Athe_1384 and Athe_1385 and Athe_1386 and Athe_1387 and (Athe_1388 or Athe_0523)	peg.1875 and peg.1876 and peg.1877 and peg.1878 and peg.1879 and (peg.1880 or peg.954)	WP_015907853.1 and WP_015907854.1 and WP_015907855.1 and WP_015907856.1 and (WP_015907857.1 or WP_015907108.1)	Transport
ARSt1	Athe_1933	peg.2452	WP_015908311.1	-
ANTIMt1	Athe_1933	peg.2452	WP_015908311.1	-
ARSNAt1	Athe_1933	peg.2452	WP_015908311.1	-
posABC	Athe_2030 and Athe_2031 and (Athe_2029 or Athe_2032)	peg.2576 and peg.2577 and (peg.2575 or peg.2578)	WP_015908391.1 and WP_015908392.1 and (WP_015908390.1 or WP_015908393.1)	Sugar metabolism
