Tag	1094508.3	203119.11	31899.1	394503.7	1094508.3	203119.11	394503.7
TAG0002	fig|1094508.3.peg.516	fig|203119.11.peg.3304	fig|31899.10.peg.426|SAMN05216182_0297	fig|394503.7.peg.2494	Tsac_0512	Cthe_3093	Ccel_2419
TAG0011	fig|1094508.3.peg.1194	fig|203119.11.peg.3090	fig|31899.10.peg.1967|SAMN05216182_1753	fig|394503.7.peg.403	Tsac_1180	Cthe_2887	Ccel_0387
TAG0019	-	fig|203119.11.peg.1138	-	fig|394503.7.peg.2229	-	Cthe_1080	Ccel_2169
TAG0022	fig|1094508.3.peg.1202	fig|203119.11.peg.1137,fig|203119.11.peg.2077	fig|31899.10.peg.632|SAMN05216182_0489	fig|394503.7.peg.1995,fig|394503.7.peg.364	Tsac_1188	Cthe_1079,Cthe_1961	Ccel_1940,Ccel_0348
TAG0046	fig|1094508.3.peg.2534	-	-	-	Tsac_2499	-	-
TAG0056	fig|1094508.3.peg.1910	fig|203119.11.peg.730	fig|31899.10.peg.1803|SAMN05216182_1593	fig|394503.7.peg.2509	Tsac_1886	Cthe_0695	Ccel_2434
TAG0060	fig|1094508.3.peg.1756	-	fig|31899.10.peg.1709|SAMN05216182_1499	-	Tsac_1733	-	-
TAG0063	fig|1094508.3.peg.1763	fig|203119.11.peg.1347	fig|31899.10.peg.1713|SAMN05216182_1503	fig|394503.7.peg.1936	Tsac_1739	Cthe_1277	Ccel_1881
TAG0066	fig|1094508.3.peg.1769	fig|203119.11.peg.1080	fig|31899.10.peg.1986|SAMN05216182_1772	fig|394503.7.peg.2195	Tsac_1745	Cthe_1028	Ccel_2136
TAG0069	fig|1094508.3.peg.1778	fig|203119.11.peg.980	fig|31899.10.peg.1640|SAMN05216182_1436	fig|394503.7.peg.708	Tsac_1754	Cthe_0933	Ccel_0685
TAG0070	fig|1094508.3.peg.1783	fig|203119.11.peg.974	fig|31899.10.peg.1654|SAMN05216182_1447	fig|394503.7.peg.720	Tsac_1759	Cthe_0927	Ccel_0696
